@relation OTHER

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
24,'good . ',false
25,'the view - although the windows need cleaning or to be changed out , as they were not clear . ',false
26,'location is excellent . ',false
27,'water pressure is also excellent . ',false
28,'bathroom space is very small for potentially 4 people . ',false
29,'security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',true
30,'makes them very in-predictable and i would not have wanted to run into one of them with small kids in tow . ',false
31,'saw a few having episodes the next morning . ',false
70,'fine . ',false
71,'gym had no equipment needs to be upgraded ',false
89,'enjoyed our stay . ',true
90,'comfortable and foot rest . ',false
91,'next to elevators ',false
131,'was more economical than other properties i searched in the area but there is room for improvement . ',false
132,'location was close to the event we were attending . ',false
133,'there is a parking structure attacked to the hotel so you did not need to park outside . ',false
134,'you can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
135,'the bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
136,'the carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
137,'parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',true
138,'there was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
139,'the bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
197,'acceptably . ',false
198,'good location , parking , grocery store in the building . ',false
199,'old hotel and relevant smell , no sockets in the room at all . ',false
200,'had to charge cellular in bathroom . ',false
201,'air condition was terrible . ',false
202,'had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
203,'it was very cold and uncomfortable . ',false
256,'stay was okay . ',false
257,'i will consider staying there again . ',false
258,'the location was great , right downtown montreal . ',false
259,'view was amazing and the bed was comfortable enough . ',false
260,'the hotel was outdated . ',false
261,'carpet was pretty old and the vent was very dusty . ',false
262,'you can actually see the caked on dust . ',false
263,'it does need updating aesthetically . ',false
314,'good . ',false
315,'the housekeeper was very sweet and she did a great job . ',false
316,'there were some little things like broken lights , mildew and drippy faucet . ',false
317,'the hotel needs a bit of tlc . ',true
318,'otherwise a nice experience . ',true
319,'the housekeeping staff were very friendly and they did a great job ',false
350,'good . ',false
351,'beds are not real . ',false
381,'meh . ',false
382,'it s in a good location and it s clean . ',false
383,'it s very dated . ',false
384,'the tv did nt work . ',false
385,'the staff at reception are nt warm . ',false
386,'i only stay here if i absolutely have to . ',false
387,'we were stranded with the storm so we booked it last minute . ',false
425,'rude staff . ',false
426,'the staff gave an unpleasant vibe that started right off the bat . ',false
427,'the one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all i did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',false
455,'good location , adequate for our stay , would stay there again if the price was right . ',true
456,'quiet , comfortable , clean , great location . ',false
457,'bar fridge in room was very useful . ',false
458,'rooms and furniture need updating . ',false
459,'pool area also needs a makeover . ',false
495,'good location , adequate for our stay , would stay there again if the price was right . ',true
496,'quiet , comfortable , clean , great location . ',false
497,'bar fridge in room was very useful . ',false
498,'rooms and furniture need updating . ',false
499,'pool area also needs a makeover . ',false
529,'thangs for the service ! ',false
530,'the moon light !!!! ',false
531,'maybe update a little bit more colors and furniture !!! ',false
556,'good . ',false
557,'the location . ',false
558,'bathrooms are showing their age . ',false
559,'time to renovate ! ',false
600,'i wish i would have waited for lower rates the site was offering $ 75 per night . ',false
601,'we stayed for two ni . ',false
602,'nice big room upgraded on arrival . ',false
603,'the smell in lobby when you first walk in it smells stale like a nursing home . ',false
604,'too much antiseptic smell trying to cover up the stale smell . ',false
605,'beautiful older building i can appreciate . ',false
606,'also they had to turn off the water from midnight to 6 am . ',false
607,'no big affect as far as comfort ',false
649,'good . ',false
650,'location is good?cprice is fair . ',false
651,'its a old hotel , and in my room the curtain fell off ',false
685,'the stay was ok but its a bit like a b&b with an old style hotel ambience without a bar and diner . ',false
686,'breakfast was good , location excellent , view from room was good . ',true
687,'room cleaning service was good . ',false
688,'safe place and quiet . ',false
689,'no usb pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',false
690,'the last evening we could not get into our room as we were apparently checked out already . ',false
691,'no room service , no bar except during lunch time not quite 4 star standard ',false
735,'excellent customer service . ',false
736,'the staff were very accommodating and helpful . ',false
737,'our bathroom shower had mold on the walls . ',false
738,'we explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',false
739,'excellent customer service . ',false
772,'good . ',false
773,'location is excellent , central , convenient to public transportation , restaurants , metro , and place dupuis food court , various services . ',false
774,'maintenance is spotty . ',false
775,'bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',false
801,'good . ',false
802,'we really liked the location of the hotel . ',false
803,'the swimming pool was cold . ',false
828,'pleasant . ',false
829,'great location . ',false
830,'the room have mold . ',false
831,'they move me to another room becsuse of the noise from the contiguos room . ',false
857,'good . ',false
858,'close to shopping . ',false
859,'no heat in bathroom ',false
878,'good . ',false
879,'service de concierge nest pas sufficient ',false
903,'okay . ',false
904,'location . ',false
905,'the room was very tired and overused . ',false
906,'the room need a facelift . ',false
907,'the carpet was stained , there was mould in the bathroom . ',false
937,'overall nice one . ',false
938,'location . ',false
939,'facilities ',false
976,'good value for money . ',false
977,'great location , next to metro station , big n modern food court , supermarket . ',false
978,'walkable to city centre . ',false
979,'erred an electric teapot to a coffee maker . ',false
980,'coffee brewer can be cleaned after each guest . ',false
981,'. ',false
982,'sheet is big enough to be tucked under the matress . ',false
983,'so that it wo nt be rolled up . ',false
1034,'good cost effectiveness . ',false
1035,'good location . ',false
1036,'good location . ',false
1037,'breakfest could be better . ',false
1038,'there is no room service and the restaurant is closed for dinner , what s is essential . ',false
1039,'pool is only opened in the evening ! ',false
1076,'okay . ',false
1077,'great location . ',false
1078,'i lost some of my things when i left and i contacted them about it but they said they can?ft find it ... ',false
1079,'also , the hot water would only work in the morning ',false
1111,'good . ',false
1112,'great buffet . ',true
1113,'too bad there was no fridge in our room since we booked the smaller room . ',false
1114,'great location . ',false
1115,'parking was scary but at least it wasn?ft on the street ',false
1157,'the room served its purpose . ',false
1158,'no more and no less . ',false
1159,'room 718 - it was a very clean room . ',false
1160,'front staff was friendly . ',false
1161,'front entrance was beautiful . ',false
1162,'ked that there was parking underground with easy access to the hotel . ',false
1163,'room 718 - the bathroom was in need of major renovation ( i was nt comfortable with the mold on the bath tub walls ) . ',false
1207,'good . ',false
1208,'the lobby was clean and the room was clean and had a great view of the city . ',false
1209,'the restaurant in the hotel was good . ',false
1210,'the location of the hotel is great for access to st. catherine s street and getting downtown . ',false
1211,'the bathrooms were outdated , and seemed a little scummy . ',false
1244,'good value . ',false
1245,'the location was very convenient and the view from our room was outstanding . ',false
1246,'it needs to be updated . ',false
1247,'it took a full five minutes running the shower before the water was really warm . ',false
1270,'pleasant . ',false
1271,'very old , needs reformation on comon areas . ',false
1286,'probably would not stay there again . ',true
1287,'there was no working ice machine . ',false
1317,'would go back and would recommend to friends . ',true
1318,'the rooms were roomy . ',false
1319,'the location was excellent . ',false
1320,'it was clean and the staff were awesome . ',false
1321,'the air ducts need cleaning . ',false
1322,'when they came on i smelled mould . ',false
1323,'the pool hours were limited and odd . ',false
1358,'good . ',false
1359,'location ',false
1377,'very good . ',false
1378,'nice in the city . ',false
1379,'room has no fridge ',false
1407,'good . ',false
1408,'good location . ',false
1409,'lots of elevators that worked rapidly . ',false
1410,'old building . ',false
1411,'not a lot of amenities . ',false
1450,'home away from home . ',false
1451,'ideal location of hotel at the heart of downtown montreal . ',false
1452,'friendly and helpful staff . ',false
1453,'trustworthy housekeeping . ',false
1454,'wide selection of places close to the hotel ( metro stations , taxi , shopping malls , restaurants , pharmacies , etc ) . ',false
1455,'too many homeless people near hotel . ',false
1489,'pleasant . ',false
1490,'good location . ',false
1491,'the design is quite old and need change lift to car park ',true
