@relation restaurant#general

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
0,'Judging from previous posts this used to be a good place , but not any longer . ',true
12,'We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . ',false
24,'They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table . ',false
36,'The food was lousy - too sweet or too salty and the portions tiny . ',false
48,'After all that , they complained to me about the small tip . ',false
60,'Avoid this place ! ',true
72,'I have eaten at Saul , many times , the food is always consistently , outrageously good . ',false
84,'Saul is the best restaurant on Smith Street and in Brooklyn . ',true
96,'The duck confit is always amazing and the foie gras terrine with figs was out of this world . ',false
108,'The wine list is interesting and has many good values . ',false
120,'For the price , you can not eat this well in Manhattan . ',false
132,'I was very disappointed with this restaurant . ',true
144,'Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away . ',false
156,'I had to ask her three times before she finally came back with the dish Ive requested . ',false
168,'Food was okay , nothing great . ',false
180,'Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . ',false
192,'I / we will never go back to this place again . ',true
204,'Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great ! ',true
216,'Service was devine , oysters where a sensual as they come , and the price ca nt be beat !!! ',false
228,'You ca nt go wrong here . ',true
240,'Every time in New York I make it a point to visit Restaurant Saul on Smith Street . ',true
252,'Everything is always cooked to perfection , the service is excellent , the decor cool and understated . ',false
264,'I had the duck breast special on my last visit and it was incredible . ',false
276,'Ca nt wait wait for my next visit . ',true
288,'The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share ! ',false
300,'We went around 9:30 on a Friday and it had died down a bit by then so the service was great ! ',false
312,'we love th pink pony . ',true
324,'THe perfect spot . ',true
336,'Food - awesome . ',false
348,'Service- friendly and attentive . ',false
360,'Ambiance - relaxed and stylish . ',false
372,'Do nt judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . ',true
384,'the food is decent . ',false
396,'however , it s the service that leaves a bad taste in my mouth . ',false
408,'i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i.e. make me feel bad asking for trivialities like water , or the check . ',false
420,'i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i m here to eat and enjoy the company of friends , seeking a pleasant experience . ',false
432,'well , i did nt find it there , and trust , i have told everyone i can think of about my experience . ',true
444,'the last time i walked by it looked pretty empty . ',false
456,'hmmm . ',false
468,'This place has got to be the best japanese restaurant in the new york area . ',true
480,'I had a great experience . ',true
492,'Food is great . ',false
504,'Service is top notch . ',false
516,'I have been going back again and again . ',true
528,'I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose . ',false
540,'It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery . ',false
552,'The sushi seemed pretty fresh and was adequately proportioned . ',false
564,'The rice to fish ration was also good -- they did nt try to overpack the rice . ',false
576,'We took advanatage of the half price sushi deal on saturday so it was well worth it . ',false
588,'Surprisingly nothing could be further from the truth . ',false
600,'In the evening , this place attracted a well dressed , with it , NY crowd . ',false
612,'The food was well prepared and the service impecable . ',false
624,'I m going back . ',true
636,'The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) . ',false
648,'I will be going back and heartily recommend it ! ',true
660,'$ 6 and there is much tasty food , all of it fresh and continually refilled . ',false
672,'I am not a vegetarian but , almost all the dishes were great . ',false
684,'I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing . ',false
696,'The service varys from day to day - sometimes they re very nice , and sometimes not . ',false
708,'The kitchen however , is almost always slow . ',false
720,'Also , specify if you like your food spicy - its rather bland if you dont . ',false
732,'The ambience is pretty and nice for conversation , so a casual lunch here would probably be best . ',false
744,'However , go for the ambience , and consider the food just a companion for a trip across the world ! ',false
756,'It looked like shredded cheese partly done - still in strips . ',false
768,'Yes , they use fancy ingredients , but even fancy ingredients do nt make for good pizza unless someone knows how to get the crust right . ',false
780,'A big disappointment , all around . ',true
792,'I think I ve had some the best meals of my life at minnow . ',false
804,'The seafood is amazing , there s a good wine list , and the ever - changing menu always offers some great surprises . ',false
816,'The combination of super-fresh ingredients in the dishes are unusual but really delicious . ',false
828,'Worth the trip from Manhattan . ',true
840,'This place is worth an one - hour drive . ',true
852,'I am so coming back here again , as much as I can . ',true
