@relation Preis-Leistungs-Verhltnis-positive

@attribute id numeric
@attribute text string
@attribute aspecttype {true, false}

@data
40,'Good . ',false
41,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',false
42,'Location is excellent . ',false
43,'Water pressure is also excellent . ',false
44,'Bathroom space is very small for potentially 4 people . ',false
45,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
46,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',false
47,'Saw a few having episodes the next morning . ',false
138,'Fine . ',false
139,'Gym had no equipment Needs to be upgraded ',false
175,'Enjoyed our stay . ',false
176,'Comfortable and Foot rest . ',false
177,'Next to elevators ',false
253,'Was more economical than other properties I searched in the area but there is room for improvement . ',true
254,'Location was close to the event we were attending . ',false
255,'There is a parking structure attacked to the hotel so you did not need to park outside . ',false
256,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
257,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
258,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
259,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
260,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
261,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
387,'Acceptably . ',false
388,'Good Location , parking , grocery store in the building . ',false
389,'Old hotel and relevant smell , no sockets in the room at all . ',false
390,'Had to charge cellular in bathroom . ',false
391,'Air condition was terrible . ',false
392,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
393,'It was very cold and uncomfortable . ',false
504,'Stay was okay . ',false
505,'I will consider staying there again . ',false
506,'The location was great , right downtown Montreal . ',false
507,'View was amazing and the bed was comfortable enough . ',false
508,'The hotel was outdated . ',false
509,'Carpet was pretty old and the vent was VERY dusty . ',false
510,'You can actually see the caked on dust . ',false
511,'It does need updating aesthetically . ',false
622,'Good . ',false
623,'The housekeeper was very sweet and she did a great job . ',false
624,'There were some little things like broken lights , mildew and drippy faucet . ',false
625,'The hotel needs a bit of TLC . ',false
626,'Otherwise a nice experience . ',false
627,'The housekeeping staff were very friendly and they did a great job ',false
698,'Good . ',false
699,'Beds are not real . ',false
755,'Meh . ',false
756,'It s in a good location and it s clean . ',false
757,'It s very dated . ',false
758,'The TV did nt work . ',false
759,'The staff at reception are nt warm . ',false
760,'I only stay here if I absolutely have to . ',false
761,'We were stranded with the storm so we booked it last minute . ',false
847,'Rude staff . ',false
848,'The staff gave an unpleasant vibe that started right off the bat . ',false
849,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',false
905,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
906,'Quiet , comfortable , clean , GREAT LOCATION . ',false
907,'Bar fridge in room was very useful . ',false
908,'Rooms and furniture need updating . ',false
909,'Pool area also needs a makeover . ',false
985,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
986,'Quiet , comfortable , clean , GREAT LOCATION . ',false
987,'Bar fridge in room was very useful . ',false
988,'Rooms and furniture need updating . ',false
989,'Pool area also needs a makeover . ',false
1055,'Thangs for the service ! ',false
1056,'The moon light !!!! ',false
1057,'Maybe update a little bit more coloRs and furniture !!! ',false
1108,'Good . ',false
1109,'The location . ',false
1110,'Bathrooms are showing their age . ',false
1111,'Time to renovate ! ',false
1192,'I wish I would have waited for lower rates the site was offering $ 75 per night . ',false
1193,'We stayed for two ni . ',false
1194,'Nice big room upgraded on arrival . ',false
1195,'The smell in lobby when you first walk in it smells stale like a nursing home . ',false
1196,'Too much antiseptic smell trying to cover up the stale smell . ',false
1197,'Beautiful older building I can appreciate . ',false
1198,'Also they had to turn off the water from midnight to 6 am . ',false
1199,'No big affect as far as comfort ',false
1295,'Good . ',false
1296,'location is good?Cprice is fair . ',false
1297,'its a old hotel , and in my room the curtain fell off ',false
1363,'The stay was OK but its a bit like a B&B with an old style hotel ambience without a bar and diner . ',false
1364,'Breakfast was good , location excellent , view from room was good . ',false
1365,'Room cleaning service was good . ',false
1366,'Safe place and quiet . ',false
1367,'No USB pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',false
1368,'The last evening we could not get into our room as we were apparently checked out already . ',false
1369,'No room service , no bar except during lunch time Not quite 4 star standard ',false
1465,'Excellent customer service . ',false
1466,'The staff were very accommodating and helpful . ',false
1467,'Our bathroom shower had mold on the walls . ',false
1468,'We explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',false
1469,'Excellent customer service . ',false
1540,'Good . ',false
1541,'Location is excellent , central , convenient to public transportation , restaurants , metro , and Place Dupuis food court , various services . ',false
1542,'Maintenance is spotty . ',false
1543,'Bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',false
1599,'Good . ',false
1600,'We really liked the location of the hotel . ',false
1601,'The swimming pool was cold . ',false
1652,'Pleasant . ',false
1653,'Great Location . ',false
1654,'The room have mold . ',false
1655,'They move me to another room becsuse of the noise from the contiguos room . ',false
1711,'Good . ',false
1712,'Close to shopping . ',false
1713,'No heat in bathroom ',false
1754,'Good . ',false
1755,'Service de concierge nest pas sufficient ',false
1801,'Okay . ',false
1802,'Location . ',false
1803,'The room was very tired and overused . ',false
1804,'The room need a facelift . ',false
1805,'The carpet was stained , there was mould in the bathroom . ',false
1871,'Overall nice one . ',false
1872,'Location . ',false
1873,'Facilities ',false
1944,'Good value for money . ',true
1945,'Great location , next to Metro station , big n modern food court , supermarket . ',false
1946,'Walkable to city centre . ',false
1947,'erred an electric teapot to a coffee maker . ',false
1948,'Coffee brewer can be cleaned after each guest . ',false
1949,'. ',false
1950,'sheet is big enough to be tucked under the matress . ',false
1951,'So that it wo nt be rolled up . ',false
2062,'Good cost effectiveness . ',true
2063,'Good location . ',false
2064,'Good location . ',false
2065,'Breakfest could be better . ',false
2066,'There is no room service and the restaurant is closed for dinner , what s is essential . ',false
2067,'Pool is only opened in the evening ! ',false
2148,'Okay . ',false
2149,'Great location . ',false
2150,'I lost some of my things when I left and i contacted them about it but they said they can?ft find it ... ',false
2151,'also , the hot water would only work in the morning ',false
2217,'Good . ',false
2218,'Great buffet . ',false
2219,'Too bad there was no fridge in our room since we booked the smaller room . ',false
2220,'Great location . ',false
2221,'Parking was scary but at least it wasn?ft on the street ',false
2307,'The room served its purpose . ',false
2308,'No more and no less . ',false
2309,'Room 718 - It was a very clean room . ',false
2310,'front staff was friendly . ',false
2311,'front entrance was beautiful . ',false
2312,'ked that there was parking underground with easy access to the hotel . ',false
2313,'Room 718 - The bathroom was in need of major renovation ( I was nt comfortable with the mold on the bath tub walls ) . ',false
2409,'Good . ',false
2410,'The lobby was clean and the room was clean and had a great view of the city . ',false
2411,'The restaurant in the hotel was good . ',false
2412,'The location of the hotel is great for access to St. Catherine s street and getting downtown . ',false
2413,'The bathrooms were outdated , and seemed a little scummy . ',false
2484,'Good value . ',true
2485,'The location was very convenient and the view from our room was outstanding . ',false
2486,'It needs to be updated . ',false
2487,'It took a full five minutes running the shower before the water was really warm . ',false
2538,'Pleasant . ',false
2539,'very old , needs reformation on comon areas . ',false
2570,'Probably would not stay there again . ',false
2571,'There was no working ice machine . ',false
2627,'Would go back and would recommend to friends . ',false
2628,'The rooms were roomy . ',false
2629,'The location was excellent . ',false
2630,'It was clean and The staff were awesome . ',false
2631,'The air ducts need cleaning . ',false
2632,'When they came on I smelled mould . ',false
2633,'The pool hours were limited and odd . ',false
2714,'Good . ',false
2715,'Location ',false
2751,'Very Good . ',false
2752,'Nice in the city . ',false
2753,'Room has no fridge ',false
2809,'Good . ',false
2810,'Good location . ',false
2811,'Lots of elevators that worked rapidly . ',false
2812,'Old building . ',false
2813,'Not a lot of amenities . ',false
2894,'Home away from home . ',false
2895,'Ideal location of hotel at the heart of downtown Montreal . ',false
2896,'Friendly and helpful staff . ',false
2897,'Trustworthy housekeeping . ',false
2898,'Wide selection of places close to the hotel ( metro stations , taxi , shopping malls , restaurants , pharmacies , etc ) . ',false
2899,'Too many homeless people near hotel . ',false
2975,'Pleasant . ',false
2976,'Good location . ',false
2977,'The design is quite old and need change lift to car park ',false
3043,'The hotel was convenient to the airport shuttle and subway . ',false
3044,'The bed was comfy . ',false
3045,'The coffee machine did nt work . ',false
3046,'There was a strange smell in the room . ',false
3047,'The room and hotel was a little tired and tatty . ',false
3048,'One of the staff was friendly . ',false
3049,'The others made no effort to be friendly or helpful . ',false
3135,'Not bad . ',false
3136,'Location , comfort . ',false
3137,'Payment process ',false
3183,'Very nice hotel , would recommend . ',false
3184,'Staff ( Sammy , at checkin ) very helpful in providing a room with a nice view ! ',false
3185,'Very bad signage for directions from parking garage to hotel through food court , ect . ',false
3236,'Good . ',false
3237,'LOCATION IS GREAT . ',false
3238,'OLD HOTEL WITH OLD EQUIPMENTS : OLD BATHROOM , OLD CARPETS .. ',false
3239,'NEEDS URGENT REMODELING ',false
3310,'Breakfast needs improvement . ',false
3311,'Proximity to everything in Montreal . ',false
3312,'Location . ',false
3313,'Breakfast a bit expensive . ',false
3314,'was cold . ',false
3315,'spresso ',false
3411,'Fairly good hotel , nice practical location . ',false
3412,'Good location , check - in / out was fast , I was able to get my room earlier than expected , and in general the stay was pleasant . ',false
3413,'It s also connected to a shopping mall and the metro system , so you do nt have to go outside to get to those . ',false
3414,'It was nt my first stay in this hotel and I m sure it wo nt be my last . ',false
3415,'A big space under the door let the sound and light in , which was mildly annoying while trying to sleep . ',false
3416,'I ve also reduced the score for  Facilities  because the hotel still follows the archaic ( and slightly offensive ) practice of putting a Bible ( or , in this case , New Testament ) in the room . ',false
3417,'As a Non-Christian , this irritates me and I would like it to stop . ',false
3503,'Pleasant . ',false
3504,'It was a nice clean hotel . ',false
3505,'During the night heard the air Circulation almost sounded like a Roller coaster kept waking me up ',false
3571,'Location , location , location . ',false
3572,'The location was absolutely terrific . ',false
3573,'The staff were extremely accommodating , but the hotel is in need of an update . ',false
3574,'Our first room smelled like smoke , and we were immediately moved to another room . ',false
3575,'Where the lock was nt working - it was immediately fixed . ',false
