@relation WLAN-negative

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
1708,'JJ','good','Good',1,'ROOT','. ',false
1709,'.','.','.',0,'punct','Good ',false
1710,'DT','the','The',1,'det','view - although ',false
1711,'NN','view','view',1,'ROOT','The - although the ',false
1712,':','-','-',0,'prep','The view although the windows ',false
1713,'IN','although','although',1,'mark','The view - the windows need ',false
1714,'DT','the','the',1,'det','view - although windows need cleaning ',false
1715,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
1716,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
1717,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
1718,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
1719,'TO','to','to',1,'aux','need cleaning or be changed out ',false
1720,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
1721,'VBN','change','changed',1,'conj','or to be out , as ',false
1722,'RP','out','out',1,'prt','to be changed , as they ',false
1723,',',',',',',0,'punct','be changed out as they were ',false
1724,'IN','as','as',1,'mark','changed out , they were not ',false
1725,'PRP','they','they',1,'nsubj','out , as were not clear ',false
1726,'VBD','be','were',1,'cop',', as they not clear . ',false
1727,'RB','not','not',1,'neg','as they were clear . ',false
1728,'JJ','clear','clear',1,'advcl','they were not . ',false
1729,'.','.','.',0,'punct','were not clear ',false
1730,'NNP','location','Location',1,'nsubj','is excellent . ',false
1731,'VBZ','be','is',1,'cop','Location excellent . ',false
1732,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
1733,'.','.','.',0,'punct','Location is excellent ',false
1734,'NN','water','Water',1,'nn','pressure is also ',false
1735,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
1736,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
1737,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
1738,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
1739,'.','.','.',0,'punct','is also excellent ',false
1740,'NN','bathroom','Bathroom',1,'nn','space is very ',false
1741,'NN','space','space',1,'nsubj','Bathroom is very small ',false
1742,'VBZ','be','is',1,'cop','Bathroom space very small for ',false
1743,'RB','very','very',1,'advmod','Bathroom space is small for potentially ',false
1744,'JJ','small','small',1,'ROOT','space is very for potentially 4 ',false
1745,'IN','for','for',1,'prep','is very small potentially 4 people ',false
1746,'RB','potentially','potentially',1,'quantmod','very small for 4 people . ',false
1747,'CD','0','4',0,'num','small for potentially people . ',false
1748,'NNS','people','people',1,'pobj','for potentially 4 . ',false
1749,'.','.','.',0,'punct','potentially 4 people ',false
1750,'NN','security','Security',1,'nsubj','should be a ',false
1751,'MD','should','should',1,'aux','Security be a priority ',false
