@relation Lage

@attribute id numeric
@attribute sentiment_average numeric
@attribute target_word string
@attribute dependency_related_unigrams string
@attribute dependency_related_bigrams string
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {positive, negative}

@data
2,-0.8666666666666667,'Location','dep_excellent ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
5,-0.0925925925925926,'mall','dep_small dep_inside dep_ dep_bonus ','dep_small_inside dep_inside_to dep__bonus ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
6,-0.0925925925925926,'mall','dep_small dep_inside dep_ dep_bonus ','dep_small_inside dep_inside_to dep__bonus ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
11,-0.0,'Location','dep_close ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
23,-0.018518518518518517,'Location','dep_Good dep_Location dep_ dep_parking dep_store dep_ ','dep_Good_Location dep_Location_ dep__parking dep_parking_store dep_store_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
28,0.26666666666666666,'location','dep_great ','',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
29,0.6,'View','dep_amazing ','',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
48,0.09999999999999999,'location','dep_Good dep_stay dep_ dep_adequate ','dep_Good_stay dep_stay_ dep__adequate ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
50,0.18095238095238095,'LOCATION','dep_Quiet dep_ dep_comfortable dep_clean dep_GREAT dep_LOCATION dep_ ','dep_Quiet_ dep__comfortable dep_comfortable_clean dep_clean_GREAT dep_GREAT_LOCATION dep_LOCATION_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
55,0.09999999999999999,'location','dep_Good dep_stay dep_ dep_adequate ','dep_Good_stay dep_stay_ dep__adequate ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
57,0.18095238095238095,'LOCATION','dep_Quiet dep_ dep_comfortable dep_clean dep_GREAT dep_LOCATION dep_ ','dep_Quiet_ dep__comfortable dep_comfortable_clean dep_clean_GREAT dep_GREAT_LOCATION dep_LOCATION_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
76,-0.8666666666666667,'location','dep_good dep_excellent ','dep_good_excellent ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
77,-0.43333333333333335,'view','dep_good ','dep_good_from ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
79,-0.1,'place','dep_Safe dep_place dep_quiet dep_ ','dep_Safe_place dep_place_and dep_quiet_ ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
90,0.8666666666666667,'Location','dep_excellent ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,positive
91,0.8666666666666667,'Location','dep_excellent ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,positive
92,0.8666666666666667,'Location','dep_excellent ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,positive
98,0.15555555555555556,'location','dep_liked ','dep_liked_of ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
100,-0.0,'Location','dep_Great dep_Location dep_ ','dep_Great_Location dep_Location_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
