@relation Ausstattung-positive

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
0,'JJ','good','Good',1,'ROOT','. ',false
1,'.','.','.',0,'punct','Good ',false
2,'DT','the','The',1,'det','view - although ',false
3,'NN','view','view',1,'ROOT','The - although the ',false
4,':','-','-',0,'prep','The view although the windows ',false
5,'IN','although','although',1,'mark','The view - the windows need ',false
6,'DT','the','the',1,'det','view - although windows need cleaning ',false
7,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
8,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
9,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
10,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
11,'TO','to','to',1,'aux','need cleaning or be changed out ',false
12,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
13,'VBN','change','changed',1,'conj','or to be out , as ',false
14,'RP','out','out',1,'prt','to be changed , as they ',false
15,',',',',',',0,'punct','be changed out as they were ',false
16,'IN','as','as',1,'mark','changed out , they were not ',false
17,'PRP','they','they',1,'nsubj','out , as were not clear ',false
18,'VBD','be','were',1,'cop',', as they not clear . ',false
19,'RB','not','not',1,'neg','as they were clear . ',false
20,'JJ','clear','clear',1,'advcl','they were not . ',false
21,'.','.','.',0,'punct','were not clear ',false
22,'NNP','location','Location',1,'nsubj','is excellent . ',false
23,'VBZ','be','is',1,'cop','Location excellent . ',false
24,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
25,'.','.','.',0,'punct','Location is excellent ',false
26,'NN','water','Water',1,'nn','pressure is also ',false
27,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
28,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
29,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
30,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
31,'.','.','.',0,'punct','is also excellent ',false
32,'NN','bathroom','Bathroom',1,'nn','space is very ',false
33,'NN','space','space',1,'nsubj','Bathroom is very small ',false
34,'VBZ','be','is',1,'cop','Bathroom space very small for ',false
35,'RB','very','very',1,'advmod','Bathroom space is small for potentially ',false
36,'JJ','small','small',1,'ROOT','space is very for potentially 4 ',false
37,'IN','for','for',1,'prep','is very small potentially 4 people ',false
38,'RB','potentially','potentially',1,'quantmod','very small for 4 people . ',false
39,'CD','0','4',0,'num','small for potentially people . ',false
40,'NNS','people','people',1,'pobj','for potentially 4 . ',false
41,'.','.','.',0,'punct','potentially 4 people ',false
42,'NN','security','Security',1,'nsubj','should be a ',false
43,'MD','should','should',1,'aux','Security be a priority ',false
44,'VB','be','be',1,'cop','Security should a priority , ',false
45,'DT','a','a',1,'det','Security should be priority , as ',false
46,'NN','priority','priority',1,'nsubjpass','should be a , as the ',false
47,',',',',',',0,'punct','be a priority as the hotel ',false
48,'IN','as','as',1,'prep','a priority , the hotel below ',false
49,'DT','the','the',1,'det','priority , as hotel below ground ',false
50,'NN','hotel','hotel',1,'pobj',', as the below ground level ',false
51,'IN','below','below',1,'prep','as the hotel ground level is ',false
52,'NN','ground','ground',1,'nn','the hotel below level is connected ',false
53,'NN','level','level',1,'pobj','hotel below ground is connected to ',false
54,'VBZ','be','is',1,'auxpass','below ground level connected to a ',false
55,'VBN','connect','connected',1,'ROOT','ground level is to a small ',false
56,'IN','to','to',1,'prep','level is connected a small inside ',false
57,'DT','a','a',1,'det','is connected to small inside mall ',false
58,'JJ','small','small',1,'amod','connected to a inside mall , ',false
59,'JJ','inside','inside',1,'amod','to a small mall , which ',false
60,'NN','mall','mall',1,'pobj','a small inside , which is ',false
61,',',',',',',0,'punct','small inside mall which is a ',false
62,'WDT','which','which',1,'nsubj','inside mall , is a huge ',false
63,'VBZ','be','is',1,'cop','mall , which a huge bonus ',false
64,'DT','a','a',1,'det',', which is huge bonus , ',false
65,'JJ','huge','huge',1,'amod','which is a bonus , but ',false
66,'NN','bonus','bonus',1,'rcmod','is a huge , but - ',false
67,',',',',',',0,'punct','a huge bonus but - it ',false
68,'CC','but','but',1,'cc','huge bonus , - it also ',false
69,',','-','-',0,'punct','bonus , but it also seems ',false
70,'PRP','it','it',1,'nsubj',', but - also seems to ',false
71,'RB','also','also',1,'advmod','but - it seems to be ',false
72,'VBZ','seem','seems',1,'conj','- it also to be a ',false
73,'TO','to','to',1,'aux','it also seems be a converging ',false
74,'VB','be','be',1,'cop','also seems to a converging space ',false
75,'DT','a','a',1,'det','seems to be converging space for ',false
76,'JJ','converging','converging',1,'amod','to be a space for the ',false
77,'NN','space','space',1,'xcomp','be a converging for the homeless ',false
78,'IN','for','for',1,'prep','a converging space the homeless , ',false
79,'DT','the','the',1,'det','converging space for homeless , who ',false
80,'JJ','homeless','homeless',1,'pobj','space for the , who have ',false
81,',',',',',',0,'punct','for the homeless who have mental ',false
82,'WP','who','who',1,'nsubj','the homeless , have mental health ',false
83,'VBP','have','have',1,'rcmod','homeless , who mental health issues ',false
84,'JJ','mental','mental',1,'amod',', who have health issues and ',false
85,'NN','health','health',1,'nn','who have mental issues and addiction ',false
86,'NNS','issue','issues',1,'dobj','have mental health and addiction issues ',false
87,'CC','and','and',1,'cc','mental health issues addiction issues . ',false
88,'NN','addiction','addiction',1,'nn','health issues and issues . ',false
89,'NNS','issue','issues',1,'conj','issues and addiction . ',false
90,'.','.','.',0,'punct','and addiction issues ',false
91,'VBZ','make','Makes',1,'ROOT','them very in-predictable ',false
92,'PRP','them','them',1,'nsubj','Makes very in-predictable and ',false
93,'RB','very','very',1,'advmod','Makes them in-predictable and I ',false
94,'JJ','in-predictable','in-predictable',1,'xcomp','Makes them very and I would ',false
