@relation Komfort

@attribute id numeric
@attribute lemma string
@attribute dependencies string
@attribute lexicons_min numeric
@attribute lexicons_max numeric
@attribute lexicons_extremes_difference numeric
@attribute contains_negation numeric
@attribute sentence_length numeric
@attribute aspecttype {true, false}

@data
32,'good ','root punct ',0.0,1.0,1.0,0,7,false
33,'view window need clean change clear ','det root prep mark det nsubj advcl xcomp cc aux auxpass conj prt punct mark nsubj cop neg advcl punct ',0.0,1.0,1.0,1,94,false
34,'location excellent ','nsubj cop root punct ',0.0,1.0,1.0,1,24,false
35,'water pressure also excellent ','nn nsubj cop advmod root punct ',-0.2,1.0,1.2,1,35,true
36,'bathroom space small potentially people ','nn nsubj cop advmod root prep quantmod num pobj punct ',0.0,0.0,0.0,1,56,true
37,'security priority hotel ground level connect small inside mall huge bonus also seem converging space homeless mental health issue addiction issue ','nsubj aux cop det nsubjpass punct prep det pobj prep nn pobj auxpass root prep det amod amod pobj punct nsubj cop det amod rcmod punct cc punct nsubj advmod conj aux cop det amod xcomp prep det pobj punct nsubj rcmod amod nn dobj cc nn conj punct ',0.0,1.0,1.0,1,243,false
38,'make in-predictable want run small kid tow ','root nsubj advmod xcomp cc nsubjpass aux neg aux conj aux xcomp prep pobj prep pobj prep amod pobj prep pobj punct ',0.0,0.2,0.2,1,108,false
39,'see episode next morning ','root det amod amod nsubj det amod ccomp punct ',0.0,0.0,0.0,0,45,false
72,'fine ','root punct ',0.0,0.4,0.4,0,7,false
73,'gym equipment need upgrade ','nsubj root det nn nsubjpass aux auxpass ccomp ',0.0,0.0,0.0,1,42,false
92,'enjoy stay ','root poss dobj punct ',0.0,1.0,1.0,0,19,true
93,'comfortable foot rest ','amod cc conj root punct ',0.0,0.5,0.5,0,28,false
94,'next elevator ','dep root pobj ',0.0,0.0,0.0,0,18,false
140,'economical property search area room improvement ','cop advmod root prep amod pobj nsubj rcmod prep det pobj cc expl conj nsubj prep pobj punct ',0.0,1.0,1.0,1,101,false
141,'location close event attend ','nsubj cop root prep det pobj nsubj aux rcmod punct ',0.0,0.0,0.0,1,52,false
142,'parking structure attack hotel need park outside ','expl root det nn nsubj ccomp prep det pobj mark nsubj aux neg advcl aux xcomp advmod punct ',-0.2,0.5,0.7,1,89,false
143,'travel pet request mini fridge room medication storage honour charge ','nsubj aux nsubjpass prep pobj cc poss conj prep det amod pobj prep det pobj prep nn pobj auxpass root prep det pobj punct ',0.0,0.4,0.4,1,122,true
144,'bathroom date tile crack shower much grout black ','det nsubjpass auxpass nsubj punct det nsubjpass auxpass parataxis prep det pobj cc conj prep det pobj cop root punct ',0.0,0.0,0.0,0,97,true
145,'carpet stain dirty ( sock turn get dirty walking carpet ) ','det nsubjpass auxpass root cc cop neg conj punct poss nsubj aux neg parataxis xcomp amod dobj prep pobj dep punct ',-0.4,0.0,0.4,1,97,false
146,'parking garage low ceiling ( foot max clearance ) large vehicle fit cost day ','nn nsubj root amod dobj dep num nn nn nsubj advmod advmod amod nsubj aux neg ccomp cc conj cop rcmod number number tmod punct ',0.0,0.3333333333333333,0.3333333333333333,1,114,false
147,'charge clean room travel pet tell check ','expl root det amod dep nsubj prep pcomp det dobj mark nsubj advcl prep pobj complm nsubjpass auxpass neg ccomp prep dep dep nn amod pobj punct ',0.0,1.0,1.0,1,123,false
148,'bar restaurant close go drink evening post hour operation.u ','det nsubj dep nsubjpass auxpass root advmod nsubj advcl aux xcomp det nn num dobj cc expl conj det amod nsubj prep pobj ',0.0,0.0,0.0,1,118,false
204,'acceptably ','root punct ',0.0,0.0,0.0,0,13,false
205,'good location parking grocery store building ','nn root punct appos punct nn appos prep det pobj punct ',0.0,1.0,1.0,0,58,false
206,'old hotel relevant smell socket room ','amod root cc amod conj punct det appos prep det pobj advmod dep punct ',0.0,0.6666666666666666,0.6666666666666666,1,63,true
207,'charge cellular bathroom ','root aux xcomp dobj prep pobj punct ',0.0,0.0,0.0,0,37,false
208,'air condition terrible ','nn nsubj cop root punct ',-0.6,0.0,0.6,0,29,true
209,'ask staff switch evening night start blow cool air noisy ','root aux xcomp dobj aux xcomp dobj prt prep det pobj punct cc prep pobj nsubj conj nn amod dobj advmod advmod punct ',-0.2,0.5,0.7,1,102,false
210,'cold uncomfortable ','nsubj cop advmod root cc conj punct ',-0.4,0.0,0.4,0,37,false
264,'stay okay ','nsubj cop root punct ',0.0,0.0,0.0,0,16,false
265,'consider stay ','nsubj aux root xcomp advmod advmod punct ',0.0,0.0,0.0,0,38,false
266,'location great right downtown montreal ','det nsubj cop ccomp punct amod nn root punct ',0.0,0.6,0.6,1,51,false
267,'view amazing bed comfortable enough ','nsubj cop root cc det nsubj cop conj advmod punct ',0.0,0.8,0.8,1,54,true
268,'hotel outdated ','det nsubj cop root punct ',0.0,0.0,0.0,0,25,false
269,'carpet pretty old vent dusty ','nsubj cop advmod root cc det nsubj cop advmod conj punct ',0.0,0.5,0.5,1,52,false
270,'actually see caked dust ','nsubj aux advmod root det dobj prep pobj punct ',0.0,0.0,0.0,0,41,false
271,'need update aesthetically ','nsubj aux root xcomp advmod punct ',0.0,0.0,0.0,1,38,false
320,'good ','root punct ',0.0,1.0,1.0,0,7,false
321,'housekeeper sweet great job ','det nsubj cop advmod root cc nsubj conj det amod dobj punct ',0.0,1.0,1.0,0,57,false
322,'little thing break light mildew drippy faucet ','expl root det amod nsubj prep amod pobj punct amod cc conj nsubj punct ',0.0,0.0,0.0,0,78,true
323,'hotel need bit tlc ','det nsubj root det dobj prep pobj punct ',0.0,0.0,0.0,1,31,false
324,'otherwise nice experience ','advmod det amod root punct ',0.0,0.6,0.6,0,30,false
325,'housekeeping staff friendly great job ','det nn nsubj cop advmod root cc nsubj conj det amod dobj ',0.0,1.0,1.0,0,67,false
352,'good ','root punct ',0.0,1.0,1.0,0,7,false
353,'bed real ','nsubj cop neg root punct ',0.0,0.5,0.5,1,20,false
