@relation drinks#style_options

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
8,'Judging from previous posts this used to be a good place , but not any longer . ',false
20,'We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . ',false
32,'They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table . ',false
44,'The food was lousy - too sweet or too salty and the portions tiny . ',false
56,'After all that , they complained to me about the small tip . ',false
68,'Avoid this place ! ',false
80,'I have eaten at Saul , many times , the food is always consistently , outrageously good . ',false
92,'Saul is the best restaurant on Smith Street and in Brooklyn . ',false
104,'The duck confit is always amazing and the foie gras terrine with figs was out of this world . ',false
116,'The wine list is interesting and has many good values . ',true
128,'For the price , you can not eat this well in Manhattan . ',false
140,'I was very disappointed with this restaurant . ',false
152,'Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away . ',false
164,'I had to ask her three times before she finally came back with the dish Ive requested . ',false
176,'Food was okay , nothing great . ',false
188,'Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . ',false
200,'I / we will never go back to this place again . ',false
212,'Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great ! ',false
224,'Service was devine , oysters where a sensual as they come , and the price ca nt be beat !!! ',false
236,'You ca nt go wrong here . ',false
248,'Every time in New York I make it a point to visit Restaurant Saul on Smith Street . ',false
260,'Everything is always cooked to perfection , the service is excellent , the decor cool and understated . ',false
272,'I had the duck breast special on my last visit and it was incredible . ',false
284,'Ca nt wait wait for my next visit . ',false
296,'The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share ! ',false
308,'We went around 9:30 on a Friday and it had died down a bit by then so the service was great ! ',false
320,'we love th pink pony . ',false
332,'THe perfect spot . ',false
344,'Food - awesome . ',false
356,'Service- friendly and attentive . ',false
368,'Ambiance - relaxed and stylish . ',false
380,'Do nt judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . ',false
392,'the food is decent . ',false
404,'however , it s the service that leaves a bad taste in my mouth . ',false
416,'i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i.e. make me feel bad asking for trivialities like water , or the check . ',false
428,'i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i m here to eat and enjoy the company of friends , seeking a pleasant experience . ',false
440,'well , i did nt find it there , and trust , i have told everyone i can think of about my experience . ',false
452,'the last time i walked by it looked pretty empty . ',false
464,'hmmm . ',false
476,'This place has got to be the best japanese restaurant in the new york area . ',false
488,'I had a great experience . ',false
500,'Food is great . ',false
512,'Service is top notch . ',false
524,'I have been going back again and again . ',false
536,'I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose . ',false
548,'It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery . ',false
560,'The sushi seemed pretty fresh and was adequately proportioned . ',false
572,'The rice to fish ration was also good -- they did nt try to overpack the rice . ',false
584,'We took advanatage of the half price sushi deal on saturday so it was well worth it . ',false
596,'Surprisingly nothing could be further from the truth . ',false
608,'In the evening , this place attracted a well dressed , with it , NY crowd . ',false
620,'The food was well prepared and the service impecable . ',false
632,'I m going back . ',false
