@relation Komfort-negative

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
1464,'JJ','good','Good',1,'ROOT','. ',false
1465,'.','.','.',0,'punct','Good ',false
1466,'DT','the','The',1,'det','view - although ',false
1467,'NN','view','view',1,'ROOT','The - although the ',false
1468,':','-','-',0,'prep','The view although the windows ',false
1469,'IN','although','although',1,'mark','The view - the windows need ',false
1470,'DT','the','the',1,'det','view - although windows need cleaning ',false
1471,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
1472,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
1473,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
1474,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
1475,'TO','to','to',1,'aux','need cleaning or be changed out ',false
1476,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
1477,'VBN','change','changed',1,'conj','or to be out , as ',false
1478,'RP','out','out',1,'prt','to be changed , as they ',false
1479,',',',',',',0,'punct','be changed out as they were ',false
1480,'IN','as','as',1,'mark','changed out , they were not ',false
1481,'PRP','they','they',1,'nsubj','out , as were not clear ',false
1482,'VBD','be','were',1,'cop',', as they not clear . ',false
1483,'RB','not','not',1,'neg','as they were clear . ',false
1484,'JJ','clear','clear',1,'advcl','they were not . ',false
1485,'.','.','.',0,'punct','were not clear ',false
1486,'NNP','location','Location',1,'nsubj','is excellent . ',false
1487,'VBZ','be','is',1,'cop','Location excellent . ',false
1488,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
1489,'.','.','.',0,'punct','Location is excellent ',false
1490,'NN','water','Water',1,'nn','pressure is also ',false
1491,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
1492,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
1493,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
1494,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
1495,'.','.','.',0,'punct','is also excellent ',false
1496,'NN','bathroom','Bathroom',1,'nn','space is very ',false
1497,'NN','space','space',1,'nsubj','Bathroom is very small ',false
1498,'VBZ','be','is',1,'cop','Bathroom space very small for ',false
1499,'RB','very','very',1,'advmod','Bathroom space is small for potentially ',false
1500,'JJ','small','small',1,'ROOT','space is very for potentially 4 ',false
1501,'IN','for','for',1,'prep','is very small potentially 4 people ',false
1502,'RB','potentially','potentially',1,'quantmod','very small for 4 people . ',false
