@relation food#style_options

@attribute id numeric
@attribute sentiment_average numeric
@attribute target_word string
@attribute dependency_related_unigrams string
@attribute dependency_related_bigrams string
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {positive, neutral, negative}

@data
4,0.26666666666666666,'portions','dep_sweet dep_tiny ','dep_sweet_tiny ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
58,0.0,'sushi','dep_seemed ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
59,-0.08666666666666667,'rice to fish ration','dep_rice dep_fish dep_good dep_ dep_try dep_overpack dep_ ','dep_rice_fish dep_fish_to dep_good_ dep__try dep_try_overpack dep_overpack_the ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
68,0.11555555555555555,'Prix Fixe menu','dep_menu dep_Prix dep_Fixe dep_worth ','dep_menu_Prix dep_Prix_Fixe dep_Fixe_worth ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
71,0.06666666666666667,'food','dep_much dep_tasty dep_ ','dep_much_tasty dep_tasty_is dep__all ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
87,0.0,'strips','','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
95,0.0,'menu','dep_changing dep_offers ','dep_changing_offers ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
113,0.0,'portions','dep_large ','dep_large_in ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
145,-0.0,'menu','','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
146,0.0,'Steak Tartare','dep_Tartare dep_Steak dep_bet ','dep_Tartare_Steak dep_Steak_bet ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
176,0.0,'dessert','dep_Tiny dep_ ','dep_Tiny_ ',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negative
184,0.08333333333333333,'exotic food','dep_food dep_exotic dep_presented ','dep_food_exotic dep_exotic_presented ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
218,-0.3333333333333333,'appetizer selection','dep_stinks ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
220,0,'NULL','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
223,0.0,'choices','dep_ dep_different ','dep__different dep_different_Over ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
229,0.06666666666666667,'cheeseburger','dep_huge ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
268,0.03333333333333333,'bagel','dep_huge ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
270,0.0,'bagel','dep_load ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
312,-0.0,'nothing','dep_people ','',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,neutral
361,-0.0,'stuff','dep_simple dep_Cassuolet ','dep_simple_Cassuolet ',0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
409,0.0,'menu','dep_typical ','',0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,neutral
452,0.0,'Lobster Bisque','dep_Bisque dep_Lobster ','dep_Bisque_Lobster dep_Lobster_had ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
453,0.0,'Lobster Bisque','dep_Maine ','dep_Maine_of ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
464,0.0,'portions','dep_large ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
479,-0.3,'menu','dep_limited ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
487,0.0,'portions','dep_really dep_large dep_portions dep_ ','dep_really_large dep_large_portions dep_portions_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
493,-0.0,'portions','dep_large ','dep_large_with ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
518,0.03333333333333333,'cream cheeses','dep_different dep_cheeses dep_cream ','dep_different_cheeses dep_cheeses_cream dep_cream_of ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
539,-0.2,'menu','dep_limited dep_Despite ','dep_limited_Despite ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
541,0.16666666666666666,'food','dep_art ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
614,0.05555555555555555,'portions','dep_small ','',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,positive
618,-0.0,'sandwiches','dep_ dep_ ','dep__ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
624,0.0,'dishes','dep_MEAT dep_whatsoever ','dep_MEAT_are ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
631,0.1111111111111111,'portion sizes','dep_sizes dep_portion dep_appropriate ','dep_sizes_portion dep_portion_appropriate ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
641,0.3,'menu','dep_limited ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
651,-0.0,'lobster sandwich','dep_sandwich dep_lobster dep_ ','dep_sandwich_lobster dep_lobster_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
673,0.2888888888888889,'Cheese plate','dep_plate dep_Cheese dep_delight ','dep_plate_Cheese dep_Cheese_delight ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
675,0.0,'bruschettas','dep_ dep_paninis ','dep__paninis ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
676,0.0,'paninis','dep_bruschettas ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
677,0.0,'tramezzinis','dep_keep ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
736,0.0,'buffet','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
745,0.0,'cheeseburgers','dep_wanted ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,neutral
746,-0.06666666666666667,'they','dep_big ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
747,-0.3333333333333333,'burgers','dep_fell ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
749,0.009523809523809525,'pastrami sandwich on a roll','dep_sandwich dep_huge dep_pastrami dep_roll ','dep_sandwich_huge dep_huge_pastrami dep_pastrami_had ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
765,0.0,'he','dep_eaten dep_exclaimed ','dep_eaten_exclaimed dep_exclaimed_had ',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,negative
766,0.2333333333333333,'portion','dep_fine ','',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,positive
774,0.34444444444444444,'menu','dep_good dep_size dep_food ','dep_good_size dep_size_food ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
831,-0.39999999999999997,'rolls','dep_creative ','dep_creative_to ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
840,0.3,'entree','dep_bland ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
