@relation Sauberkeit

@attribute id numeric
@attribute target string
@attribute unigrams string
@attribute aspecttype {positive, negative}

@data
0,'target_windows','good . the view - although the window need clean or to be change out , as they be not clear . location be excellent . water pressure be also excellent . bathroom space be very small for potentially 0 people . security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . make them very in-predictable and I would not have want to run into #crd# of them with small kid in tow . see a few have episode the next morning . ',negative
0,'target_windows','good . the view - although the window need clean or to be change out , as they be not clear . location be excellent . water pressure be also excellent . bathroom space be very small for potentially 0 people . security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . make them very in-predictable and I would not have want to run into #crd# of them with small kid in tow . see a few have episode the next morning . ',negative
0,'target_grout','be more economical than other property I search in the area but there be room for improvement . location be close to the event we be attend . there be a parking structure attack to the hotel so you do not need to park outside . you can travel with pet and our request for a mini fridge in the room for medication storage be honour at no charge . the bathroom be date , some tile be crack in the shower and much of the grout be black . the carpet be stain but be not dirty ( my sock do not turn get dirty walking on carpet ) . parking garage have low ceiling ( 0 foot max clearance ) so large vehicle will not fit and cost be $ 0 / day . there be a $ 0 charge for clean the room if you travel with pet that we be not tell about until after check - in . the bar / restaurant be close when we go to have a drink #crd# evening and there be no post hour of operation.u ',negative
0,'target_carpet','be more economical than other property I search in the area but there be room for improvement . location be close to the event we be attend . there be a parking structure attack to the hotel so you do not need to park outside . you can travel with pet and our request for a mini fridge in the room for medication storage be honour at no charge . the bathroom be date , some tile be crack in the shower and much of the grout be black . the carpet be stain but be not dirty ( my sock do not turn get dirty walking on carpet ) . parking garage have low ceiling ( 0 foot max clearance ) so large vehicle will not fit and cost be $ 0 / day . there be a $ 0 charge for clean the room if you travel with pet that we be not tell about until after check - in . the bar / restaurant be close when we go to have a drink #crd# evening and there be no post hour of operation.u ',negative
0,'target_smell','acceptably . good location , parking , grocery store in the building . old hotel and relevant smell , no socket in the room at all . have to charge cellular in bathroom . air condition be terrible . have to ask staff to switch it off in the evening , but at night it start blow cool air very noisy . it be very cold and uncomfortable . ',negative
0,'target_vent','stay be okay . I will consider stay there again . the location be great , right downtown montreal . view be amazing and the bed be comfortable enough . the hotel be outdated . carpet be pretty old and the vent be very dusty . you can actually see the caked on dust . it do need update aesthetically . ',negative
0,'target_faucet','good . the housekeeper be very sweet and she do a great job . there be some little thing like break light , mildew and drippy faucet . the hotel need a bit of tlc . otherwise a nice experience . the housekeeping staff be very friendly and they do a great job ',negative
0,'target_smells','I wish I would have wait for low rate the site be offer $ 0 per night . we stay for #crd# ni . nice big room upgrade on arrival . the smell in lobby when you #ord# walk in it smell stale like a nursing home . too much antiseptic smell try to cover up the stale smell . beautiful old building I can appreciate . also they have to turn off the water from midnight to 0 am . no big affect as far as comfort ',negative
0,'target_drain','good . location be excellent , central , convenient to public transportation , restaurant , metro , and place dupuis food court , various service . maintenance be spotty . bathtub drain clog , hairdryer didn?ft work , ice maker on several floor be out of order , furniture in room scuff . ',negative
0,'target_carpet','okay . location . the room be very tired and overused . the room need a facelift . the carpet be stain , there be mould in the bathroom . ',negative
0,'target_lobby','good . the lobby be clean and the room be clean and have a great view of the city . the restaurant in the hotel be good . the location of the hotel be great for access to st. catherine s street and get downtown . the bathroom be outdated , and seem a little scummy . ',positive
0,'target_room','good . the lobby be clean and the room be clean and have a great view of the city . the restaurant in the hotel be good . the location of the hotel be great for access to st. catherine s street and get downtown . the bathroom be outdated , and seem a little scummy . ',positive
0,'target_bathrooms','good . the lobby be clean and the room be clean and have a great view of the city . the restaurant in the hotel be good . the location of the hotel be great for access to st. catherine s street and get downtown . the bathroom be outdated , and seem a little scummy . ',negative
0,'target_ducts','would go back and would recommend to friend . the room be roomy . the location be excellent . it be clean and the staff be awesome . the air duct need clean . when they come on I smell mould . the pool hour be limited and odd . ',negative
0,'target_smell','the hotel be convenient to the airport shuttle and subway . the bed be comfy . the coffee machine do not work . there be a strange smell in the room . the room and hotel be a little tired and tatty . #crd# of the staff be friendly . the other make no effort to be friendly or helpful . ',negative
0,'target_hotel','pleasant . it be a nice clean hotel . during the night hear the air circulation almost sound like a roller coaster keep wake me up ',positive
0,'target_smelled','location , location , location . the location be absolutely terrific . the staff be extremely accommodate , but the hotel be in need of an update . our #ord# room smell like smoke , and we be immediately move to another room . where the lock be not work - it be immediately fix . the staff help us book our train ride , loan us a wine opener , and never say  no  to a request . the room need upgrade . ',negative
0,'target_room','pleasant . the location be excellent . room be clean . I be surprised that the ac be very noisy . ose it and try to open the fresh air , I find spider network outside the window . ve all comment to them at check out hope fixation in next time . ',positive
0,'target_room','after read some negative review , I must admit our experience be quite ok . location ; indoor garage ; clean room . the pool could be open a bit long but still , it s nice to have #crd# . ',positive
0,'target_room','location be key . great location , parking garage and easy walk to a number of restaurant , shop and thing to see and do . book a king room and give room with #crd# queen bed which be right next to incredibly noisy elevator . slept poorly and the queen room be less on #url# website so may have overpay . lack washcloth and room not clean as well 0 st night of stay as it be the #ord# night . parking not validate on check in but this be address at check out ',negative
