@relation Hotelpersonal

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
8,'good . ',false
9,'the view - although the windows need cleaning or to be changed out , as they were not clear . ',false
10,'location is excellent . ',false
11,'water pressure is also excellent . ',false
12,'bathroom space is very small for potentially 4 people . ',false
13,'security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
14,'makes them very in-predictable and i would not have wanted to run into one of them with small kids in tow . ',false
15,'saw a few having episodes the next morning . ',false
66,'fine . ',false
67,'gym had no equipment needs to be upgraded ',false
83,'enjoyed our stay . ',false
84,'comfortable and foot rest . ',false
85,'next to elevators ',false
113,'was more economical than other properties i searched in the area but there is room for improvement . ',false
114,'location was close to the event we were attending . ',false
115,'there is a parking structure attacked to the hotel so you did not need to park outside . ',false
116,'you can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
117,'the bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
118,'the carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
119,'parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
120,'there was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',true
121,'the bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
183,'acceptably . ',false
184,'good location , parking , grocery store in the building . ',false
185,'old hotel and relevant smell , no sockets in the room at all . ',false
186,'had to charge cellular in bathroom . ',false
187,'air condition was terrible . ',false
188,'had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
189,'it was very cold and uncomfortable . ',false
240,'stay was okay . ',false
241,'i will consider staying there again . ',false
242,'the location was great , right downtown montreal . ',false
243,'view was amazing and the bed was comfortable enough . ',false
244,'the hotel was outdated . ',false
245,'carpet was pretty old and the vent was very dusty . ',false
246,'you can actually see the caked on dust . ',false
247,'it does need updating aesthetically . ',false
302,'good . ',false
303,'the housekeeper was very sweet and she did a great job . ',true
304,'there were some little things like broken lights , mildew and drippy faucet . ',false
305,'the hotel needs a bit of tlc . ',false
306,'otherwise a nice experience . ',false
307,'the housekeeping staff were very friendly and they did a great job ',true
346,'good . ',false
347,'beds are not real . ',false
367,'meh . ',false
368,'it s in a good location and it s clean . ',false
369,'it s very dated . ',false
370,'the tv did nt work . ',false
371,'the staff at reception are nt warm . ',true
372,'i only stay here if i absolutely have to . ',false
373,'we were stranded with the storm so we booked it last minute . ',false
419,'rude staff . ',true
420,'the staff gave an unpleasant vibe that started right off the bat . ',true
421,'the one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all i did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',true
445,'good location , adequate for our stay , would stay there again if the price was right . ',false
446,'quiet , comfortable , clean , great location . ',false
447,'bar fridge in room was very useful . ',false
448,'rooms and furniture need updating . ',false
449,'pool area also needs a makeover . ',false
485,'good location , adequate for our stay , would stay there again if the price was right . ',false
486,'quiet , comfortable , clean , great location . ',false
487,'bar fridge in room was very useful . ',false
488,'rooms and furniture need updating . ',false
489,'pool area also needs a makeover . ',false
523,'thangs for the service ! ',false
524,'the moon light !!!! ',false
525,'maybe update a little bit more colors and furniture !!! ',false
548,'good . ',false
549,'the location . ',false
550,'bathrooms are showing their age . ',false
551,'time to renovate ! ',false
584,'i wish i would have waited for lower rates the site was offering $ 75 per night . ',false
585,'we stayed for two ni . ',false
586,'nice big room upgraded on arrival . ',false
587,'the smell in lobby when you first walk in it smells stale like a nursing home . ',false
588,'too much antiseptic smell trying to cover up the stale smell . ',false
589,'beautiful older building i can appreciate . ',false
590,'also they had to turn off the water from midnight to 6 am . ',false
591,'no big affect as far as comfort ',false
643,'good . ',false
644,'location is good?cprice is fair . ',false
645,'its a old hotel , and in my room the curtain fell off ',false
671,'the stay was ok but its a bit like a b&b with an old style hotel ambience without a bar and diner . ',false
672,'breakfast was good , location excellent , view from room was good . ',false
673,'room cleaning service was good . ',true
674,'safe place and quiet . ',false
675,'no usb pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',false
676,'the last evening we could not get into our room as we were apparently checked out already . ',false
677,'no room service , no bar except during lunch time not quite 4 star standard ',true
725,'excellent customer service . ',true
726,'the staff were very accommodating and helpful . ',true
727,'our bathroom shower had mold on the walls . ',false
728,'we explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',true
729,'excellent customer service . ',true
764,'good . ',false
765,'location is excellent , central , convenient to public transportation , restaurants , metro , and place dupuis food court , various services . ',false
766,'maintenance is spotty . ',true
767,'bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',false
795,'good . ',false
796,'we really liked the location of the hotel . ',false
797,'the swimming pool was cold . ',false
820,'pleasant . ',false
821,'great location . ',false
822,'the room have mold . ',false
823,'they move me to another room becsuse of the noise from the contiguos room . ',false
851,'good . ',false
852,'close to shopping . ',false
853,'no heat in bathroom ',false
874,'good . ',false
875,'service de concierge nest pas sufficient ',false
893,'okay . ',false
894,'location . ',false
895,'the room was very tired and overused . ',false
896,'the room need a facelift . ',false
897,'the carpet was stained , there was mould in the bathroom . ',false
931,'overall nice one . ',false
932,'location . ',false
933,'facilities ',false
960,'good value for money . ',false
961,'great location , next to metro station , big n modern food court , supermarket . ',false
962,'walkable to city centre . ',false
