@relation ambience#general

@attribute id numeric
@attribute sentiment_average numeric
@attribute target_word string
@attribute dependency_related_unigrams string
@attribute dependency_related_bigrams string
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {positive, neutral, negative}

@data
31,0.2833333333333333,'decor','dep_cool ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
41,0.0,'Ambiance','dep_Ambiance dep_ dep_ ','dep_Ambiance_ dep__ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
83,0.2833333333333333,'ambience','dep_pretty ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
85,0.0,'ambience','','',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,positive
101,-0.5,'Leon','dep_gem ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
103,-0.13333333333333333,'atmosphere','dep_warm dep_fare ','dep_warm_fare ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
111,0.26666666666666666,'decor','dep_great ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
124,0.2333333333333333,'atmoshpere','dep_like ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
138,0,'NULL','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
141,0.05555555555555555,'place','dep_small ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
147,-0.0,'open kitchen','dep_kitchen dep_open dep_part ','dep_kitchen_open dep_open_part ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
148,-0.0,'restaurant','dep_inside ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
152,-0.0761904761904762,'food','dep_best dep_French dep_packed dep_find ','dep_best_French dep_French_packed dep_packed_find ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
153,-0.43333333333333335,'vibe','dep_good ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
162,0.3333333333333333,'setting','dep_intimate dep_provides ','dep_intimate_provides ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
182,0.15555555555555556,'Downstairs lounge','dep_lounge dep_Downstairs dep_attraction ','dep_lounge_Downstairs dep_Downstairs_attraction ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
183,0,'Ragas','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
202,0.0,'shows','dep_everythig dep_actors ','dep_everythig_and ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
203,0.0,'actors','dep_shows ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
210,0.6666666666666666,'Inside','dep_cramped ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
227,0.0,'theater','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
240,0.21666666666666667,'Traditional French decour','dep_decour dep_Traditional dep_French dep_pleasant ','dep_decour_Traditional dep_Traditional_French dep_French_pleasant ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
241,-0.3,'hall','dep_noisy ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
248,0.26666666666666666,'decor','dep_vibrant ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
249,0.0,'semiprivate boths','dep_several dep_boths dep_semiprivate ','dep_several_boths dep_boths_semiprivate dep_semiprivate_with ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
251,0.0,'live jazz band','dep_band dep_live dep_jazz dep_atmosphere ','dep_band_live dep_live_jazz dep_jazz_by ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
252,0.0,'atmosphere','dep_band ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
253,-0.39999999999999997,'restaurant','dep_cute ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
265,0.0,'they','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
278,0.0,'ambience','dep_Bart dep_service ','dep_Bart_and ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
281,0,'NULL','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
289,0.0,'sushi','dep_average ','',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
293,0.0,'flavor','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
304,0.0,'friends','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
314,0.0,'vibe','dep_Great dep_vibe dep_ dep_lots dep_ ','dep_Great_vibe dep_vibe_ dep__lots dep_lots_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
315,-0.2333333333333333,'atmosphere','dep_liked ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
317,0.7999999999999999,'Ambience','dep_cute ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
331,-0.3,'atmosphere','dep_noisy ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
