@relation test

@attribute id numeric
@attribute text string
@attribute type string
@attribute aspecttype {true, false}

@data
48,'Good . ',WLAN-positive,false
49,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',WLAN-positive,false
50,'Location is excellent . ',WLAN-positive,false
51,'Water pressure is also excellent . ',WLAN-positive,false
52,'Bathroom space is very small for potentially 4 people . ',WLAN-positive,false
53,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',WLAN-positive,false
54,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',WLAN-positive,false
55,'Saw a few having episodes the next morning . ',WLAN-positive,false
140,'Fine . ',WLAN-positive,false
141,'Gym had no equipment Needs to be upgraded ',WLAN-positive,false
178,'Enjoyed our stay . ',WLAN-positive,false
179,'Comfortable and Foot rest . ',WLAN-positive,false
180,'Next to elevators ',WLAN-positive,false
262,'Was more economical than other properties I searched in the area but there is room for improvement . ',WLAN-positive,false
263,'Location was close to the event we were attending . ',WLAN-positive,false
264,'There is a parking structure attacked to the hotel so you did not need to park outside . ',WLAN-positive,false
265,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',WLAN-positive,false
266,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',WLAN-positive,false
267,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',WLAN-positive,false
268,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',WLAN-positive,false
269,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',WLAN-positive,false
270,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',WLAN-positive,false
394,'Acceptably . ',WLAN-positive,false
395,'Good Location , parking , grocery store in the building . ',WLAN-positive,false
396,'Old hotel and relevant smell , no sockets in the room at all . ',WLAN-positive,false
397,'Had to charge cellular in bathroom . ',WLAN-positive,false
398,'Air condition was terrible . ',WLAN-positive,false
399,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',WLAN-positive,false
400,'It was very cold and uncomfortable . ',WLAN-positive,false
512,'Stay was okay . ',WLAN-positive,false
513,'I will consider staying there again . ',WLAN-positive,false
514,'The location was great , right downtown Montreal . ',WLAN-positive,false
515,'View was amazing and the bed was comfortable enough . ',WLAN-positive,false
516,'The hotel was outdated . ',WLAN-positive,false
517,'Carpet was pretty old and the vent was VERY dusty . ',WLAN-positive,false
518,'You can actually see the caked on dust . ',WLAN-positive,false
519,'It does need updating aesthetically . ',WLAN-positive,false
628,'Good . ',WLAN-positive,false
629,'The housekeeper was very sweet and she did a great job . ',WLAN-positive,false
630,'There were some little things like broken lights , mildew and drippy faucet . ',WLAN-positive,false
631,'The hotel needs a bit of TLC . ',WLAN-positive,false
632,'Otherwise a nice experience . ',WLAN-positive,false
633,'The housekeeping staff were very friendly and they did a great job ',WLAN-positive,false
700,'Good . ',WLAN-positive,false
701,'Beds are not real . ',WLAN-positive,false
762,'Meh . ',WLAN-positive,false
763,'It s in a good location and it s clean . ',WLAN-positive,false
764,'It s very dated . ',WLAN-positive,false
765,'The TV did nt work . ',WLAN-positive,false
766,'The staff at reception are nt warm . ',WLAN-positive,false
767,'I only stay here if I absolutely have to . ',WLAN-positive,false
768,'We were stranded with the storm so we booked it last minute . ',WLAN-positive,false
850,'Rude staff . ',WLAN-positive,false
851,'The staff gave an unpleasant vibe that started right off the bat . ',WLAN-positive,false
852,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',WLAN-positive,false
910,'Good location , adequate for our stay , Would stay there again if the price was right . ',WLAN-positive,false
911,'Quiet , comfortable , clean , GREAT LOCATION . ',WLAN-positive,false
912,'Bar fridge in room was very useful . ',WLAN-positive,false
913,'Rooms and furniture need updating . ',WLAN-positive,false
914,'Pool area also needs a makeover . ',WLAN-positive,false
990,'Good location , adequate for our stay , Would stay there again if the price was right . ',WLAN-positive,false
991,'Quiet , comfortable , clean , GREAT LOCATION . ',WLAN-positive,false
992,'Bar fridge in room was very useful . ',WLAN-positive,false
993,'Rooms and furniture need updating . ',WLAN-positive,false
994,'Pool area also needs a makeover . ',WLAN-positive,false
1058,'Thangs for the service ! ',WLAN-positive,false
1059,'The moon light !!!! ',WLAN-positive,false
1060,'Maybe update a little bit more coloRs and furniture !!! ',WLAN-positive,false
1112,'Good . ',WLAN-positive,false
1113,'The location . ',WLAN-positive,false
1114,'Bathrooms are showing their age . ',WLAN-positive,false
1115,'Time to renovate ! ',WLAN-positive,false
1200,'I wish I would have waited for lower rates the site was offering $ 75 per night . ',WLAN-positive,false
1201,'We stayed for two ni . ',WLAN-positive,false
1202,'Nice big room upgraded on arrival . ',WLAN-positive,false
1203,'The smell in lobby when you first walk in it smells stale like a nursing home . ',WLAN-positive,false
1204,'Too much antiseptic smell trying to cover up the stale smell . ',WLAN-positive,false
1205,'Beautiful older building I can appreciate . ',WLAN-positive,false
1206,'Also they had to turn off the water from midnight to 6 am . ',WLAN-positive,false
