@relation Sauberkeit

@attribute id numeric
@attribute lemma string
@attribute dependencies string
@attribute lexicons_min numeric
@attribute lexicons_max numeric
@attribute lexicons_extremes_difference numeric
@attribute contains_negation numeric
@attribute sentence_length numeric
@attribute aspecttype {true, false}

@data
56,'good ','root punct ',0.0,1.0,1.0,0,7,false
57,'view window need clean change clear ','det root prep mark det nsubj advcl xcomp cc aux auxpass conj prt punct mark nsubj cop neg advcl punct ',0.0,1.0,1.0,1,94,true
58,'location excellent ','nsubj cop root punct ',0.0,1.0,1.0,1,24,false
59,'water pressure also excellent ','nn nsubj cop advmod root punct ',-0.2,1.0,1.2,1,35,false
60,'bathroom space small potentially people ','nn nsubj cop advmod root prep quantmod num pobj punct ',0.0,0.0,0.0,1,56,false
61,'security priority hotel ground level connect small inside mall huge bonus also seem converging space homeless mental health issue addiction issue ','nsubj aux cop det nsubjpass punct prep det pobj prep nn pobj auxpass root prep det amod amod pobj punct nsubj cop det amod rcmod punct cc punct nsubj advmod conj aux cop det amod xcomp prep det pobj punct nsubj rcmod amod nn dobj cc nn conj punct ',0.0,1.0,1.0,1,243,false
62,'make in-predictable want run small kid tow ','root nsubj advmod xcomp cc nsubjpass aux neg aux conj aux xcomp prep pobj prep pobj prep amod pobj prep pobj punct ',0.0,0.2,0.2,1,108,false
63,'see episode next morning ','root det amod amod nsubj det amod ccomp punct ',0.0,0.0,0.0,0,45,false
78,'fine ','root punct ',0.0,0.4,0.4,0,7,false
79,'gym equipment need upgrade ','nsubj root det nn nsubjpass aux auxpass ccomp ',0.0,0.0,0.0,1,42,false
101,'enjoy stay ','root poss dobj punct ',0.0,1.0,1.0,0,19,false
102,'comfortable foot rest ','amod cc conj root punct ',0.0,0.5,0.5,0,28,false
103,'next elevator ','dep root pobj ',0.0,0.0,0.0,0,18,false
167,'economical property search area room improvement ','cop advmod root prep amod pobj nsubj rcmod prep det pobj cc expl conj nsubj prep pobj punct ',0.0,1.0,1.0,1,101,false
168,'location close event attend ','nsubj cop root prep det pobj nsubj aux rcmod punct ',0.0,0.0,0.0,1,52,false
169,'parking structure attack hotel need park outside ','expl root det nn nsubj ccomp prep det pobj mark nsubj aux neg advcl aux xcomp advmod punct ',-0.2,0.5,0.7,1,89,false
170,'travel pet request mini fridge room medication storage honour charge ','nsubj aux nsubjpass prep pobj cc poss conj prep det amod pobj prep det pobj prep nn pobj auxpass root prep det pobj punct ',0.0,0.4,0.4,1,122,false
171,'bathroom date tile crack shower much grout black ','det nsubjpass auxpass nsubj punct det nsubjpass auxpass parataxis prep det pobj cc conj prep det pobj cop root punct ',0.0,0.0,0.0,0,97,true
172,'carpet stain dirty ( sock turn get dirty walking carpet ) ','det nsubjpass auxpass root cc cop neg conj punct poss nsubj aux neg parataxis xcomp amod dobj prep pobj dep punct ',-0.4,0.0,0.4,1,97,true
