@relation WLAN

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
48,'good . ',false
49,'the view - although the windows need cleaning or to be changed out , as they were not clear . ',false
50,'location is excellent . ',false
51,'water pressure is also excellent . ',false
52,'bathroom space is very small for potentially 4 people . ',false
53,'security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
54,'makes them very in-predictable and i would not have wanted to run into one of them with small kids in tow . ',false
55,'saw a few having episodes the next morning . ',false
76,'fine . ',false
77,'gym had no equipment needs to be upgraded ',false
98,'enjoyed our stay . ',false
99,'comfortable and foot rest . ',false
100,'next to elevators ',false
158,'was more economical than other properties i searched in the area but there is room for improvement . ',false
159,'location was close to the event we were attending . ',false
160,'there is a parking structure attacked to the hotel so you did not need to park outside . ',false
161,'you can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
162,'the bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
163,'the carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
164,'parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
165,'there was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
166,'the bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
218,'acceptably . ',false
219,'good location , parking , grocery store in the building . ',false
220,'old hotel and relevant smell , no sockets in the room at all . ',false
221,'had to charge cellular in bathroom . ',false
222,'air condition was terrible . ',false
223,'had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
224,'it was very cold and uncomfortable . ',false
280,'stay was okay . ',false
281,'i will consider staying there again . ',false
282,'the location was great , right downtown montreal . ',false
283,'view was amazing and the bed was comfortable enough . ',false
284,'the hotel was outdated . ',false
285,'carpet was pretty old and the vent was very dusty . ',false
286,'you can actually see the caked on dust . ',false
287,'it does need updating aesthetically . ',false
332,'good . ',false
333,'the housekeeper was very sweet and she did a great job . ',false
334,'there were some little things like broken lights , mildew and drippy faucet . ',false
335,'the hotel needs a bit of tlc . ',false
336,'otherwise a nice experience . ',false
337,'the housekeeping staff were very friendly and they did a great job ',false
356,'good . ',false
357,'beds are not real . ',false
402,'meh . ',false
403,'it s in a good location and it s clean . ',false
404,'it s very dated . ',false
405,'the tv did nt work . ',false
406,'the staff at reception are nt warm . ',false
407,'i only stay here if i absolutely have to . ',false
408,'we were stranded with the storm so we booked it last minute . ',false
434,'rude staff . ',false
435,'the staff gave an unpleasant vibe that started right off the bat . ',false
436,'the one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all i did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',false
470,'good location , adequate for our stay , would stay there again if the price was right . ',false
471,'quiet , comfortable , clean , great location . ',false
472,'bar fridge in room was very useful . ',false
473,'rooms and furniture need updating . ',false
474,'pool area also needs a makeover . ',false
510,'good location , adequate for our stay , would stay there again if the price was right . ',false
511,'quiet , comfortable , clean , great location . ',false
512,'bar fridge in room was very useful . ',false
513,'rooms and furniture need updating . ',false
514,'pool area also needs a makeover . ',false
538,'thangs for the service ! ',false
539,'the moon light !!!! ',false
540,'maybe update a little bit more colors and furniture !!! ',false
568,'good . ',false
569,'the location . ',false
570,'bathrooms are showing their age . ',false
571,'time to renovate ! ',false
624,'i wish i would have waited for lower rates the site was offering $ 75 per night . ',false
625,'we stayed for two ni . ',false
626,'nice big room upgraded on arrival . ',false
627,'the smell in lobby when you first walk in it smells stale like a nursing home . ',false
628,'too much antiseptic smell trying to cover up the stale smell . ',false
629,'beautiful older building i can appreciate . ',false
630,'also they had to turn off the water from midnight to 6 am . ',false
631,'no big affect as far as comfort ',false
658,'good . ',false
659,'location is good?cprice is fair . ',false
660,'its a old hotel , and in my room the curtain fell off ',false
706,'the stay was ok but its a bit like a b&b with an old style hotel ambience without a bar and diner . ',false
707,'breakfast was good , location excellent , view from room was good . ',false
708,'room cleaning service was good . ',false
709,'safe place and quiet . ',false
710,'no usb pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',false
711,'the last evening we could not get into our room as we were apparently checked out already . ',false
712,'no room service , no bar except during lunch time not quite 4 star standard ',false
750,'excellent customer service . ',false
