@relation Hotelpersonal

@attribute id numeric
@attribute sentiment_average numeric
@attribute target_word string
@attribute dependency_related_unigrams string
@attribute dependency_related_bigrams string
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {positive, negative}

@data
19,-0.0,'told','dep_travel ','dep_travel_about ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
35,0.39999999999999997,'housekeeper','dep_sweet ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
36,0.17777777777777778,'job','dep_great ','dep_great_did ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
41,0.37777777777777777,'staff','dep_housekeeping dep_friendly ','dep_housekeeping_friendly ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
42,0.17777777777777778,'job','dep_great ','dep_great_did ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
44,-0.13333333333333333,'staff','dep_warm ','dep_warm_at ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
45,-0.0,'staff','dep_Rude dep_staff dep_ ','dep_Rude_staff dep_staff_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
46,0.16666666666666666,'vibe','dep_unpleasant dep_gave dep_started ','dep_unpleasant_gave dep_gave_started ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
47,-0.027777777777777776,'receptionist','dep_one dep_female ','dep_one_female dep_female_had ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
78,-0.4,'service','dep_Room dep_cleaning dep_good ','dep_Room_cleaning dep_cleaning_good ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
83,-0.0,'service','dep_room dep_service dep_ dep_bar ','dep_room_service dep_service_ dep__bar ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
