@relation WLAN

@attribute id numeric
@attribute lemma string
@attribute dependencies string
@attribute lexicons_min numeric
@attribute lexicons_max numeric
@attribute lexicons_extremes_difference numeric
@attribute contains_negation numeric
@attribute sentence_length numeric
@attribute aspecttype {true, false}

@data
48,'good . ','root punct ',0.0,1.0,1.0,0,7,false
49,'the view - although the windows need cleaning or to be changed out , as they were not clear . ','det root prep mark det nsubj advcl xcomp cc aux auxpass conj prt punct mark nsubj cop neg advcl punct ',0.0,1.0,1.0,1,94,false
50,'location is excellent . ','nsubj cop root punct ',0.0,1.0,1.0,1,24,false
51,'water pressure is also excellent . ','nn nsubj cop advmod root punct ',-0.2,1.0,1.2,1,35,false
52,'bathroom space is very small for potentially 4 people . ','nn nsubj cop advmod root prep quantmod num pobj punct ',0.0,0.0,0.0,1,56,false
53,'security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ','nsubj aux cop det nsubjpass punct prep det pobj prep nn pobj auxpass root prep det amod amod pobj punct nsubj cop det amod rcmod punct cc punct nsubj advmod conj aux cop det amod xcomp prep det pobj punct nsubj rcmod amod nn dobj cc nn conj punct ',0.0,1.0,1.0,1,243,false
54,'makes them very in-predictable and i would not have wanted to run into one of them with small kids in tow . ','root nsubj advmod xcomp cc nsubjpass aux neg aux conj aux xcomp prep pobj prep pobj prep amod pobj prep pobj punct ',0.0,0.2,0.2,1,108,false
55,'saw a few having episodes the next morning . ','root det amod amod nsubj det amod ccomp punct ',0.0,0.0,0.0,0,45,false
76,'fine . ','root punct ',0.0,0.4,0.4,0,7,false
77,'gym had no equipment needs to be upgraded ','nsubj root det nn nsubjpass aux auxpass ccomp ',0.0,0.0,0.0,1,42,false
98,'enjoyed our stay . ','root poss dobj punct ',0.0,1.0,1.0,0,19,false
99,'comfortable and foot rest . ','amod cc conj root punct ',0.0,0.5,0.5,0,28,false
100,'next to elevators ','dep root pobj ',0.0,0.0,0.0,0,18,false
158,'was more economical than other properties i searched in the area but there is room for improvement . ','cop advmod root prep amod pobj nsubj rcmod prep det pobj cc expl conj nsubj prep pobj punct ',0.0,1.0,1.0,1,101,false
159,'location was close to the event we were attending . ','nsubj cop root prep det pobj nsubj aux rcmod punct ',0.0,0.0,0.0,1,52,false
160,'there is a parking structure attacked to the hotel so you did not need to park outside . ','expl root det nn nsubj ccomp prep det pobj mark nsubj aux neg advcl aux xcomp advmod punct ',-0.2,0.5,0.7,1,89,false
161,'you can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ','nsubj aux nsubjpass prep pobj cc poss conj prep det amod pobj prep det pobj prep nn pobj auxpass root prep det pobj punct ',0.0,0.4,0.4,1,122,false
162,'the bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ','det nsubjpass auxpass nsubj punct det nsubjpass auxpass parataxis prep det pobj cc conj prep det pobj cop root punct ',0.0,0.0,0.0,0,97,false
163,'the carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ','det nsubjpass auxpass root cc cop neg conj punct poss nsubj aux neg parataxis xcomp amod dobj prep pobj dep punct ',-0.4,0.0,0.4,1,97,false
164,'parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ','nn nsubj root amod dobj dep num nn nn nsubj advmod advmod amod nsubj aux neg ccomp cc conj cop rcmod number number tmod punct ',0.0,0.3333333333333333,0.3333333333333333,1,114,false
165,'there was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ','expl root det amod dep nsubj prep pcomp det dobj mark nsubj advcl prep pobj complm nsubjpass auxpass neg ccomp prep dep dep nn amod pobj punct ',0.0,1.0,1.0,1,123,false
