@relation Komfort

@attribute id numeric
@attribute sentiment_average numeric
@attribute target_word string
@attribute dependency_related_unigrams string
@attribute dependency_related_bigrams string
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {positive, negative}

@data
3,-0.43333333333333335,'pressure','dep_Water dep_excellent ','dep_Water_excellent ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
4,-0.0,'Bathroom','dep_space ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
12,-0.0,'request','dep_pets ','dep_pets_for ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
13,-0.0,'bathroom','dep_dated ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
14,0.2222222222222222,'tiles','dep_cracked ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
26,-0.0,'sockets','dep_hotel ','dep_hotel_in ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
27,-0.0,'Air','dep_condition ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
30,0.2333333333333333,'bed','dep_comfortable ','',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
37,-0.06666666666666665,'lights','dep_broken dep_like ','dep_broken_like ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
43,-0.16666666666666666,'TV','dep_work ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
51,0.15555555555555556,'fridge','dep_Bar dep_useful ','dep_Bar_useful dep_useful_in ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
52,0.0,'Rooms','dep_need dep_furniture ','dep_need_and ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
53,0.0,'furniture','dep_Rooms ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
58,0.15555555555555556,'fridge','dep_Bar dep_useful ','dep_Bar_useful dep_useful_in ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
59,0.0,'Rooms','dep_need dep_furniture ','dep_need_and ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
60,0.0,'furniture','dep_Rooms ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
62,0.0,'furniture','dep_coloRs ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,negative
63,0.0,'Bathrooms','dep_showing ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,negative
65,0.08,'room','dep_Nice dep_big dep_room dep_upgraded dep_ ','dep_Nice_big dep_big_room dep_room_upgraded dep_upgraded_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
66,0.08,'room','dep_Nice dep_big dep_room dep_upgraded dep_ ','dep_Nice_big dep_big_room dep_room_upgraded dep_upgraded_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
71,-0.3333333333333333,'curtain','dep_fell ','',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,negative
72,-0.0,'ambience','dep_old dep_style dep_hotel ','dep_old_style dep_style_hotel dep_hotel_with ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
80,-0.0,'USB','dep_pports ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
81,-0.0,'power','dep_points ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
82,-0.0,'bed','dep_squeaked ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
95,0.3333333333333333,'hairdryer','dep_work ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,negative
97,0.0,'furniture','dep_scuffed ','dep_scuffed_in ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,negative
102,0.0,'heat','dep_heat ','dep_heat_in ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
