@relation OTHER-positive

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
366,'JJ','good','Good',1,'ROOT','. ',false
367,'.','.','.',0,'punct','Good ',false
368,'DT','the','The',1,'det','view - although ',false
369,'NN','view','view',1,'ROOT','The - although the ',false
370,':','-','-',0,'prep','The view although the windows ',false
371,'IN','although','although',1,'mark','The view - the windows need ',false
372,'DT','the','the',1,'det','view - although windows need cleaning ',false
373,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
374,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
375,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
376,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
377,'TO','to','to',1,'aux','need cleaning or be changed out ',false
378,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
379,'VBN','change','changed',1,'conj','or to be out , as ',false
380,'RP','out','out',1,'prt','to be changed , as they ',false
381,',',',',',',0,'punct','be changed out as they were ',false
382,'IN','as','as',1,'mark','changed out , they were not ',false
383,'PRP','they','they',1,'nsubj','out , as were not clear ',false
384,'VBD','be','were',1,'cop',', as they not clear . ',false
385,'RB','not','not',1,'neg','as they were clear . ',false
386,'JJ','clear','clear',1,'advcl','they were not . ',false
387,'.','.','.',0,'punct','were not clear ',false
388,'NNP','location','Location',1,'nsubj','is excellent . ',false
389,'VBZ','be','is',1,'cop','Location excellent . ',false
390,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
391,'.','.','.',0,'punct','Location is excellent ',false
392,'NN','water','Water',1,'nn','pressure is also ',false
393,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
394,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
395,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
396,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
397,'.','.','.',0,'punct','is also excellent ',false
398,'NN','bathroom','Bathroom',1,'nn','space is very ',false
399,'NN','space','space',1,'nsubj','Bathroom is very small ',false
400,'VBZ','be','is',1,'cop','Bathroom space very small for ',false
401,'RB','very','very',1,'advmod','Bathroom space is small for potentially ',false
402,'JJ','small','small',1,'ROOT','space is very for potentially 4 ',false
403,'IN','for','for',1,'prep','is very small potentially 4 people ',false
404,'RB','potentially','potentially',1,'quantmod','very small for 4 people . ',false
405,'CD','0','4',0,'num','small for potentially people . ',false
406,'NNS','people','people',1,'pobj','for potentially 4 . ',false
407,'.','.','.',0,'punct','potentially 4 people ',false
408,'NN','security','Security',1,'nsubj','should be a ',false
409,'MD','should','should',1,'aux','Security be a priority ',false
410,'VB','be','be',1,'cop','Security should a priority , ',false
