@relation Ausstattung

@attribute id numeric
@attribute lemma string
@attribute pos string
@attribute nsubj_1 string
@attribute nsubj_2 string
@attribute lexicons_min numeric
@attribute lexicons_max numeric
@attribute lexicons_extremes_difference numeric
@attribute contains_negation numeric
@attribute aspecttype {true, false}

@data
0,'good ','jj ','','',0.0,1.0,1.0,0,false
1,'view window need clean be change be not clear ','nn nns vbp vbg vb vbn vbd rb jj ','clear','they',0.0,1.0,1.0,1,false
2,'location be excellent ','nnp vbz jj ','excellent','location',0.0,1.0,1.0,0,false
3,'water pressure be also excellent ','nn nn vbz rb jj ','excellent','pressure',-0.2,1.0,1.2,0,false
4,'bathroom space be very small potentially people ','nn nn vbz rb jj rb nns ','small','space',0.0,0.0,0.0,0,false
5,'security be priority hotel ground level be connect small inside mall be huge bonus also seem be converging space homeless have mental health issue addiction issue ','nn vb nn nn nn nn vbz vbn jj jj nn vbz jj nn rb vbz vb jj nn jj vbp jj nn nns nn nns ','have','who',0.0,1.0,1.0,0,false
6,'make very in-predictable not have want run small kid tow ','vbz rb jj rb vb vbn vb jj nns nn ','in-predictable','them',0.0,0.2,0.2,1,false
7,'see few have episode next morning ','vbd jj vbg nns jj nn ','morning','episodes',0.0,0.0,0.0,0,false
64,'fine ','nn ','','',0.0,0.4,0.4,0,false
65,'gym have equipment need be upgrade ','nnp vbd nn nns vb vbn ','had','gym',0.0,0.0,0.0,1,true
80,'enjoy stay ','vbn nn ','','',0.0,1.0,1.0,0,false
81,'comfortable foot rest ','jj jj nn ','','',0.0,0.5,0.5,0,false
82,'next elevator ','rb nns ','','',0.0,0.0,0.0,0,false
104,'be more economical other property search area be room improvement ','vbd rbr jj jj nns vbd nn vbz nn nn ','is','room',0.0,1.0,1.0,1,false
105,'location be close event be attend ','nnp vbd jj nn vbd vbg ','attending','we',0.0,0.0,0.0,0,false
106,'be parking structure attack hotel do not need park outside ','vbz nn nn vbd nn vbd rb vb vb rb ','need','you',-0.2,0.5,0.7,1,false
107,'travel pet request mini fridge room medication storage be honour charge ','vb nns nn jj nn nn nn nn vbd vbn nn ','travel','you',0.0,0.4,0.4,1,false
108,'bathroom be date tile be crack shower much grout be black ','nn vbd vbn nns vbd vbn nn jj nn vbd jj ','black','dated',0.0,0.0,0.0,0,false
109,'carpet be stain be not dirty ( sock do not turn get dirty walking carpet ) ','nn vbd vbn vbd rb jj -lrb- nns vbd rb vb vb jj nn nn -rrb- ','turn','socks',-0.4,0.0,0.4,1,false
110,'parking garage have low ceiling ( foot max clearance ) so large vehicle not fit cost be day ','nn nn vbz jj nns -lrb- nn nn nn -rrb- rb jjr nns rb vb vb vbz nn ','fit','vehicles',0.0,0.3333333333333333,0.3333333333333333,1,true
111,'be charge clean room travel pet be not tell check in ','vbd nn vbg nn vbp nns vbd rb vbn nn nn ','travel','you',0.0,1.0,1.0,1,false
112,'bar restaurant be close when go have drink evening be post hour operation.u ','nn nn vbd vbn wrb vbd vb nn nn vbp vbn nns nn ','are','hours',0.0,0.0,0.0,1,true
176,'acceptably ','rb ','','',0.0,0.0,0.0,0,false
177,'good location parking grocery store building ','nnp nnp nn nn nn nn ','','',0.0,1.0,1.0,0,true
178,'old hotel relevant smell socket room at all ','jj nn jj nn nns nn rb rb ','','',0.0,0.6666666666666666,0.6666666666666666,1,true
179,'have charge cellular bathroom ','vbd vb jj nn ','','',0.0,0.0,0.0,0,false
180,'air condition be terrible ','nn nn vbd jj ','terrible','condition',-0.6,0.0,0.6,0,false
181,'have ask staff switch evening night start blow cool air very noisy ','vbd vb nn vb nn nn vbd nn jj nn rb rb ','started','it',-0.2,0.5,0.7,1,false
182,'be very cold uncomfortable ','vbd rb jj jj ','cold','it',-0.4,0.0,0.4,0,false
232,'stay be okay ','vb vbd jj ','okay','stay',0.0,0.0,0.0,0,false
233,'consider stay there again ','vb vbg rb rb ','consider','i',0.0,0.0,0.0,0,false
234,'location be great right downtown montreal ','nn vbd jj jj nn nnp ','great','location',0.0,0.6,0.6,0,false
235,'view be amazing bed be comfortable enough ','nnp vbd jj nn vbd jj rb ','comfortable','bed',0.0,0.8,0.8,1,false
236,'hotel be outdated ','nn vbd jj ','outdated','hotel',0.0,0.0,0.0,0,true
237,'carpet be pretty old vent be very dusty ','nnp vbd rb jj nn vbd rb jj ','dusty','vent',0.0,0.5,0.5,0,true
238,'actually see caked dust ','rb vb nn nn ','see','you',0.0,0.0,0.0,0,false
239,'do need update aesthetically ','vbz vb vbg rb ','need','it',0.0,0.0,0.0,1,true
296,'good ','jj ','','',0.0,1.0,1.0,0,false
297,'housekeeper be very sweet do great job ','nn vbd rb jj vbd jj nn ','did','she',0.0,1.0,1.0,0,false
298,'be little thing break light mildew drippy faucet ','vbd jj nns vbn nns jj jj nn ','were','faucet',0.0,0.0,0.0,0,false
299,'hotel need bit tlc ','nn vbz nn nnp ','needs','hotel',0.0,0.0,0.0,1,false
300,'otherwise nice experience ','rb jj nn ','','',0.0,0.6,0.6,0,false
301,'housekeeping staff be very friendly do great job ','nn nn vbd rb jj vbd jj nn ','did','they',0.0,1.0,1.0,0,false
344,'good ','jj ','','',0.0,1.0,1.0,0,false
345,'bed be not real ','nns vbp rb jj ','real','beds',0.0,0.5,0.5,1,false
360,'meh ','nnp ','','',0.0,0.0,0.0,0,false
361,'s good location s clean ','vbz jj nn vbz jj ','clean','it',0.0,1.0,1.0,0,false
362,'s very date ','vbz rb vbn ','','',0.0,0.0,0.0,0,false
363,'tv do not work ','nn vbd rb vb ','work','tv',0.0,0.0,0.0,1,false
364,'staff reception be not warm ','nn nn vbp rb jj ','warm','staff',0.0,0.2,0.2,1,false
365,'only stay here absolutely have ','rb vbp rb rb vbp ','have','i',0.0,0.0,0.0,0,false
366,'be strand storm so book last minute ','vbd vbn nn rb vbd jj nn ','booked','we',0.0,0.0,0.0,0,false
416,'rude staff ','nnp nn ','','',0.0,0.0,0.0,0,false
417,'staff give unpleasant vibe start right bat ','nn vbd jj nn vbd rb nn ','started','that',0.0,0.0,0.0,0,false
418,'female receptionist have attitude do not explain room deposit correctly when do return be ask clarify something have already say only seem upset more ','jj nn vbd nn vbd rb vb nn nn rb wrb vbd nn vbd vb vb nn vbd rb vbn rb vbd vb rbr ','seemed','it',-0.4,0.5,0.9,1,false
440,'good location adequate stay stay there again price be right ','jj nn jj nn vb rb rb nn vbd jj ','right','price',0.0,1.0,1.0,0,false
441,'quiet comfortable clean great location ','jj jj jj nnp nnp ','','',0.0,1.0,1.0,0,false
442,'bar fridge room be very useful ','nnp nn nn vbd rb jj ','useful','fridge',0.0,0.4,0.4,0,false
443,'room furniture need update ','nns nn vbp vbg ','need','rooms',0.0,0.0,0.0,1,false
444,'pool area also need makeover ','jj nn rb vbz nn ','needs','area',0.0,0.3333333333333333,0.3333333333333333,1,true
480,'good location adequate stay stay there again price be right ','jj nn jj nn vb rb rb nn vbd jj ','right','price',0.0,1.0,1.0,0,false
481,'quiet comfortable clean great location ','jj jj jj nnp nnp ','','',0.0,1.0,1.0,0,false
482,'bar fridge room be very useful ','nnp nn nn vbd rb jj ','useful','fridge',0.0,0.4,0.4,0,false
483,'room furniture need update ','nns nn vbp vbg ','need','rooms',0.0,0.0,0.0,1,false
484,'pool area also need makeover ','jj nn rb vbz nn ','needs','area',0.0,0.3333333333333333,0.3333333333333333,1,true
520,'thang service ','nns nn ','','',0.0,0.0,0.0,0,false
521,'moon light ','nn nn ','','',0.0,0.0,0.0,0,false
522,'maybe update little bit more color furniture ','rb vb jj nn rbr nns nn ','','',0.0,0.0,0.0,0,false
544,'good ','jj ','','',0.0,1.0,1.0,0,false
545,'location ','nn ','','',0.0,0.0,0.0,0,false
546,'bathroom be show age ','nns vbp vbg nn ','showing','bathrooms',0.0,0.0,0.0,0,false
547,'time renovate ','nn vb ','','',0.0,0.5,0.5,1,true
576,'wish have wait low rate site be offer night ','vbp vb vbn jjr nns nn vbd vbg nn ','offering','site',0.0,0.5,0.5,0,false
577,'stay ni ','vbd nns ','stayed','we',0.0,0.0,0.0,0,false
578,'nice big room upgrade arrival ','nnp jj nn vbn nn ','','',0.0,0.6,0.6,0,false
579,'smell lobby when #ord# walk smell stale nursing home ','nn nn wrb rb vbp vbz jj nn nn ','smells','it',-0.4,0.0,0.4,0,false
580,'too much antiseptic smell try cover stale smell ','rb jj jj nn vbg vb jj nn ','','',0.0,1.0,1.0,0,false
581,'beautiful old building appreciate ','jj jjr nn vb ','appreciate','i',0.0,1.0,1.0,0,true
582,'also have turn water midnight am ','rb vbd vb nn nn nn ','had','they',0.0,0.0,0.0,0,false
583,'big affect as far comfort ','jj nn rb rb nn ','','',0.0,1.0,1.0,1,false
640,'good ','jj ','','',0.0,1.0,1.0,0,false
641,'location be good?cprice be fair ','nn vbz nnp vbz jj ','fair','good?cprice',0.0,0.5,0.5,0,false
642,'old hotel room curtain fall ','jj nn nn nn vbd ','fell','curtain',0.0,0.0,0.0,0,true
664,'stay be ok bit b&b old style hotel ambience bar diner ','nn vbd jj nn nnp jj nn nn nn nn nn ','ok','stay',0.0,0.0,0.0,0,true
665,'breakfast be good location excellent view room be good ','nnp vbd jj nn jj nn nn vbd jj ','good','view',0.0,1.0,1.0,0,false
666,'room clean service be good ','nnp vbg nn vbd jj ','good','service',0.0,1.0,1.0,0,false
667,'safe place quiet ','jj nn jj ','','',0.0,0.75,0.75,0,false
668,'usb pports power point electronic device most furniture be old bed squeak ','nn nns nn nns jj nns jjs nn vbd jj nn vbd ','squeaked','bed',0.0,0.0,0.0,1,false
669,'last evening not get room be apparently check already ','jj nn rb vb nn vbd rb vbn rb ','get','we',0.0,0.0,0.0,1,false
670,'room service bar lunch time not quite star standard ','nn nn nn nn nn rb rb nn nn ','','',0.0,1.0,1.0,1,true
720,'excellent customer service ','jj nn nn ','','',0.0,1.0,1.0,0,false
721,'staff be very accommodating helpful ','nn vbd rb jj jj ','accommodating','staff',0.0,1.0,1.0,0,false
722,'bathroom shower have mold wall ','nn nn vbd nn nns ','had','shower',0.0,0.0,0.0,0,false
723,'explain problem front desk be very apologetic move upgrade room ','vbd nn jj nn vbd rb jj vbd vbn nn ','apologetic','they',-0.4,0.5,0.9,0,false
724,'excellent customer service ','jj nn nn ','','',0.0,1.0,1.0,0,false
760,'good ','jj ','','',0.0,1.0,1.0,0,false
761,'location be excellent central convenient public transportation restaurant metro place dupuis food court various service ','nnp vbz jj jj jj jj nn nns nn nnp nnp nn nn jj nns ','excellent','location',0.0,1.0,1.0,0,false
762,'maintenance be spotty ','nnp vbz jj ','spotty','maintenance',0.0,0.0,0.0,0,false
763,'bathtub drain clog hairdryer didn?ft work ice maker several floor be order furniture room scuff ','nnp nn vbn nn nn nn nn nns jj nns vbd nn nn nn vbd ','scuffed','furniture',0.0,0.0,0.0,0,true
792,'good ','jj ','','',0.0,1.0,1.0,0,false
793,'really like location hotel ','rb vbd nn nn ','liked','we',0.0,0.4,0.4,0,false
794,'swimming pool be cold ','nn nn vbd jj ','cold','pool',0.0,0.3333333333333333,0.3333333333333333,0,true
816,'pleasant ','nnp ','','',0.0,1.0,1.0,0,false
817,'great location ','nnp nnp ','','',0.0,0.6,0.6,0,false
818,'room have mold ','nn vbp nn ','mold','room',0.0,0.0,0.0,0,false
819,'move room becsuse noise contiguos room ','vbp nn nn nn nn nn ','move','they',0.0,0.0,0.0,1,false
848,'good ','jj ','','',0.0,1.0,1.0,0,false
849,'close shopping ','rb nn ','','',0.0,0.5,0.5,0,false
850,'heat bathroom ','nn nn ','','',0.0,0.0,0.0,1,false
872,'good ','jj ','','',0.0,1.0,1.0,0,false
873,'service de concierge nest pas sufficient ','nnp nnp nn nn vbd jj ','pas','nest',0.0,0.0,0.0,0,false
888,'','','','',0.0,0.0,0.0,0,false
889,'location ','nn ','','',0.0,0.0,0.0,0,false
890,'room be very tired overused ','nn vbd rb jj jj ','tired','room',-0.4,0.0,0.4,0,false
891,'room need facelift ','nn vbp nn ','need','room',0.0,0.0,0.0,1,false
892,'carpet be stain be mould bathroom ','nn vbd vbn vbd nn nn ','was','mould',0.0,0.0,0.0,0,false
928,'overall nice #crd# ','rb jj nn ','','',0.0,0.6,0.6,0,false
929,'location ','nn ','','',0.0,0.0,0.0,0,false
930,'facility ','nns ','','',0.0,0.0,0.0,0,false
952,'good value money ','jj nn nn ','','',0.0,1.0,1.0,0,false
953,'great location next metro station big n modern food court supermarket ','jj nn rb nnp nn jj rb jj nn nn nn ','','',0.0,0.6,0.6,0,false
954,'walkable city centre ','jj nn nn ','','',0.0,0.0,0.0,0,false
955,'err electric teapot coffee maker ','vbd jj nn nn nn ','','',0.0,0.5,0.5,0,false
956,'coffee brewer be clean guest ','nn nn vb vbn nn ','','',0.0,1.0,1.0,0,false
957,'','','','',0.0,0.0,0.0,0,false
958,'sheet be big enough be tuck matress ','nn vbz jj rb vb vbn nn ','big','sheet',0.0,0.2,0.2,1,false
959,'not be roll ','rb vb vbn ','','',0.0,0.0,0.0,1,false
1016,'good cost effectiveness ','jj nn nn ','','',0.0,1.0,1.0,0,false
1017,'good location ','jj nn ','','',0.0,1.0,1.0,0,false
1018,'good location ','jj nn ','','',0.0,1.0,1.0,0,false
1019,'breakfest be good ','jjs vb jjr ','better','breakfest',0.0,1.0,1.0,0,false
1020,'be room service restaurant be close dinner s be essential ','vbz nn nn nn vbz vbn nn vbz vbz jj ','essential','s',0.0,1.0,1.0,1,true
1021,'pool be only open evening ','nnp vbz rb vbn nn ','','',0.0,0.3333333333333333,0.3333333333333333,0,true
1064,'','','','',0.0,0.0,0.0,0,false
1065,'great location ','jj nn ','','',0.0,0.6,0.6,0,false
