@relation drinks#quality

@attribute id numeric
@attribute sentiment_average numeric
@attribute target_word string
@attribute dependency_related_unigrams string
@attribute dependency_related_bigrams string
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {positive, neutral, negative}

@data
115,0.16666666666666666,'wine','dep_food ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
118,0.08888888888888889,'glass of wine','dep_great dep_glass dep_wine ','dep_great_had dep_glass_wine ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
150,0.5777777777777777,'Gigondas','dep_worth ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
178,0.0,'drinks','dep_welll ','',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,positive
369,0.16666666666666666,'sangria','dep_tasty ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
411,0.0,'wines','dep_average dep_start ','dep_average_start ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
423,0.15555555555555556,'expresso','dep_liked dep_ ','dep_liked_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
506,0.0,'iced tea','dep_tea dep_iced ','dep_tea_iced dep_iced_Have ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
562,0.16666666666666666,'wine','dep_food ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
708,0.16666666666666666,'drinks','dep_food ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
731,0.0,'Change Mojito','dep_Mojito dep_Change dep_ordered dep_ ','dep_Mojito_Change dep_Change_ordered dep_ordered_ dep__was ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
791,0.0,'sake','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
