@relation food#quality

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
4,'Judging from previous posts this used to be a good place , but not any longer . ',false
16,'We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . ',false
28,'They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table . ',false
40,'The food was lousy - too sweet or too salty and the portions tiny . ',true
52,'After all that , they complained to me about the small tip . ',false
64,'Avoid this place ! ',false
76,'I have eaten at Saul , many times , the food is always consistently , outrageously good . ',true
88,'Saul is the best restaurant on Smith Street and in Brooklyn . ',false
100,'The duck confit is always amazing and the foie gras terrine with figs was out of this world . ',true
112,'The wine list is interesting and has many good values . ',false
124,'For the price , you can not eat this well in Manhattan . ',true
136,'I was very disappointed with this restaurant . ',false
148,'Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away . ',false
160,'I had to ask her three times before she finally came back with the dish Ive requested . ',false
172,'Food was okay , nothing great . ',true
184,'Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . ',true
196,'I / we will never go back to this place again . ',false
208,'Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great ! ',false
220,'Service was devine , oysters where a sensual as they come , and the price ca nt be beat !!! ',true
232,'You ca nt go wrong here . ',false
244,'Every time in New York I make it a point to visit Restaurant Saul on Smith Street . ',false
256,'Everything is always cooked to perfection , the service is excellent , the decor cool and understated . ',true
268,'I had the duck breast special on my last visit and it was incredible . ',true
280,'Ca nt wait wait for my next visit . ',false
292,'The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share ! ',true
304,'We went around 9:30 on a Friday and it had died down a bit by then so the service was great ! ',false
316,'we love th pink pony . ',false
328,'THe perfect spot . ',false
340,'Food - awesome . ',true
352,'Service- friendly and attentive . ',false
364,'Ambiance - relaxed and stylish . ',false
376,'Do nt judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . ',false
388,'the food is decent . ',true
400,'however , it s the service that leaves a bad taste in my mouth . ',false
412,'i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i.e. make me feel bad asking for trivialities like water , or the check . ',false
