@relation Lage

@attribute id numeric
@attribute pos_examples numeric
@attribute neg_examples numeric
@attribute score numeric

@data
2,3,0,10.0
10,0,0,10.0
18,0,0,10.0
26,1,0,10.0
34,1,0,10.0
42,2,0,10.0
50,0,0,10.0
58,0,0,10.0
66,0,0,10.0
74,0,0,10.0
82,2,0,10.0
90,2,0,10.0
98,0,0,10.0
106,0,0,10.0
114,0,0,10.0
122,0,0,10.0
130,3,0,10.0
138,0,0,10.0
146,3,0,10.0
154,1,0,10.0
162,1,0,10.0
170,1,0,10.0
178,0,0,10.0
186,0,0,10.0
194,0,0,10.0
202,6,0,10.0
210,2,0,10.0
218,1,0,10.0
226,1,0,10.0
234,1,0,10.0
242,2,0,10.0
250,2,0,10.0
258,0,0,10.0
266,0,0,10.0
274,1,0,10.0
282,0,0,10.0
290,1,0,10.0
298,1,0,10.0
306,2,0,10.0
314,1,0,10.0
322,1,0,10.0
330,0,0,10.0
338,1,0,10.0
346,1,0,10.0
354,1,0,10.0
362,5,0,10.0
370,0,0,10.0
378,0,1,10.0
386,4,0,10.0
394,0,0,10.0
402,1,0,10.0
410,3,1,10.0
418,0,0,10.0
426,3,0,10.0
434,1,0,10.0
442,0,0,10.0
450,2,0,10.0
458,1,0,10.0
466,0,0,10.0
474,1,0,10.0
482,1,0,10.0
490,0,0,10.0
498,0,0,10.0
506,3,0,10.0
514,3,0,10.0
522,0,0,10.0
530,0,1,10.0
538,1,0,10.0
546,0,0,10.0
554,0,0,10.0
562,0,0,10.0
570,4,0,10.0
578,1,0,10.0
586,1,1,10.0
594,1,0,10.0
602,0,0,10.0
610,0,0,10.0
618,0,0,10.0
626,1,0,10.0
634,0,0,10.0
642,0,0,10.0
650,2,1,10.0
658,1,0,10.0
666,0,1,10.0
674,1,0,10.0
682,0,0,10.0
690,0,0,10.0
698,2,0,10.0
706,0,0,10.0
714,0,0,10.0
722,1,0,10.0
730,2,0,10.0
738,1,0,10.0
746,2,0,10.0
754,3,0,10.0
762,1,0,10.0
770,1,0,10.0
778,0,1,10.0
786,1,0,10.0
794,5,0,10.0
802,0,0,10.0
810,2,0,10.0
818,3,0,10.0
826,1,0,10.0
834,0,0,10.0
842,0,0,10.0
850,0,0,10.0
858,4,1,10.0
866,2,0,10.0
874,2,0,10.0
882,0,0,10.0
890,0,0,10.0
898,0,0,10.0
906,2,0,10.0
914,1,0,10.0
922,0,0,10.0
930,1,0,10.0
938,2,0,10.0
946,0,0,10.0
954,1,0,10.0
962,0,0,10.0
970,1,0,10.0
978,2,1,10.0
986,0,0,10.0
994,0,0,10.0
1002,0,0,10.0
1010,2,0,10.0
1018,0,1,10.0
1026,1,0,10.0
1034,1,0,10.0
1042,0,0,10.0
1050,0,0,10.0
1058,1,0,10.0
1066,0,0,10.0
1074,1,2,10.0
1082,2,0,10.0
1090,1,0,10.0
1098,0,0,10.0
1106,0,0,10.0
1114,0,0,10.0
1122,1,0,10.0
1130,3,0,10.0
1138,1,0,10.0
1146,1,0,10.0
1154,3,0,10.0
1162,0,0,10.0
1170,0,0,10.0
1178,1,0,10.0
1186,1,0,10.0
1194,1,0,10.0
1202,1,0,10.0
1210,2,0,10.0
1218,0,0,10.0
1226,0,0,10.0
1234,4,0,10.0
1242,1,0,10.0
1250,0,0,10.0
1258,1,0,10.0
1266,1,0,10.0
1274,0,0,10.0
1282,1,0,10.0
1290,1,0,10.0
1298,3,0,10.0
1306,1,0,10.0
1314,0,0,10.0
1322,0,0,10.0
1330,3,0,10.0
1338,0,0,10.0
1346,2,0,10.0
1354,4,0,10.0
1362,0,1,10.0
1370,0,0,10.0
1378,0,1,10.0
1386,1,0,10.0
1394,0,0,10.0
1402,0,0,10.0
1410,0,0,10.0
1418,3,0,10.0
1426,0,0,10.0
1434,1,0,10.0
1442,1,0,10.0
1450,1,0,10.0
1458,3,0,10.0
1466,1,0,10.0
1474,0,0,10.0
1482,0,0,10.0
1490,2,0,10.0
1498,2,0,10.0
1506,0,0,10.0
1514,0,0,10.0
1522,0,0,10.0
1530,0,0,10.0
1538,0,0,10.0
1546,1,0,10.0
1554,3,0,10.0
1562,0,0,10.0
1570,2,0,10.0
1578,0,0,10.0
1586,0,0,10.0
1594,0,0,10.0
1602,4,0,10.0
1610,3,0,10.0
1618,2,0,10.0
1626,2,0,10.0
1634,1,1,10.0
1642,1,0,10.0
1650,2,0,10.0
1658,1,0,10.0
1666,0,0,10.0
1674,0,0,10.0
1682,3,0,10.0
1690,0,0,10.0
1698,1,0,10.0
1706,4,0,10.0
1714,2,0,10.0
1722,6,0,10.0
1730,2,0,10.0
1738,0,0,10.0
1746,1,0,10.0
1754,0,1,10.0
1762,0,0,10.0
1770,1,0,10.0
1778,0,0,10.0
1786,0,0,10.0
1794,3,0,10.0
1802,3,0,10.0
1810,0,0,10.0
1818,0,0,10.0
1826,0,0,10.0
1834,0,0,10.0
1842,2,0,10.0
1850,0,0,10.0
1858,1,0,10.0
1866,2,0,10.0
1874,0,1,10.0
1882,1,0,10.0
1890,1,0,10.0
1898,1,0,10.0
1906,1,0,10.0
1914,0,0,10.0
1922,4,0,10.0
1930,1,0,10.0
1938,2,0,10.0
1946,3,0,10.0
1954,6,0,10.0
1962,0,0,10.0
1970,2,0,10.0
1978,0,0,10.0
1986,1,0,10.0
1994,0,0,10.0
2002,4,0,10.0
2010,3,0,10.0
2018,0,0,10.0
2026,1,0,10.0
2034,1,0,10.0
2042,0,0,10.0
2050,3,0,10.0
2058,2,0,10.0
2066,0,0,10.0
2074,4,0,10.0
2082,0,0,10.0
2090,1,0,10.0
2098,1,0,10.0
2106,1,0,10.0
2114,1,0,10.0
2122,2,0,10.0
2130,0,0,10.0
2138,1,1,10.0
2146,0,0,10.0
2154,1,0,10.0
2162,1,1,10.0
2170,5,0,10.0
2178,11,0,10.0
2186,1,0,10.0
2194,0,0,10.0
2202,3,0,10.0
2210,2,0,10.0
2218,1,0,10.0
2226,0,0,10.0
2234,0,0,10.0
2242,0,0,10.0
2250,0,0,10.0
2258,1,0,10.0
2266,2,0,10.0
2274,0,0,10.0
2282,4,0,10.0
2290,2,0,10.0
2298,0,0,10.0
2306,0,0,10.0
2314,2,0,10.0
2322,1,0,10.0
2330,4,0,10.0
2338,7,0,10.0
2346,1,0,10.0
2354,2,0,10.0
2362,4,0,10.0
2370,0,0,10.0
2378,0,0,10.0
2386,4,0,10.0
2394,0,0,10.0
2402,0,0,10.0
2410,0,0,10.0
2418,3,0,10.0
2426,0,0,10.0
2434,2,0,10.0
2442,0,0,10.0
2450,1,0,10.0
2458,2,0,10.0
2466,0,0,10.0
2474,3,0,10.0
2482,1,0,10.0
2490,0,0,10.0
2498,1,0,10.0
2506,1,0,10.0
2514,2,0,10.0
2522,2,0,10.0
2530,3,0,10.0
2538,0,0,10.0
2546,2,0,10.0
2554,0,0,10.0
2562,5,0,10.0
2570,6,0,10.0
2578,2,0,10.0
2586,1,0,10.0
2594,2,0,10.0
2602,0,0,10.0
2610,0,0,10.0
2618,3,0,10.0
2626,1,0,10.0
2634,0,0,10.0
2642,1,0,10.0
2650,2,0,10.0
2658,3,0,10.0
2666,1,0,10.0
2674,3,0,10.0
2682,4,1,10.0
2690,4,0,10.0
2698,0,0,10.0
2706,0,0,10.0
2714,2,1,10.0
2722,2,0,10.0
2730,2,0,10.0
2738,0,0,10.0
2746,0,0,10.0
2754,1,0,10.0
2762,2,0,10.0
2770,0,0,10.0
2778,1,0,10.0
2786,1,0,10.0
2794,3,0,10.0
2802,0,0,10.0
2810,1,0,10.0
2818,1,0,10.0
2826,1,0,10.0
2834,2,0,10.0
2842,0,0,10.0
2850,0,0,10.0
2858,2,0,10.0
2866,0,0,10.0
2874,1,0,10.0
2882,2,0,10.0
2890,3,0,10.0
2898,2,0,10.0
2906,3,0,10.0
2914,4,0,10.0
2922,1,0,10.0
2930,3,0,10.0
2938,0,0,10.0
2946,1,0,10.0
2954,1,0,10.0
2962,1,0,10.0
2970,2,0,10.0
2978,3,0,10.0
2986,2,0,10.0
2994,0,0,10.0
3002,0,0,10.0
3010,1,0,10.0
3018,0,0,10.0
3026,1,0,10.0
3034,1,0,10.0
3042,1,0,10.0
3050,2,0,10.0
3058,1,0,10.0
3066,0,0,10.0
3074,1,0,10.0
3082,3,0,10.0
3090,1,0,10.0
3098,3,0,10.0
3106,2,0,10.0
3114,2,0,10.0
3122,2,0,10.0
3130,2,0,10.0
3138,1,0,10.0
3146,0,0,10.0
3154,0,0,10.0
3162,1,0,10.0
3170,0,0,10.0
3178,3,0,10.0
3186,3,0,10.0
3194,1,0,10.0
3202,1,0,10.0
3210,1,0,10.0
3218,2,0,10.0
3226,1,0,10.0
