@relation service#general

@attribute id numeric
@attribute sentiment_average numeric
@attribute target_word string
@attribute dependency_related_unigrams string
@attribute dependency_related_bigrams string
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {positive, neutral, negative}

@data
1,0.0,'staff','dep_acted ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
2,0,'they','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
5,-0.19999999999999998,'they','dep_complained ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
16,0.041666666666666664,'cart attendant','dep_attendant dep_cart dep_asked ','dep_attendant_cart dep_cart_asked ',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negative
17,0.0,'she','dep_came ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
24,-0.0,'Service','dep_devine ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,positive
30,0.43333333333333335,'service','dep_excellent ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
36,0.17777777777777778,'service','dep_great ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,positive
40,0,'Service','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
44,0.0,'service','dep_however dep_ dep_s dep_service dep_leaves dep_ ','dep_however_ dep__it dep_s_the dep_service_leaves dep_leaves_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
45,0.26666666666666666,'waiter','dep_intimidate ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
46,-0.2888888888888889,'experience','dep_pleasant dep_seeking ','dep_pleasant_seeking ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
53,-0.0,'Service','dep_notch ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
65,0.0,'service','dep_impecable ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
80,-0.0,'service','dep_varys ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
81,-0.08333333333333333,'kitchen','dep_slow dep_however dep_ ','dep_slow_however dep_however_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
105,-0.3333333333333333,'staff','dep_young ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
110,0.43333333333333335,'service','dep_excellent ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
116,0.16666666666666666,'service','dep_food ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
117,-0.0,'wait','dep_short ','dep_short_have ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
119,0.26666666666666666,'service','dep_great dep_got ','dep_great_got ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
120,0.08333333333333333,'people','dep_people dep_work dep_ ','dep_people_work dep_work_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
131,0.3333333333333333,'Service','dep_prompt ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
135,0.3,'service','dep_fantastic dep_pizza ','dep_fantastic_pizza ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
136,0.037037037037037035,'wait','dep_small ','dep_small_was ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
163,0.26666666666666666,'service','dep_nice dep_provides ','dep_nice_provides ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
167,0.0,'they','dep_overcharged ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
173,0.0,'maitre d','dep_d ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
174,0.0,'he','dep_said ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
175,0.06666666666666667,'he','dep_reached ','',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negative
181,-0.3333333333333333,'Service','dep_star ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
187,0.39999999999999997,'staff','dep_helpful ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
194,-0.0,'waitress','dep_moved ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
195,-0.0,'she','dep_dropped ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
196,-0.13333333333333333,'disappointment','dep_disappointment dep_ ','dep_disappointment_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
197,0.0,'service','dep_Rude dep_foodthere ','dep_Rude_foodthere ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
204,0.39999999999999997,'server','dep_helpful ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
211,0.3333333333333333,'Service','dep_prompt ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
213,0.03333333333333333,'service','dep_Great dep_service dep_ dep_food dep_ ','dep_Great_service dep_service_ dep__food dep_food_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
231,-0.08888888888888889,'service','dep_huge dep_wan ','dep_huge_wan ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
243,0.0,'Service','dep_varies ','',1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,neutral
244,0.3333333333333333,'Seating','dep_prompt ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
247,-0.0,'time','dep_lunch ','dep_lunch_during ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
273,0.05555555555555555,'service','dep_food ','dep_food_was ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
279,0.4666666666666666,'service','dep_wonderful dep_ambience ','dep_wonderful_ambience ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
280,0.1111111111111111,'staff','dep_professional ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,positive
287,0.0,'service','dep_thing ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
299,-0.09999999999999999,'service','dep_poor ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
330,0.0,'service','dep_price ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
332,0.0,'waiters','dep_walking ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
333,0.14444444444444446,'food','dep_prepared ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
338,0.26666666666666666,'takeout','dep_great ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
340,0.0,'they','dep_served ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
346,0.0,'staff','dep_accomodating ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
349,0.0,'Manager','dep_wanted ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
354,0.08333333333333333,'service','dep_ok dep_food ','dep_ok_food ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
356,0.1416666666666667,'service','dep_bad dep_food dep_good dep_get ','dep_bad_food dep_food_good dep_good_get ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
357,0.1416666666666667,'service','dep_bad dep_food dep_good dep_get ','dep_bad_food dep_food_good dep_good_get ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
374,0.3333333333333333,'Service','dep_slow ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
375,-0.39999999999999997,'people','dep_friendly ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
379,0.6666666666666666,'service','dep_impeccable ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
383,0.4666666666666666,'Service','dep_horrible ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
388,0.16666666666666666,'service','dep_food ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
413,-0.0,'Service','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
414,0.0,'list','dep_wine dep_handed ','dep_wine_handed ',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negative
415,-0.25,'service','dep_proper dep_constitute ','dep_proper_constitute ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
419,-0.09166666666666667,'wait staff','dep_nice dep_staff dep_wait dep_place ','dep_nice_staff dep_staff_wait dep_wait_place ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
