@relation Preis-Leistungs-Verhltnis

@attribute id numeric
@attribute lemma string
@attribute dependencies string
@attribute lexicons_min numeric
@attribute lexicons_max numeric
@attribute lexicons_extremes_difference numeric
@attribute contains_negation numeric
@attribute sentence_length numeric
@attribute aspecttype {true, false}

@data
40,'good ','root punct ',0.0,1.0,1.0,0,7,false
41,'view window need clean change clear ','det root prep mark det nsubj advcl xcomp cc aux auxpass conj prt punct mark nsubj cop neg advcl punct ',0.0,1.0,1.0,1,94,false
42,'location excellent ','nsubj cop root punct ',0.0,1.0,1.0,1,24,false
43,'water pressure also excellent ','nn nsubj cop advmod root punct ',-0.2,1.0,1.2,1,35,false
44,'bathroom space small potentially people ','nn nsubj cop advmod root prep quantmod num pobj punct ',0.0,0.0,0.0,1,56,false
45,'security priority hotel ground level connect small inside mall huge bonus also seem converging space homeless mental health issue addiction issue ','nsubj aux cop det nsubjpass punct prep det pobj prep nn pobj auxpass root prep det amod amod pobj punct nsubj cop det amod rcmod punct cc punct nsubj advmod conj aux cop det amod xcomp prep det pobj punct nsubj rcmod amod nn dobj cc nn conj punct ',0.0,1.0,1.0,1,243,false
46,'make in-predictable want run small kid tow ','root nsubj advmod xcomp cc nsubjpass aux neg aux conj aux xcomp prep pobj prep pobj prep amod pobj prep pobj punct ',0.0,0.2,0.2,1,108,false
47,'see episode next morning ','root det amod amod nsubj det amod ccomp punct ',0.0,0.0,0.0,0,45,false
74,'fine ','root punct ',0.0,0.4,0.4,0,7,false
75,'gym equipment need upgrade ','nsubj root det nn nsubjpass aux auxpass ccomp ',0.0,0.0,0.0,1,42,false
95,'enjoy stay ','root poss dobj punct ',0.0,1.0,1.0,0,19,false
96,'comfortable foot rest ','amod cc conj root punct ',0.0,0.5,0.5,0,28,false
97,'next elevator ','dep root pobj ',0.0,0.0,0.0,0,18,false
149,'economical property search area room improvement ','cop advmod root prep amod pobj nsubj rcmod prep det pobj cc expl conj nsubj prep pobj punct ',0.0,1.0,1.0,1,101,false
150,'location close event attend ','nsubj cop root prep det pobj nsubj aux rcmod punct ',0.0,0.0,0.0,1,52,false
151,'parking structure attack hotel need park outside ','expl root det nn nsubj ccomp prep det pobj mark nsubj aux neg advcl aux xcomp advmod punct ',-0.2,0.5,0.7,1,89,false
152,'travel pet request mini fridge room medication storage honour charge ','nsubj aux nsubjpass prep pobj cc poss conj prep det amod pobj prep det pobj prep nn pobj auxpass root prep det pobj punct ',0.0,0.4,0.4,1,122,false
153,'bathroom date tile crack shower much grout black ','det nsubjpass auxpass nsubj punct det nsubjpass auxpass parataxis prep det pobj cc conj prep det pobj cop root punct ',0.0,0.0,0.0,0,97,false
154,'carpet stain dirty ( sock turn get dirty walking carpet ) ','det nsubjpass auxpass root cc cop neg conj punct poss nsubj aux neg parataxis xcomp amod dobj prep pobj dep punct ',-0.4,0.0,0.4,1,97,false
155,'parking garage low ceiling ( foot max clearance ) large vehicle fit cost day ','nn nsubj root amod dobj dep num nn nn nsubj advmod advmod amod nsubj aux neg ccomp cc conj cop rcmod number number tmod punct ',0.0,0.3333333333333333,0.3333333333333333,1,114,false
156,'charge clean room travel pet tell check ','expl root det amod dep nsubj prep pcomp det dobj mark nsubj advcl prep pobj complm nsubjpass auxpass neg ccomp prep dep dep nn amod pobj punct ',0.0,1.0,1.0,1,123,false
157,'bar restaurant close go drink evening post hour operation.u ','det nsubj dep nsubjpass auxpass root advmod nsubj advcl aux xcomp det nn num dobj cc expl conj det amod nsubj prep pobj ',0.0,0.0,0.0,1,118,false
211,'acceptably ','root punct ',0.0,0.0,0.0,0,13,false
212,'good location parking grocery store building ','nn root punct appos punct nn appos prep det pobj punct ',0.0,1.0,1.0,0,58,false
213,'old hotel relevant smell socket room ','amod root cc amod conj punct det appos prep det pobj advmod dep punct ',0.0,0.6666666666666666,0.6666666666666666,1,63,false
214,'charge cellular bathroom ','root aux xcomp dobj prep pobj punct ',0.0,0.0,0.0,0,37,false
215,'air condition terrible ','nn nsubj cop root punct ',-0.6,0.0,0.6,0,29,false
216,'ask staff switch evening night start blow cool air noisy ','root aux xcomp dobj aux xcomp dobj prt prep det pobj punct cc prep pobj nsubj conj nn amod dobj advmod advmod punct ',-0.2,0.5,0.7,1,102,false
217,'cold uncomfortable ','nsubj cop advmod root cc conj punct ',-0.4,0.0,0.4,0,37,false
272,'stay okay ','nsubj cop root punct ',0.0,0.0,0.0,0,16,false
273,'consider stay ','nsubj aux root xcomp advmod advmod punct ',0.0,0.0,0.0,0,38,false
274,'location great right downtown montreal ','det nsubj cop ccomp punct amod nn root punct ',0.0,0.6,0.6,1,51,false
275,'view amazing bed comfortable enough ','nsubj cop root cc det nsubj cop conj advmod punct ',0.0,0.8,0.8,1,54,false
276,'hotel outdated ','det nsubj cop root punct ',0.0,0.0,0.0,0,25,false
277,'carpet pretty old vent dusty ','nsubj cop advmod root cc det nsubj cop advmod conj punct ',0.0,0.5,0.5,1,52,false
278,'actually see caked dust ','nsubj aux advmod root det dobj prep pobj punct ',0.0,0.0,0.0,0,41,false
279,'need update aesthetically ','nsubj aux root xcomp advmod punct ',0.0,0.0,0.0,1,38,false
326,'good ','root punct ',0.0,1.0,1.0,0,7,false
