@relation Preis-Leistungs-Verhltnis

@attribute id numeric
@attribute lexi1_avg numeric
@attribute lexi1_high numeric
@attribute lexi1_low numeric
@attribute lexi2_avg numeric
@attribute lexi2_high numeric
@attribute lexi2_low numeric
@attribute lexi3_avg numeric
@attribute lexi3_high numeric
@attribute lexi3_low numeric
@attribute target string
@attribute unigrams string
@attribute POS string
@attribute unigrams_count numeric
@attribute ends_on_special numeric
@attribute different_aspects numeric
@attribute includes_capslock numeric
@attribute negation_type_1 numeric
@attribute negation_type_2 numeric
@attribute negation_type_3 numeric
@attribute negation_type_4 numeric
@attribute negation_type_5 numeric
@attribute negation_type_6 numeric
@attribute aspecttype {positive, negative}

@data
107,0.006153846153846154,0.2,0.0,0.03076923076923077,1.0,0.0,0.03076923076923077,1.0,0.0,'target_value','Good value for money. Great location, next to Metro station, big n modern food court, supermarket. Walkable to city centre. erred an electric teapot to a coffee maker. Coffee brewer can be cleaned after each guest. . sheet is big enough to be tucked under the matress. So that it wont be rolled up.','JJ NN IN NN . JJ NN , RB IN NNP NN , JJ RB JJ NN NN , NN . JJ IN NN NN . VBD DT JJ NN IN DT NN NN . NN NN MD VB VBN IN DT NN . . NN VBZ JJ RB TO VB VBN IN DT NN . IN IN PRP MD RB VB VBN RP . ',65,0,8,1,0,1,0,0,0,0,positive
115,0.014634146341463417,0.4,-0.2,0.04878048780487805,1.0,0.0,0.04878048780487805,1.0,0.0,'target_cost','Good cost effectiveness. Good location. Good location. Breakfest could be better. There is no room service and the restaurant is closed for dinner, whats is essential. Pool is only opened in the evening!','JJ NN NN . JJ NN . JJ NN . JJS MD VB JJR . EX VBZ DT NN NN CC DT NN VBZ VBN IN NN , WP VBZ VBZ JJ . NNP VBZ RB VBN IN DT NN . ',41,1,6,1,0,0,0,0,0,0,positive
137,0.030769230769230767,1.0,0.0,0.07692307692307693,1.0,0.0,0.038461538461538464,1.0,0.0,'target_value','Good value. The location was very convenient and the view from our room was outstanding. It needs to be updated. It took a full five minutes running the shower before the water was really warm.','JJ NN . DT NN VBD RB JJ CC DT NN IN PRP$ NN VBD JJ . PRP VBZ TO VB VBN . PRP VBD DT JJ CD NNS VBG DT NN IN DT NN VBD RB JJ . ',39,0,4,1,0,0,0,0,0,0,positive
190,0.01904761904761905,0.4,0.0,-0.047619047619047616,1.0,0.0,0.023809523809523808,1.0,0.0,'target_Breakfast','Breakfast needs improvement. Proximity to everything in Montreal. Location. Breakfast a bit expensive . was cold. spresso','NNP VBZ NN . NN IN NN IN NNP . NN . VB DT NN JJ . VBD JJ . NN ',21,0,3,1,0,0,0,0,0,0,negative
314,0.020202020202020204,0.6,0.0,0.050505050505050504,1.0,0.0,0.050505050505050504,1.0,0.0,'target_price','A perfect location to enjoy Montreal, if you dont mind a hotel way beyond its remodeling date. Location; Adjacent underground car parking; Next to the Metro;. The hotel is showing its age. Everything needs to be upgraded. Difficult for staff to keep clean under the circumstances. Bathrooms particularly looking old and seedy - caulking mouldy. However, the price is less than half tht of the modern hotels in downtown Montreal, so it is still good value for money. Just dont look too deeply.','DT JJ NN TO VB NNP , IN PRP VBP RB VB DT NN NN IN PRP$ NN NN . NN : JJ JJ NN NN : RB IN DT NNP : . DT NN VBZ VBG PRP$ NN . NN VBZ TO VB VBN . JJ IN NN TO VB JJ IN DT NNS . NNS RB VBG JJ CC JJ HYPH VBG NN . RB , DT NN VBZ JJR IN JJ NN IN DT JJ NNS IN NN NNP , CC PRP VBZ RB JJ NN IN NN . RB VBP RB VB RB RB . ',99,0,9,1,0,1,0,1,0,0,positive
315,0.020202020202020204,0.6,0.0,0.050505050505050504,1.0,0.0,0.050505050505050504,1.0,0.0,'target_value','A perfect location to enjoy Montreal, if you dont mind a hotel way beyond its remodeling date. Location; Adjacent underground car parking; Next to the Metro;. The hotel is showing its age. Everything needs to be upgraded. Difficult for staff to keep clean under the circumstances. Bathrooms particularly looking old and seedy - caulking mouldy. However, the price is less than half tht of the modern hotels in downtown Montreal, so it is still good value for money. Just dont look too deeply.','DT JJ NN TO VB NNP , IN PRP VBP RB VB DT NN NN IN PRP$ NN NN . NN : JJ JJ NN NN : RB IN DT NNP : . DT NN VBZ VBG PRP$ NN . NN VBZ TO VB VBN . JJ IN NN TO VB JJ IN DT NNS . NNS RB VBG JJ CC JJ HYPH VBG NN . RB , DT NN VBZ JJR IN JJ NN IN DT JJ NNS IN NN NNP , CC PRP VBZ RB JJ NN IN NN . RB VBP RB VB RB RB . ',99,0,9,1,0,1,0,1,0,0,positive
320,0.044444444444444446,0.6,-0.6,0.041666666666666664,1.0,0.0,0.041666666666666664,1.0,0.0,'target_charged','Room is very clean, excellent cleaning servicrd. Room is very clean. Drawer still has Bible inside, I like this tradition hotel. When I registered the room, it calculated $99 for each day on confirmation. However, when I check out, it charged me $10 more started at 2nd day. Too bad, no freezer and tea bag in the room.','NNP VBZ RB JJ , JJ NN NN . NNP VBZ RB JJ . NNP RB VBZ NNP RB , PRP VBP DT NN NN . WRB PRP VBD DT NN , PRP VBD $ CD IN DT NN IN NN . RB , WRB PRP VBP RP , PRP VBD PRP $ CD JJR VBD IN JJ NN . RB JJ , DT NN CC NN NN IN DT NN . ',72,0,6,1,0,0,0,0,0,0,negative
325,0.013913043478260868,0.6,-0.2,0.02608695652173913,1.0,0.0,-0.005797101449275363,0.3333333333333333,0.0,'target_hotel','Affordable average hotel in central location. Liked the central location, the view, the price. A lot of homeless people in the area and drug use, the pool only being open 6-10, rooms could use updating, more plug ins near the bed would be nice, some plug ins didn?ft work. Your website also isn?ft updated - our room had a fridge but that wasn?ft expected so it would have been nice to know and the shower was nicer then what the picture showed and that might attract more people. The man that ushered people into the elevators when it was busy was extremely rude and pushy','JJ JJ NN IN JJ NN . VBD DT JJ NN , DT NN , DT NN . DT NN IN JJ NNS IN DT NN CC NN NN , DT NN RB VBG JJ CD , NNS MD VB VBG , RBR VB NNS IN DT NN MD VB JJ , DT NN NNS VBD NN . PRP$ NN RB VBD VBN : PRP$ NN VBD DT NN CC IN NNP VBD RB PRP MD VB VBN JJ TO VB CC DT NN VBD JJR RB WP DT NN VBD CC DT MD VB JJR NNS . DT NN WDT VBD NNS IN DT NNS WRB PRP VBD JJ VBD RB JJ CC JJ ',115,0,15,1,0,0,0,0,0,1,positive
327,0.013913043478260868,0.6,-0.2,0.02608695652173913,1.0,0.0,-0.005797101449275363,0.3333333333333333,0.0,'target_price','Affordable average hotel in central location. Liked the central location, the view, the price. A lot of homeless people in the area and drug use, the pool only being open 6-10, rooms could use updating, more plug ins near the bed would be nice, some plug ins didn?ft work. Your website also isn?ft updated - our room had a fridge but that wasn?ft expected so it would have been nice to know and the shower was nicer then what the picture showed and that might attract more people. The man that ushered people into the elevators when it was busy was extremely rude and pushy','JJ JJ NN IN JJ NN . VBD DT JJ NN , DT NN , DT NN . DT NN IN JJ NNS IN DT NN CC NN NN , DT NN RB VBG JJ CD , NNS MD VB VBG , RBR VB NNS IN DT NN MD VB JJ , DT NN NNS VBD NN . PRP$ NN RB VBD VBN : PRP$ NN VBD DT NN CC IN NNP VBD RB PRP MD VB VBN JJ TO VB CC DT NN VBD JJR RB WP DT NN VBD CC DT MD VB JJR NNS . DT NN WDT VBD NNS IN DT NNS WRB PRP VBD JJ VBD RB JJ CC JJ ',115,0,15,1,0,0,0,0,0,1,positive
409,0.028571428571428574,0.6,-0.2,0.03296703296703297,1.0,0.0,0.025641025641025637,1.0,0.0,'target_prices','Pleasant experience. Older hotel. Walking distance to shopping, restaurants. Comfy beds, good location, nice basic hotel room. One of the better prices for a downtown hotel. Older hotel, no info in the rooms for room service, pool hours etc. Had to call front desk. Shower curtain a little stinky. Water pressure a little low. Parking garage has very low ceilings and narrow driving. 19.50 per night to park. Things were good overall. No complaints.','NN NN . JJR NN . VBG NN IN NN , NNS . JJ NNS , JJ NN , JJ JJ NN NN . CD IN DT JJR NNS IN DT NN NN . JJR NN , DT NN IN DT NNS IN NN NN , NN NNS FW VBD TO VB JJ NN . JJR NN DT JJ JJ . NN NN DT JJ JJ . NN NN VBZ RB JJ NNS CC JJ NN . CD IN NN IN NN . NNS VBD JJ RB . DT NNS . ',91,0,15,1,0,0,0,0,0,0,positive
