@relation Preis-Leistungs-Verhltnis-positive

@attribute id numeric
@attribute AFINN numeric
@attribute BingLiu numeric
@attribute EmoLex numeric
@attribute unigrams string
@attribute bigrams string
@attribute feature__average numeric
@attribute feature__normal numeric
@attribute feature__simple numeric
@attribute feature__okay numeric
@attribute feature__ok numeric
@attribute feature__not_great numeric
@attribute feature__nothing_great numeric
@attribute feature__moderate numeric
@attribute feature__typical numeric
@attribute feature__alright numeric
@attribute feature__fair numeric
@attribute feature__mediocre numeric
@attribute feature__just numeric
@attribute feature__fine numeric
@attribute feature__not_too_good numeric
@attribute feature__good_enough numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {true, false}

@data
40,0.0,0.0,0.5,'good  ','_good_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
41,0.05,0.05,0.05,'the view  although the windows need cleaning or to be changed out  as they were not clear  ','_the_view _view_ __although _although_the _the_windows _windows_need _need_cleaning _cleaning_or _or_to _to_be _be_changed _changed_out _out_ __as _as_they _they_were _were_not _not_clear _clear_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
42,0.75,0.25,0.25,'location is excellent  ','_location_is _is_excellent _excellent_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
43,0.6666666666666666,0.16666666666666666,0.08333333333333333,'water pressure is also excellent  ','_water_pressure _pressure_is _is_also _also_excellent _excellent_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
44,0.0,0.0,-0.03333333333333333,'bathroom space is very small for potentially  people  ','_bathroom_space _space_is _is_very _very_small _small_for _for_potentially _potentially_ __people _people_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
45,0.02040816326530612,-0.02040816326530612,-0.017006802721088433,'security should be a priority  as the hotel below ground level is connected to a small inside mall  which is a huge bonus  but  it also seems to be a converging space for the homeless  who have mental health issues and addiction issues  ','_security_should _should_be _be_a _a_priority _priority_ __as _as_the _the_hotel _hotel_below _below_ground _ground_level _level_is _is_connected _connected_to _to_a _a_small _small_inside _inside_mall _mall_ __which _which_is _is_a _a_huge _huge_bonus _bonus_ __but _but_ __it _it_also _also_seems _seems_to _to_be _be_a _a_converging _converging_space _space_for _for_the _the_homeless _homeless_ __who _who_have _have_mental _mental_health _health_issues _issues_and _and_addiction _addiction_issues _issues_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
46,0.0,0.0,-0.01515151515151515,'makes them very inpredictable and i would not have wanted to run into one of them with small kids in tow  ','_makes_them _them_very _very_inpredictable _inpredictable_and _and_i _i_would _would_not _not_have _have_wanted _wanted_to _to_run _run_into _into_one _one_of _of_them _them_with _with_small _small_kids _kids_in _in_tow _tow_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
47,0.0,0.0,0.0,'saw a few having episodes the next morning  ','_saw_a _a_few _few_having _having_episodes _episodes_the _the_next _next_morning _morning_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
138,0.0,0.0,0.0,'fine  ','_fine_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,false
139,0.125,0.125,0.0,'gym had no equipment needs to be upgraded ','_gym_had _had_no _no_equipment _equipment_needs _needs_to _to_be _be_upgraded ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
175,0.0,0.0,0.25,'enjoyed our stay  ','_enjoyed_our _our_stay _stay_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
176,0.0,0.0,0.1,'comfortable and foot rest  ','_comfortable_and _and_foot _foot_rest _rest_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
177,0.0,0.0,0.0,'next to elevators ','_next_to _to_elevators ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
