@relation test

@attribute id numeric
@attribute text string
@attribute type string
@attribute aspecttype {true, false}

@data
88,'Good . ',OTHER-negative,false
89,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',OTHER-negative,false
90,'Location is excellent . ',OTHER-negative,false
91,'Water pressure is also excellent . ',OTHER-negative,false
92,'Bathroom space is very small for potentially 4 people . ',OTHER-negative,false
93,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',OTHER-negative,false
94,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',OTHER-negative,false
95,'Saw a few having episodes the next morning . ',OTHER-negative,false
150,'Fine . ',OTHER-negative,false
151,'Gym had no equipment Needs to be upgraded ',OTHER-negative,false
193,'Enjoyed our stay . ',OTHER-negative,false
194,'Comfortable and Foot rest . ',OTHER-negative,false
195,'Next to elevators ',OTHER-negative,false
307,'Was more economical than other properties I searched in the area but there is room for improvement . ',OTHER-negative,false
308,'Location was close to the event we were attending . ',OTHER-negative,false
309,'There is a parking structure attacked to the hotel so you did not need to park outside . ',OTHER-negative,false
310,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',OTHER-negative,false
311,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',OTHER-negative,false
312,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',OTHER-negative,false
313,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',OTHER-negative,false
314,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',OTHER-negative,true
315,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',OTHER-negative,false
429,'Acceptably . ',OTHER-negative,false
430,'Good Location , parking , grocery store in the building . ',OTHER-negative,false
431,'Old hotel and relevant smell , no sockets in the room at all . ',OTHER-negative,false
432,'Had to charge cellular in bathroom . ',OTHER-negative,false
433,'Air condition was terrible . ',OTHER-negative,false
434,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',OTHER-negative,false
435,'It was very cold and uncomfortable . ',OTHER-negative,false
552,'Stay was okay . ',OTHER-negative,false
553,'I will consider staying there again . ',OTHER-negative,false
554,'The location was great , right downtown Montreal . ',OTHER-negative,false
555,'View was amazing and the bed was comfortable enough . ',OTHER-negative,false
556,'The hotel was outdated . ',OTHER-negative,false
557,'Carpet was pretty old and the vent was VERY dusty . ',OTHER-negative,false
558,'You can actually see the caked on dust . ',OTHER-negative,false
559,'It does need updating aesthetically . ',OTHER-negative,false
658,'Good . ',OTHER-negative,false
659,'The housekeeper was very sweet and she did a great job . ',OTHER-negative,false
660,'There were some little things like broken lights , mildew and drippy faucet . ',OTHER-negative,false
661,'The hotel needs a bit of TLC . ',OTHER-negative,false
662,'Otherwise a nice experience . ',OTHER-negative,false
663,'The housekeeping staff were very friendly and they did a great job ',OTHER-negative,false
710,'Good . ',OTHER-negative,false
711,'Beds are not real . ',OTHER-negative,false
797,'Meh . ',OTHER-negative,false
798,'It s in a good location and it s clean . ',OTHER-negative,false
799,'It s very dated . ',OTHER-negative,false
800,'The TV did nt work . ',OTHER-negative,false
801,'The staff at reception are nt warm . ',OTHER-negative,false
802,'I only stay here if I absolutely have to . ',OTHER-negative,false
803,'We were stranded with the storm so we booked it last minute . ',OTHER-negative,false
865,'Rude staff . ',OTHER-negative,false
866,'The staff gave an unpleasant vibe that started right off the bat . ',OTHER-negative,false
867,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',OTHER-negative,false
935,'Good location , adequate for our stay , Would stay there again if the price was right . ',OTHER-negative,false
936,'Quiet , comfortable , clean , GREAT LOCATION . ',OTHER-negative,false
937,'Bar fridge in room was very useful . ',OTHER-negative,false
938,'Rooms and furniture need updating . ',OTHER-negative,false
939,'Pool area also needs a makeover . ',OTHER-negative,false
