@relation Ausstattung-negative

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
976,'JJ','good','Good',1,'ROOT','. ',false
977,'.','.','.',0,'punct','Good ',false
978,'DT','the','The',1,'det','view - although ',false
979,'NN','view','view',1,'ROOT','The - although the ',false
980,':','-','-',0,'prep','The view although the windows ',false
981,'IN','although','although',1,'mark','The view - the windows need ',false
982,'DT','the','the',1,'det','view - although windows need cleaning ',false
983,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
984,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
985,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
986,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
987,'TO','to','to',1,'aux','need cleaning or be changed out ',false
988,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
989,'VBN','change','changed',1,'conj','or to be out , as ',false
990,'RP','out','out',1,'prt','to be changed , as they ',false
991,',',',',',',0,'punct','be changed out as they were ',false
992,'IN','as','as',1,'mark','changed out , they were not ',false
993,'PRP','they','they',1,'nsubj','out , as were not clear ',false
994,'VBD','be','were',1,'cop',', as they not clear . ',false
995,'RB','not','not',1,'neg','as they were clear . ',false
996,'JJ','clear','clear',1,'advcl','they were not . ',false
997,'.','.','.',0,'punct','were not clear ',false
998,'NNP','location','Location',1,'nsubj','is excellent . ',false
999,'VBZ','be','is',1,'cop','Location excellent . ',false
1000,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
1001,'.','.','.',0,'punct','Location is excellent ',false
1002,'NN','water','Water',1,'nn','pressure is also ',false
1003,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
1004,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
1005,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
1006,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
1007,'.','.','.',0,'punct','is also excellent ',false
1008,'NN','bathroom','Bathroom',1,'nn','space is very ',false
1009,'NN','space','space',1,'nsubj','Bathroom is very small ',false
1010,'VBZ','be','is',1,'cop','Bathroom space very small for ',false
1011,'RB','very','very',1,'advmod','Bathroom space is small for potentially ',false
1012,'JJ','small','small',1,'ROOT','space is very for potentially 4 ',false
1013,'IN','for','for',1,'prep','is very small potentially 4 people ',false
1014,'RB','potentially','potentially',1,'quantmod','very small for 4 people . ',false
1015,'CD','0','4',0,'num','small for potentially people . ',false
1016,'NNS','people','people',1,'pobj','for potentially 4 . ',false
1017,'.','.','.',0,'punct','potentially 4 people ',false
1018,'NN','security','Security',1,'nsubj','should be a ',false
1019,'MD','should','should',1,'aux','Security be a priority ',false
1020,'VB','be','be',1,'cop','Security should a priority , ',false
1021,'DT','a','a',1,'det','Security should be priority , as ',false
1022,'NN','priority','priority',1,'nsubjpass','should be a , as the ',false
1023,',',',',',',0,'punct','be a priority as the hotel ',false
1024,'IN','as','as',1,'prep','a priority , the hotel below ',false
1025,'DT','the','the',1,'det','priority , as hotel below ground ',false
1026,'NN','hotel','hotel',1,'pobj',', as the below ground level ',false
1027,'IN','below','below',1,'prep','as the hotel ground level is ',false
1028,'NN','ground','ground',1,'nn','the hotel below level is connected ',false
1029,'NN','level','level',1,'pobj','hotel below ground is connected to ',false
1030,'VBZ','be','is',1,'auxpass','below ground level connected to a ',false
1031,'VBN','connect','connected',1,'ROOT','ground level is to a small ',false
1032,'IN','to','to',1,'prep','level is connected a small inside ',false
1033,'DT','a','a',1,'det','is connected to small inside mall ',false
1034,'JJ','small','small',1,'amod','connected to a inside mall , ',false
1035,'JJ','inside','inside',1,'amod','to a small mall , which ',false
1036,'NN','mall','mall',1,'pobj','a small inside , which is ',false
1037,',',',',',',0,'punct','small inside mall which is a ',false
1038,'WDT','which','which',1,'nsubj','inside mall , is a huge ',false
1039,'VBZ','be','is',1,'cop','mall , which a huge bonus ',false
1040,'DT','a','a',1,'det',', which is huge bonus , ',false
1041,'JJ','huge','huge',1,'amod','which is a bonus , but ',false
1042,'NN','bonus','bonus',1,'rcmod','is a huge , but - ',false
1043,',',',',',',0,'punct','a huge bonus but - it ',false
1044,'CC','but','but',1,'cc','huge bonus , - it also ',false
1045,',','-','-',0,'punct','bonus , but it also seems ',false
1046,'PRP','it','it',1,'nsubj',', but - also seems to ',false
1047,'RB','also','also',1,'advmod','but - it seems to be ',false
1048,'VBZ','seem','seems',1,'conj','- it also to be a ',false
1049,'TO','to','to',1,'aux','it also seems be a converging ',false
1050,'VB','be','be',1,'cop','also seems to a converging space ',false
1051,'DT','a','a',1,'det','seems to be converging space for ',false
1052,'JJ','converging','converging',1,'amod','to be a space for the ',false
1053,'NN','space','space',1,'xcomp','be a converging for the homeless ',false
1054,'IN','for','for',1,'prep','a converging space the homeless , ',false
1055,'DT','the','the',1,'det','converging space for homeless , who ',false
1056,'JJ','homeless','homeless',1,'pobj','space for the , who have ',false
1057,',',',',',',0,'punct','for the homeless who have mental ',false
1058,'WP','who','who',1,'nsubj','the homeless , have mental health ',false
1059,'VBP','have','have',1,'rcmod','homeless , who mental health issues ',false
1060,'JJ','mental','mental',1,'amod',', who have health issues and ',false
1061,'NN','health','health',1,'nn','who have mental issues and addiction ',false
1062,'NNS','issue','issues',1,'dobj','have mental health and addiction issues ',false
1063,'CC','and','and',1,'cc','mental health issues addiction issues . ',false
1064,'NN','addiction','addiction',1,'nn','health issues and issues . ',false
1065,'NNS','issue','issues',1,'conj','issues and addiction . ',false
1066,'.','.','.',0,'punct','and addiction issues ',false
1067,'VBZ','make','Makes',1,'ROOT','them very in-predictable ',false
1068,'PRP','them','them',1,'nsubj','Makes very in-predictable and ',false
1069,'RB','very','very',1,'advmod','Makes them in-predictable and I ',false
1070,'JJ','in-predictable','in-predictable',1,'xcomp','Makes them very and I would ',false
1071,'CC','and','and',1,'cc','them very in-predictable I would not ',false
1072,'PRP','i','I',1,'nsubjpass','very in-predictable and would not have ',false
1073,'MD','would','would',1,'aux','in-predictable and I not have wanted ',false
1074,'RB','not','not',1,'neg','and I would have wanted to ',false
1075,'VB','have','have',1,'aux','I would not wanted to run ',false
1076,'VBN','want','wanted',1,'conj','would not have to run into ',false
