@relation food#quality

@attribute id numeric
@attribute sentiment_average numeric
@attribute target_word string
@attribute dependency_related_unigrams string
@attribute dependency_related_bigrams string
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {positive, neutral, negative}

@data
3,-0.16666666666666666,'food','dep_lousy ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
7,0.16666666666666666,'food','dep_consistently ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
9,0.075,'foie gras terrine with figs','dep_gras dep_foie dep_terrine dep_amazing dep_figs ','dep_gras_foie dep_foie_terrine dep_terrine_amazing dep_amazing_with dep_figs_was ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
10,0.15,'duck confit','dep_confit dep_duck dep_amazing ','dep_confit_duck dep_duck_amazing ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
14,-0.0,'price','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
18,-0.0,'Food','dep_okay ','',0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,neutral
19,0.3111111111111111,'Chow fun','dep_fun dep_Chow dep_dry ','dep_fun_Chow dep_Chow_dry ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
20,0.0,'pork shu mai','dep_mai dep_pork dep_shu dep_dry ','dep_mai_pork dep_pork_shu dep_shu_dry dep_dry_was ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
25,-0.0,'oysters','dep_devine ','dep_devine_where ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,positive
29,0.43333333333333335,'service','dep_excellent ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
32,0.06666666666666667,'duck breast special','dep_breast dep_duck dep_special ','dep_breast_duck dep_duck_had ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
34,0.17333333333333334,'spicy tuna roll','dep_roll dep_spicy dep_tuna dep_good ','dep_roll_spicy dep_spicy_tuna dep_tuna_good ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,positive
35,0.13666666666666666,'rock shrimp tempura','dep_tempura dep_rock dep_shrimp dep_awesome ','dep_tempura_rock dep_rock_shrimp dep_shrimp_awesome ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,positive
39,0.0,'Food','dep_Food dep_ dep_ ','dep_Food_ dep__ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
43,0.3333333333333333,'food','dep_decent ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
52,0.5333333333333333,'Food','dep_great ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
55,-0.016666666666666666,'sea urchin','dep_urchin dep_sea dep_rose dep_ ','dep_urchin_sea dep_sea_rose dep_rose_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
56,-0.0,'buttery','dep_slightly dep_fishy ','dep_slightly_fishy ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
57,0.0,'sushi','dep_seemed ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
60,0.047619047619047616,'half price sushi deal','dep_price dep_half dep_deal dep_sushi ','dep_price_half dep_half_of dep_deal_sushi dep_sushi_on ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
64,0.14444444444444446,'food','dep_prepared ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
67,0.11555555555555555,'Prix Fixe menu','dep_menu dep_Prix dep_Fixe dep_worth ','dep_menu_Prix dep_Prix_Fixe dep_Fixe_worth ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
72,0.06666666666666667,'food','dep_much dep_tasty dep_ ','dep_much_tasty dep_tasty_is dep__all ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
74,-0.13333333333333333,'dishes','dep_almost dep_great ','dep_almost_all ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
75,-0.11666666666666665,'somosas','dep_like dep_ dep_chai ','dep_like_ dep__chai ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
76,-0.0,'chai','dep_somosas ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
77,-0.2333333333333333,'chole','dep_like ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
78,-0.0,'dhosas','dep_dissapointing dep_dhal ','dep_dissapointing_and ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
