@relation review

@attribute id numeric
@attribute title_lemma string
@attribute positive_part_lemma string
@attribute negative_part_lemma string
@attribute aspects_in_positive string
@attribute aspects_in_negative string
@attribute sentiment_avg_in_tit numeric
@attribute sentiment_avg_in_pos numeric
@attribute sentiment_avg_in_neg numeric
@attribute sentiment_max_in_pos numeric
@attribute sentiment_max_in_neg numeric
@attribute sentiment_min_in_pos numeric
@attribute sentiment_min_in_neg numeric
@attribute relation_of_type numeric
@attribute score numeric

@data
0,'good ','view - although window need clean change , clear . location excellent . water pressure also excellent ','bathroom space small potentially 0 people . security priority , hotel ground level connect small inside mall , huge bonus , - also seem converging space homeless , mental health issue addiction issue . make in-predictable i would want run #crd# small kid tow . see episode next morning . ','','',0.65,0,0,0,0,0,0,0.3355855855855856,7.9
1,'fine ','gym equipment need upgrade ','','','',0.35,0,0,0,0,0,0,0.0,7.1
2,'enjoy stay ','comfortable foot rest ','next elevator ','','',0.24,0,0,0,0,0,0,1.4444444444444444,6.7
3,'economical property i search area room improvement . ','location close event attend . parking structure attack hotel need park outside . travel pet request mini fridge room medication storage honour charge . ','bathroom date , tile crack shower much grout black . carpet stain dirty ( sock turn get dirty walking carpet ) . parking garage low ceiling ( 0 foot max clearance ) large vehicle fit cost $ 0 / day . $ 0 charge clean room travel pet tell check - . bar / restaurant close go drink #crd# evening post hour operation.u ','','',0.061818181818181814,0,0,0,0,0,0,0.49056603773584906,7.1
4,'acceptably ','good location , parking , grocery store building ','old hotel relevant smell , socket room . charge cellular bathroom . air condition terrible . ask staff switch evening , night start blow cool air noisy . cold uncomfortable . ','','',0.0,0,0,0,0,0,0,0.210727969348659,7.5
5,'stay okay . i consider stay . ','location great , right downtown montreal . view amazing bed comfortable enough . ','hotel outdated . carpet pretty old vent dusty . actually see caked dust . need update aesthetically . ','','',0.0,0,0,0,0,0,0,0.6710526315789473,7.1
6,'good ','housekeeper sweet great job ','. little thing like break light , mildew drippy faucet . hotel need bit tlc . otherwise nice experience . housekeeping staff friendly great job ','','',0.65,0,0,0,0,0,0,0.2722772277227723,7.9
7,'good ','bed real ','','','',0.65,0,0,0,0,0,0,0.0,7.9
8,'meh . ','s good location s clean . ','s date . tv work . staff reception warm . i stay i absolutely . strand storm book last minute . ','','',0.0,0,0,0,0,0,0,0.22727272727272727,7.1
9,'rude staff ','staff give unpleasant vibe start right bat . #crd# female receptionist attitude explain room deposit correctly i return ask clarify something s already say , seem upset ','','','',-0.14285714285714285,0,0,0,0,0,0,0.0,6.2
10,'good location , adequate stay , would stay price right . ','quiet , comfortable , clean , great location . bar fridge room useful . ','room furniture need update . pool area also need makeover . ','','',0.08727272727272728,0,0,0,0,0,0,1.161764705882353,7.5
11,'good location , adequate stay , would stay price right . ','quiet , comfortable , clean , great location . bar fridge room useful . ','room furniture need update . pool area also need makeover . ','','',0.08727272727272728,0,0,0,0,0,0,1.161764705882353,7.5
12,'thang service ! ','moon light !! ','maybe update little bit color furniture !! ','','',0.0,0,0,0,0,0,0,0.34545454545454546,8.3
13,'good ','location ','. bathroom show age . time renovate ! ','','',0.65,0,0,0,0,0,0,0.2549019607843137,7.5
14,'i wish i would wait low rate site offer $ 0 per night . stay #crd# ni ','nice big room upgrade arrival ','. smell lobby #ord# walk smell stale like nursing home . much antiseptic smell try cover stale smell . beautiful old building i appreciate . also turn water midnight 0 . big affect far comfort ','','',0.002857142857142857,0,0,0,0,0,0,0.12408759124087591,7.5
15,'good ','location fair ','old hotel , room curtain fall ','','',0.65,0,0,0,0,0,0,0.6037735849056604,7.5
16,'stay ok bit like b&b old style hotel ambience without bar diner ','breakfast good , location excellent , view room good . room clean service good . safe place quiet ','usb pports power point electronic device ; furniture old bed squeak . last evening could get room apparently check already . room service , bar except lunch time quite 0 star standard ','','',0.0208955223880597,0,0,0,0,0,0,0.44402985074626866,6.2
17,'excellent customer service . ','staff accommodating helpful . ','bathroom shower mold wall . explain problem front desk , apologetic move us upgrade room . excellent customer service . ','','',0.27692307692307694,0,0,0,0,0,0,0.2611111111111111,7.5
18,'good ','location excellent , central , convenient public transportation , restaurant , metro , place dupuis food court , various service ','maintenance spotty . bathtub drain clog , hairdryer work , ice maker several floor order , furniture room scuff . ','','',0.65,0,0,0,0,0,0,0.9379310344827586,7.1
19,'good ','really like location hotel ','swimming pool cold . ','','',0.65,0,0,0,0,0,0,1.5357142857142858,7.1
20,'pleasant ','great location ','. room mold . move another room becsuse noise contiguos room . ','','',0.65,0,0,0,0,0,0,0.15789473684210525,6.2
21,'good ','close shopping ','heat bathroom ','','',0.65,0,0,0,0,0,0,0.95,7.5
22,'good ','service de concierge nest pas sufficient ','','','',0.65,0,0,0,0,0,0,0.0,7.1
23,'okay ','location ','. room tired overused . room need facelift . carpet stain , mould bathroom . ','','',0.0,0,0,0,0,0,0,0.0743801652892562,5.8
24,'overall nice #crd# ','location ','facility ','','',0.16,0,0,0,0,0,0,0.8181818181818182,7.5
25,'good value money ','great location , next metro station , big n modern food court , supermarket . walkable city centre . err electric teapot coffee maker . ','brewer clean guest . . sheet big enough tuck matress . wo roll . ','','',0.27692307692307694,0,0,0,0,0,0,1.1111111111111112,8.3
26,'good cost effectiveness . good location . ','good location . ','breakfest could good . room service restaurant close dinner , s essential . pool open evening ! ','','',0.2818181818181818,0,0,0,0,0,0,0.1,7.9
27,'okay ','great location ','. i lose thing i leave i contact say find .. also , hot water would work morning ','','',0.0,0,0,0,0,0,0,0.0967741935483871,5.8
28,'good ','great buffet . bad fridge room since book small room . great location . parking scary least street ','','','',0.65,0,0,0,0,0,0,0.0,7.9
29,'room serve purpose . less . ','room 0 - clean room . front staff friendly . front entrance beautiful . ked parking underground easy access hotel . room 0 - ','bathroom need major renovation ( i comfortable mold bath tub wall ) . ','','',-0.002702702702702702,0,0,0,0,0,0,1.5086206896551724,7.5
30,'good . ','lobby clean room clean great view city . restaurant hotel good . location hotel great access st. catherine s street get downtown . ','bathroom outdated , seem little scummy . ','','',0.37142857142857144,0,0,0,0,0,0,3.6666666666666665,7.1
31,'good value ','location convenient view room outstanding ','need update . take full #crd# minute run shower water really warm . ','','',0.37142857142857144,0,0,0,0,0,0,0.7333333333333333,8.3
32,'pleasant ','old , need reformation comon area ','','','',0.65,0,0,0,0,0,0,0.0,6.2
33,'probably would stay . ','work ice machine . ','','','',0.0,0,0,0,0,0,0,0.0,6.2
34,'would go back would recommend friend . ','room roomy . location excellent . clean staff awesome . ','air duct need clean . come i smell mould . pool hour limited odd . ','','',0.10357142857142856,0,0,0,0,0,0,0.900990099009901,8.5
35,'good ','location ','','','',0.65,0,0,0,0,0,0,0.0,7.5
36,'good ','nice city ','room fridge ','','',0.37142857142857144,0,0,0,0,0,0,0.8947368421052632,8.3
37,'good ','good location . lot elevator work rapidly ','. old building . lot amenity . ','','',0.65,0,0,0,0,0,0,1.394736842105263,7.1
38,'home away home . ','ideal location hotel heart downtown montreal . friendly helpful staff . trustworthy housekeeping . wide selection place close hotel ( metro station , taxi , shopping mall , restaurant , pharmacy , etc ) . ','many homeless people near hotel . ','','',0.0,0,0,0,0,0,0,6.135135135135135,8.3
39,'pleasant ','good location ','design quite old need change lift car park ','','',0.65,0,0,0,0,0,0,0.24561403508771928,6.7
40,'hotel convenient airport shuttle subway . ','bed comfy . ','coffee machine work . strange smell room . room hotel little tired tatty . #crd# staff friendly . make effort friendly helpful . ','','',0.058823529411764705,0,0,0,0,0,0,0.09313725490196079,5.8
41,'bad ','location , comfort ','payment process ','','',-0.19999999999999998,0,0,0,0,0,0,1.0625,6.2
42,'nice hotel , would recommend . ','staff ( sammy , checkin ) helpful provide room nice view ! ','bad signage direction parking garage hotel food court , ect . ','','',0.1590909090909091,0,0,0,0,0,0,0.8823529411764706,6.7
43,'good ','location great ','. old hotel old equipments : old bathroom , old carpets .. need urgent remodeling ','','',0.65,0,0,0,0,0,0,0.21176470588235294,7.9
44,'breakfast need improvement . proximity everything montreal ','location ','breakfast bit expensive cold spresso ','','',0.10357142857142856,0,0,0,0,0,0,0.17307692307692307,8.3
45,'fairly good hotel , nice practical location ','good location , check - / fast , i able get room early expect , general stay pleasant . s also connect shopping mall metro system , go outside get . #ord# stay hotel i sure wo last ','big space door let sound light , mildly annoying try sleep . i also reduce score  facility  hotel still follow archaic ( slightly offensive ) practice put bible ( , case , new testament ) room . non-christian , irritate i would like stop . ','','',0.2818181818181818,0,0,0,0,0,0,0.8527777777777777,7.5
46,'pleasant ','nice clean hotel ','night hear air circulation almost sound like roller coaster keep wake ','','',0.65,0,0,0,0,0,0,0.2653061224489796,6.7
47,'location , location , location ','location absolutely terrific . staff extremely accommodate , hotel need update . #ord# room smell like smoke , immediately move another room . lock work - immediately fix . staff help us book train ride , loan us wine opener , never say   request ','room need upgrade . ','','',0.0,0,0,0,0,0,0,13.76923076923077,7.5
48,'satisfy ! ','hotel location great ! easy subway access . close bar restaurant , bed comfortable . staff bilingual , able give information get around city . ','room beside elevator could hear go quite loudly . good noise wake morning . ','','',0.14285714285714285,0,0,0,0,0,0,1.3169014084507042,8.3
49,'pleasant ','complain roos give us good room ','i complain send maintenance man room check room tell i wrong room fine . i leave change room good #crd# . ','','',0.65,0,0,0,0,0,0,0.3225806451612903,6.2
50,'okay ','indoor access iga metro definitely asset ','bathroom fixture look old outdated . enough electric outlet personal device . ','','',0.0,0,0,0,0,0,0,0.47413793103448276,5.8
51,'stay good , convenient location , comfortable spacious room . ','location old town good . park across way pleasant enjoy music . convenient iga attach hotel . ','desk staff concierge feel position understaffed . ask coffee desk twice none leave #ord# day #crd# #ord# day . care area behind hotel go away park , people seem disrespectful public property area feel particularly safe evening . weekend marathon #crd# hotel able tell us expect morning marathon leave ','','',0.2,0,0,0,0,0,0,0.281437125748503,7.1
52,'disgust 0 st night defective air con ','kudos daytime receptionist , transfer us another room #ord# night , air - con 0 st night , available room transfer claim friendly night staff ','friendly night receptionist .. give us room defective air - con . ','','',-0.09999999999999999,0,0,0,0,0,0,2.5316455696202533,6.7
53,'good location nice look old interior need renovation ','good place montreal nice look city everything old furniture bathroom style carpet ac window belong 0 ','design furniture bathroom ac ','','',0.16764705882352943,0,0,0,0,0,0,4.205882352941177,6.2
54,'i come . ','great location !! ndly hotel staff . ','star hotel expect safe box room , room ! glass / cup single use plastic paper . lectric charging room desk . ','','',0.0,0,0,0,0,0,0,0.25625,7.5
55,'good ','i injure , twice , hide obstacle protrude bed frame . management willing adequately address ','','','',0.65,0,0,0,0,0,0,0.0,7.5
56,'okay ','location access subway great ','bathroom need immediate upgrade . smell mould . room good size new wallpaper would great . ','','',0.0,0,0,0,0,0,0,0.328,5.8
57,'okay ','great location . comfortable bed ','outdate . big line elevator . ','','',0.0,0,0,0,0,0,0,0.9705882352941176,5.8
58,'experience check counter great !! ','bed comfortable .. woman attend room lovely lady ','front desk lady less pleasant .. abrasive us ask explain alittle good us .. make clear us annoy us !! really make us feel stupid ','','',0.043243243243243246,0,0,0,0,0,0,0.3504273504273504,7.5
59,'pleasant ','location excellent . room clean . ','surprised ac noisy . ose try open fresh air , i find spider network outside window . ve comment check hope fixation next time . ','','',0.65,0,0,0,0,0,0,0.24,6.7
60,'okay ','good location , friendly staff ','0 star hotel plastic glass paper cup hotel need major renovation ( date ) ','','',0.0,0,0,0,0,0,0,0.30927835051546393,5.8
