@relation Preis-Leistungs-Verhltnis

@attribute id numeric
@attribute unigram string
@attribute unigram_lemma string
@attribute bigram string
@attribute bigram_lemma string
@attribute pos_bigrams string
@attribute aspecttype {true, false}

@data
40,'good . ','good . ','_good_. ','_good_. ','_JJ_. ',false
41,'the view - although the windows need cleaning or to be changed out , as they were not clear . ','the view - although the window need clean or to be change out , as they be not clear . ','_the_view _view_- _-_although _although_the _the_windows _windows_need _need_cleaning _cleaning_or _or_to _to_be _be_changed _changed_out _out_, _,_as _as_they _they_were _were_not _not_clear _clear_. ','_the_view _view_- _-_although _although_the _the_window _window_need _need_clean _clean_or _or_to _to_be _be_change _change_out _out_, _,_as _as_they _they_be _be_not _not_clear _clear_. ','_DT_NN _NN_: _:_IN _IN_DT _DT_NNS _NNS_VBP _VBP_VBG _VBG_CC _CC_TO _TO_VB _VB_VBN _VBN_RP _RP_, _,_IN _IN_PRP _PRP_VBD _VBD_RB _RB_JJ _JJ_. ',false
42,'location is excellent . ','location be excellent . ','_location_is _is_excellent _excellent_. ','_location_be _be_excellent _excellent_. ','_NNP_VBZ _VBZ_JJ _JJ_. ',false
43,'water pressure is also excellent . ','water pressure be also excellent . ','_water_pressure _pressure_is _is_also _also_excellent _excellent_. ','_water_pressure _pressure_be _be_also _also_excellent _excellent_. ','_NN_NN _NN_VBZ _VBZ_RB _RB_JJ _JJ_. ',false
44,'bathroom space is very small for potentially 4 people . ','bathroom space be very small for potentially 0 people . ','_bathroom_space _space_is _is_very _very_small _small_for _for_potentially _potentially_4 _4_people _people_. ','_bathroom_space _space_be _be_very _very_small _small_for _for_potentially _potentially_0 _0_people _people_. ','_NN_NN _NN_VBZ _VBZ_RB _RB_JJ _JJ_IN _IN_RB _RB_CD _CD_NNS _NNS_. ',false
45,'security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ','security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . ','_security_should _should_be _be_a _a_priority _priority_, _,_as _as_the _the_hotel _hotel_below _below_ground _ground_level _level_is _is_connected _connected_to _to_a _a_small _small_inside _inside_mall _mall_, _,_which _which_is _is_a _a_huge _huge_bonus _bonus_, _,_but _but_- _-_it _it_also _also_seems _seems_to _to_be _be_a _a_converging _converging_space _space_for _for_the _the_homeless _homeless_, _,_who _who_have _have_mental _mental_health _health_issues _issues_and _and_addiction _addiction_issues _issues_. ','_security_should _should_be _be_a _a_priority _priority_, _,_as _as_the _the_hotel _hotel_below _below_ground _ground_level _level_be _be_connect _connect_to _to_a _a_small _small_inside _inside_mall _mall_, _,_which _which_be _be_a _a_huge _huge_bonus _bonus_, _,_but _but_- _-_it _it_also _also_seem _seem_to _to_be _be_a _a_converging _converging_space _space_for _for_the _the_homeless _homeless_, _,_who _who_have _have_mental _mental_health _health_issue _issue_and _and_addiction _addiction_issue _issue_. ','_NN_MD _MD_VB _VB_DT _DT_NN _NN_, _,_IN _IN_DT _DT_NN _NN_IN _IN_NN _NN_NN _NN_VBZ _VBZ_VBN _VBN_IN _IN_DT _DT_JJ _JJ_JJ _JJ_NN _NN_, _,_WDT _WDT_VBZ _VBZ_DT _DT_JJ _JJ_NN _NN_, _,_CC _CC_, _,_PRP _PRP_RB _RB_VBZ _VBZ_TO _TO_VB _VB_DT _DT_JJ _JJ_NN _NN_IN _IN_DT _DT_JJ _JJ_, _,_WP _WP_VBP _VBP_JJ _JJ_NN _NN_NNS _NNS_CC _CC_NN _NN_NNS _NNS_. ',false
46,'makes them very in-predictable and i would not have wanted to run into one of them with small kids in tow . ','make them very in-predictable and i would not have want to run into #crd# of them with small kid in tow . ','_makes_them _them_very _very_in-predictable _in-predictable_and _and_i _i_would _would_not _not_have _have_wanted _wanted_to _to_run _run_into _into_one _one_of _of_them _them_with _with_small _small_kids _kids_in _in_tow _tow_. ','_make_them _them_very _very_in-predictable _in-predictable_and _and_i _i_would _would_not _not_have _have_want _want_to _to_run _run_into _into_#crd# _#crd#_of _of_them _them_with _with_small _small_kid _kid_in _in_tow _tow_. ','_VBZ_PRP _PRP_RB _RB_JJ _JJ_CC _CC_PRP _PRP_MD _MD_RB _RB_VB _VB_VBN _VBN_TO _TO_VB _VB_IN _IN_CD _CD_IN _IN_PRP _PRP_IN _IN_JJ _JJ_NNS _NNS_IN _IN_NN _NN_. ',false
47,'saw a few having episodes the next morning . ','see a few have episode the next morning . ','_saw_a _a_few _few_having _having_episodes _episodes_the _the_next _next_morning _morning_. ','_see_a _a_few _few_have _have_episode _episode_the _the_next _next_morning _morning_. ','_VBD_DT _DT_JJ _JJ_VBG _VBG_NNS _NNS_DT _DT_JJ _JJ_NN _NN_. ',false
74,'fine . ','fine . ','_fine_. ','_fine_. ','_NN_. ',false
75,'gym had no equipment needs to be upgraded ','gym have no equipment need to be upgrade ','_gym_had _had_no _no_equipment _equipment_needs _needs_to _to_be _be_upgraded ','_gym_have _have_no _no_equipment _equipment_need _need_to _to_be _be_upgrade ','_NNP_VBD _VBD_DT _DT_NN _NN_NNS _NNS_TO _TO_VB _VB_VBN ',false
95,'enjoyed our stay . ','enjoy our stay . ','_enjoyed_our _our_stay _stay_. ','_enjoy_our _our_stay _stay_. ','_VBN_PRP$ _PRP$_NN _NN_. ',false
96,'comfortable and foot rest . ','comfortable and foot rest . ','_comfortable_and _and_foot _foot_rest _rest_. ','_comfortable_and _and_foot _foot_rest _rest_. ','_JJ_CC _CC_JJ _JJ_NN _NN_. ',false
97,'next to elevators ','next to elevator ','_next_to _to_elevators ','_next_to _to_elevator ','_RB_IN _IN_NNS ',false
149,'was more economical than other properties i searched in the area but there is room for improvement . ','be more economical than other property i search in the area but there be room for improvement . ','_was_more _more_economical _economical_than _than_other _other_properties _properties_i _i_searched _searched_in _in_the _the_area _area_but _but_there _there_is _is_room _room_for _for_improvement _improvement_. ','_be_more _more_economical _economical_than _than_other _other_property _property_i _i_search _search_in _in_the _the_area _area_but _but_there _there_be _be_room _room_for _for_improvement _improvement_. ','_VBD_RBR _RBR_JJ _JJ_IN _IN_JJ _JJ_NNS _NNS_PRP _PRP_VBD _VBD_IN _IN_DT _DT_NN _NN_CC _CC_EX _EX_VBZ _VBZ_NN _NN_IN _IN_NN _NN_. ',false
150,'location was close to the event we were attending . ','location be close to the event we be attend . ','_location_was _was_close _close_to _to_the _the_event _event_we _we_were _were_attending _attending_. ','_location_be _be_close _close_to _to_the _the_event _event_we _we_be _be_attend _attend_. ','_NNP_VBD _VBD_JJ _JJ_IN _IN_DT _DT_NN _NN_PRP _PRP_VBD _VBD_VBG _VBG_. ',false
