@relation WLAN-positive

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
732,'JJ','good','Good',1,'ROOT','. ',false
733,'.','.','.',0,'punct','Good ',false
734,'DT','the','The',1,'det','view - although ',false
735,'NN','view','view',1,'ROOT','The - although the ',false
736,':','-','-',0,'prep','The view although the windows ',false
737,'IN','although','although',1,'mark','The view - the windows need ',false
738,'DT','the','the',1,'det','view - although windows need cleaning ',false
739,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
740,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
741,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
742,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
743,'TO','to','to',1,'aux','need cleaning or be changed out ',false
744,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
745,'VBN','change','changed',1,'conj','or to be out , as ',false
746,'RP','out','out',1,'prt','to be changed , as they ',false
747,',',',',',',0,'punct','be changed out as they were ',false
748,'IN','as','as',1,'mark','changed out , they were not ',false
749,'PRP','they','they',1,'nsubj','out , as were not clear ',false
750,'VBD','be','were',1,'cop',', as they not clear . ',false
751,'RB','not','not',1,'neg','as they were clear . ',false
752,'JJ','clear','clear',1,'advcl','they were not . ',false
753,'.','.','.',0,'punct','were not clear ',false
754,'NNP','location','Location',1,'nsubj','is excellent . ',false
755,'VBZ','be','is',1,'cop','Location excellent . ',false
756,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
757,'.','.','.',0,'punct','Location is excellent ',false
758,'NN','water','Water',1,'nn','pressure is also ',false
759,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
760,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
761,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
762,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
763,'.','.','.',0,'punct','is also excellent ',false
764,'NN','bathroom','Bathroom',1,'nn','space is very ',false
765,'NN','space','space',1,'nsubj','Bathroom is very small ',false
766,'VBZ','be','is',1,'cop','Bathroom space very small for ',false
767,'RB','very','very',1,'advmod','Bathroom space is small for potentially ',false
768,'JJ','small','small',1,'ROOT','space is very for potentially 4 ',false
769,'IN','for','for',1,'prep','is very small potentially 4 people ',false
770,'RB','potentially','potentially',1,'quantmod','very small for 4 people . ',false
771,'CD','0','4',0,'num','small for potentially people . ',false
772,'NNS','people','people',1,'pobj','for potentially 4 . ',false
773,'.','.','.',0,'punct','potentially 4 people ',false
774,'NN','security','Security',1,'nsubj','should be a ',false
775,'MD','should','should',1,'aux','Security be a priority ',false
776,'VB','be','be',1,'cop','Security should a priority , ',false
777,'DT','a','a',1,'det','Security should be priority , as ',false
778,'NN','priority','priority',1,'nsubjpass','should be a , as the ',false
779,',',',',',',0,'punct','be a priority as the hotel ',false
780,'IN','as','as',1,'prep','a priority , the hotel below ',false
781,'DT','the','the',1,'det','priority , as hotel below ground ',false
782,'NN','hotel','hotel',1,'pobj',', as the below ground level ',false
783,'IN','below','below',1,'prep','as the hotel ground level is ',false
784,'NN','ground','ground',1,'nn','the hotel below level is connected ',false
785,'NN','level','level',1,'pobj','hotel below ground is connected to ',false
786,'VBZ','be','is',1,'auxpass','below ground level connected to a ',false
