@relation test

@attribute id numeric
@attribute text string
@attribute type string
@attribute aspecttype {true, false}

@data
96,'Good . ',Komfort-negative,false
97,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',Komfort-negative,false
98,'Location is excellent . ',Komfort-negative,false
99,'Water pressure is also excellent . ',Komfort-negative,false
100,'Bathroom space is very small for potentially 4 people . ',Komfort-negative,true
101,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',Komfort-negative,false
102,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',Komfort-negative,false
103,'Saw a few having episodes the next morning . ',Komfort-negative,false
152,'Fine . ',Komfort-negative,false
153,'Gym had no equipment Needs to be upgraded ',Komfort-negative,false
196,'Enjoyed our stay . ',Komfort-negative,false
197,'Comfortable and Foot rest . ',Komfort-negative,false
198,'Next to elevators ',Komfort-negative,false
316,'Was more economical than other properties I searched in the area but there is room for improvement . ',Komfort-negative,false
317,'Location was close to the event we were attending . ',Komfort-negative,false
318,'There is a parking structure attacked to the hotel so you did not need to park outside . ',Komfort-negative,false
319,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',Komfort-negative,false
320,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',Komfort-negative,true
321,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',Komfort-negative,false
322,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',Komfort-negative,true
323,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',Komfort-negative,false
324,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',Komfort-negative,false
436,'Acceptably . ',Komfort-negative,false
437,'Good Location , parking , grocery store in the building . ',Komfort-negative,false
438,'Old hotel and relevant smell , no sockets in the room at all . ',Komfort-negative,false
439,'Had to charge cellular in bathroom . ',Komfort-negative,false
440,'Air condition was terrible . ',Komfort-negative,true
441,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',Komfort-negative,false
442,'It was very cold and uncomfortable . ',Komfort-negative,true
560,'Stay was okay . ',Komfort-negative,false
561,'I will consider staying there again . ',Komfort-negative,false
562,'The location was great , right downtown Montreal . ',Komfort-negative,false
563,'View was amazing and the bed was comfortable enough . ',Komfort-negative,false
564,'The hotel was outdated . ',Komfort-negative,false
565,'Carpet was pretty old and the vent was VERY dusty . ',Komfort-negative,true
566,'You can actually see the caked on dust . ',Komfort-negative,false
567,'It does need updating aesthetically . ',Komfort-negative,false
664,'Good . ',Komfort-negative,false
665,'The housekeeper was very sweet and she did a great job . ',Komfort-negative,false
666,'There were some little things like broken lights , mildew and drippy faucet . ',Komfort-negative,true
