@relation Ausstattung

@attribute id numeric
@attribute sentiment_average numeric
@attribute target_word string
@attribute dependency_related_unigrams string
@attribute dependency_related_bigrams string
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {positive, negative}

@data
9,0.0,'Gym','','',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,negative
17,-0.0,'ceilings','dep_low dep_ ','dep_low_has ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
20,-0.0,'bar','dep_closed ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
21,-0.0,'restaurant','dep_closed ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
22,-0.0,'parking','dep_Location ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
24,0.07142857142857142,'hotel','dep_Old dep_hotel dep_smell dep_ dep_sockets dep_ ','dep_Old_hotel dep_hotel_and dep_smell_ dep__sockets dep_sockets_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
31,0.0,'hotel','dep_outdated ','',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
32,0.0,'Carpet','dep_old ','',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
34,0.0,'updating','dep_need dep_aesthetically ','dep_need_aesthetically ',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
54,0.0,'Pool','dep_area ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
61,0.0,'Pool','dep_area ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
64,0.0,'renovate','dep_Time ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,negative
68,0.15555555555555556,'building','dep_Beautiful dep_older dep_appreciate ','dep_Beautiful_older dep_older_appreciate ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
69,0.15555555555555556,'building','dep_Beautiful dep_older dep_appreciate ','dep_Beautiful_older dep_older_appreciate ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
70,-0.09523809523809523,'hotel','dep_old dep_hotel dep_ dep_fell ','dep_old_hotel dep_hotel_ dep__and ',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,negative
73,-0.0,'diner','dep_bar ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
74,-0.0,'bar','dep_without dep_diner ','dep_without_and ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
84,-0.0,'bar','dep_service dep_except ','dep_service_except ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
96,-0.1111111111111111,'makers','dep_ice dep_drain ','dep_ice_drain dep_drain_on ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,negative
99,-0.16666666666666666,'pool','dep_swimming dep_cold ','dep_swimming_cold ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
119,0.0,'restaurant','dep_closed ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,negative
120,0.0,'Pool','dep_opened ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,negative
127,-0.43333333333333335,'entrance','dep_front dep_beautiful ','dep_front_beautiful ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
133,0.2888888888888889,'restaurant','dep_good ','dep_good_in ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
140,0.0,'updated','dep_needs ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
141,0.0,'reformation','dep_needs ','dep_needs_on ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
143,-0.041666666666666664,'machine','dep_working dep_ice ','dep_working_ice dep_ice_was ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
149,-0.16296296296296298,'hours','dep_pool dep_limited ','dep_pool_limited ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
150,-0.16296296296296298,'hours','dep_pool dep_limited ','dep_pool_limited ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
154,-0.16666666666666666,'elevators','dep_worked ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
155,-0.16666666666666666,'elevators','dep_worked ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
