@relation Ausstattung-negative

@attribute id numeric
@attribute AFINN numeric
@attribute BingLiu numeric
@attribute EmoLex numeric
@attribute unigrams string
@attribute bigrams string
@attribute negation numeric
@attribute feature__average numeric
@attribute feature__normal numeric
@attribute feature__simple numeric
@attribute feature__okay numeric
@attribute feature__ok numeric
@attribute feature__not_great numeric
@attribute feature__nothing_great numeric
@attribute feature__moderate numeric
@attribute feature__typical numeric
@attribute feature__alright numeric
@attribute feature__fair numeric
@attribute feature__mediocre numeric
@attribute feature__just numeric
@attribute feature__fine numeric
@attribute feature__not_too_good numeric
@attribute feature__good_enough numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {true, false}

@data
64,0.0,0.0,0.5,'good  ','_good_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
65,0.05,0.05,0.05,'view  although windows need cleaning changed  clear  ','_view_ __although _windows_need _need_cleaning _clear_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
66,0.75,0.25,0.25,'location excellent  ','_excellent_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
67,0.6666666666666666,0.16666666666666666,0.08333333333333333,'water pressure also excellent  ','_water_pressure _also_excellent _excellent_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
68,0.0,0.0,-0.03333333333333333,'bathroom space small potentially  people  ','_bathroom_space _potentially_ __people _people_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
69,0.02040816326530612,-0.02040816326530612,-0.017006802721088433,'security priority  hotel ground level connected small inside mall  huge bonus   also seems converging space homeless  mental health issues addiction issues  ','_priority_ _ground_level _small_inside _inside_mall _mall_ _huge_bonus _bonus_ _also_seems _converging_space _homeless_ _mental_health _health_issues _addiction_issues _issues_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
70,0.0,0.0,-0.01515151515151515,'makes inpredictable would wanted run one small kids tow  ','_small_kids _tow_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
71,0.0,0.0,0.0,'saw episodes next morning  ','_next_morning _morning_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
144,0.0,0.0,0.0,'fine  ','_fine_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,false
145,0.125,0.125,0.0,'gym equipment needs upgraded ','_equipment_needs ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
184,0.0,0.0,0.25,'enjoyed stay  ','_stay_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
185,0.0,0.0,0.1,'comfortable foot rest  ','_foot_rest _rest_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
186,0.0,0.0,0.0,'next elevators ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
280,0.1111111111111111,0.1111111111111111,0.05555555555555555,'economical properties searched area room improvement  ','_improvement_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
281,0.0,0.0,0.0,'location close event attending  ','_attending_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
282,0.05555555555555555,0.0,-0.027777777777777776,'parking structure attacked hotel need park outside  ','_parking_structure _structure_attacked _park_outside _outside_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
283,0.125,0.0,-0.020833333333333332,'travel pets request mini fridge room medication storage honoured charge  ','_mini_fridge _medication_storage _charge_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
284,0.0,-0.05,-0.05833333333333333,'bathroom dated  tiles cracked shower much grout black  ','_dated_ _black_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
285,0.19047619047619047,-0.09523809523809523,-0.14285714285714285,'carpet stained dirty  socks turn get dirty walking carpet   ','_dirty_ _turn_get _get_dirty _dirty_walking _carpet_ __ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
286,0.04,0.0,0.013333333333333332,'parking garage low ceilings   foot max clearance  larger vehicles fit cost    day  ','_parking_garage _low_ceilings _ceilings_ __ __foot _foot_max _max_clearance _clearance_ _larger_vehicles __ __ __day _day_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
287,0.0,0.0,0.018518518518518517,'  charge cleaning room travel pets told check   ','__ __charge _check_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
288,0.043478260869565216,0.0,0.0,'bar  restaurant closed went drink one evening posted hours operationu ','_bar_ __restaurant _drink_one _one_evening _posted_hours ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
408,0.0,0.0,0.0,'acceptably  ','_acceptably_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
409,0.0,0.0,0.16666666666666666,'good location  parking  grocery store building  ','_good_location _location_ __parking _parking_ __grocery _grocery_store _building_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
410,0.07142857142857142,-0.07142857142857142,0.011904761904761902,'old hotel relevant smell  sockets room  ','_old_hotel _relevant_smell _smell_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
411,0.0,0.0,0.0,'charge cellular bathroom  ','_charge_cellular _bathroom_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
412,0.6,-0.2,-0.2,'air condition terrible  ','_air_condition _terrible_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
