@relation OTHER-negative

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
1342,'JJ','good','Good',1,'ROOT','. ',false
1343,'.','.','.',0,'punct','Good ',false
1344,'DT','the','The',1,'det','view - although ',false
1345,'NN','view','view',1,'ROOT','The - although the ',false
1346,':','-','-',0,'prep','The view although the windows ',false
1347,'IN','although','although',1,'mark','The view - the windows need ',false
1348,'DT','the','the',1,'det','view - although windows need cleaning ',false
1349,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
1350,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
1351,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
1352,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
1353,'TO','to','to',1,'aux','need cleaning or be changed out ',false
1354,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
1355,'VBN','change','changed',1,'conj','or to be out , as ',false
1356,'RP','out','out',1,'prt','to be changed , as they ',false
1357,',',',',',',0,'punct','be changed out as they were ',false
1358,'IN','as','as',1,'mark','changed out , they were not ',false
1359,'PRP','they','they',1,'nsubj','out , as were not clear ',false
1360,'VBD','be','were',1,'cop',', as they not clear . ',false
1361,'RB','not','not',1,'neg','as they were clear . ',false
1362,'JJ','clear','clear',1,'advcl','they were not . ',false
1363,'.','.','.',0,'punct','were not clear ',false
1364,'NNP','location','Location',1,'nsubj','is excellent . ',false
1365,'VBZ','be','is',1,'cop','Location excellent . ',false
1366,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
1367,'.','.','.',0,'punct','Location is excellent ',false
1368,'NN','water','Water',1,'nn','pressure is also ',false
1369,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
1370,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
1371,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
1372,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
1373,'.','.','.',0,'punct','is also excellent ',false
1374,'NN','bathroom','Bathroom',1,'nn','space is very ',false
1375,'NN','space','space',1,'nsubj','Bathroom is very small ',false
1376,'VBZ','be','is',1,'cop','Bathroom space very small for ',false
1377,'RB','very','very',1,'advmod','Bathroom space is small for potentially ',false
1378,'JJ','small','small',1,'ROOT','space is very for potentially 4 ',false
1379,'IN','for','for',1,'prep','is very small potentially 4 people ',false
1380,'RB','potentially','potentially',1,'quantmod','very small for 4 people . ',false
