@relation WLAN

@attribute id numeric
@attribute target string
@attribute unigrams string
@attribute aspecttype {positive, negative}

@data
0,'target_WiFi','good stay with excellent location , however not an excellent value for money . great location , clean room , cozy bed , nice view , good wifi , nice staff . #url# ler room than expect . efrigerator ( mini bar ) in the room . ing water heater ( tea heater ) . ty deposit box in our room be not work . . y window on the outside of the building . ting the roof terrace could be free for the guest of the hotel . #url# bathroom with just a curtain and without the door be not practical , because of the stem go into the room . marble floor be really cold , because there be not any floor heating . glass door on the bath be too small , therefor the water be splash all over the bathroom floor . ',positive
0,'target_internet','great hotel in the center of berlin !! the location of the hotel be #crd# of the good in the city , metro station be very closed and all shopping mall e.g. alexa , kaufhof be just few minute away . the room be not so big but well equip and very good structured where you can find all your need . refrigerator be also there and a lot of snack be also available in the room . the internet connection could be much more good for a #crd# star hotel in the center of the city and I hope the management of the hotel take this comment seriously and improve the connection as it be not only my comment but many traveler have already include it in their review . in addition the room temperature be quite high than usual so therefore I open the window the whole time in order to adjust the temperature . ',negative
0,'target_connection','great hotel in the center of berlin !! the location of the hotel be #crd# of the good in the city , metro station be very closed and all shopping mall e.g. alexa , kaufhof be just few minute away . the room be not so big but well equip and very good structured where you can find all your need . refrigerator be also there and a lot of snack be also available in the room . the internet connection could be much more good for a #crd# star hotel in the center of the city and I hope the management of the hotel take this comment seriously and improve the connection as it be not only my comment but many traveler have already include it in their review . in addition the room temperature be quite high than usual so therefore I open the window the whole time in order to adjust the temperature . ',negative
0,'target_WiFi','very good . amazing location , near everything and next to transport link . have a nice view at the top and comfortable room . wifi be slow and barely work , the shower leak and the door be fall off . ',negative
0,'target_WiFi','very good . amazing location , near everything and next to transport link . have a nice view at the top and comfortable room . wifi be slow and barely work , the shower leak and the door be fall off . ',negative
0,'target_WiFi','very good . the location be great , near everything . the train station be 0 min walk . very poor wifi ',negative
0,'target_WiFi','good . location although this area be a bit of a tourist trap room be good plenty hot water free wifi bed comfortable . slow check in with long line no breakfast include they overcharge my bill which I have to e mail a few time to refund annoy ',positive
0,'target_WiFi','it be okay . good location good wifi nice staff . the bathroom have no door , a little bit akward . ',positive
0,'target_internet','very good . the location be nice , the view from hotel be nice , elevator be really fast . staff be friendly room have modern nice design , too . I have a double room . the bed be #crd# seperate bed put next to each other , which be on the wheel and move away from each other . I have panorama double room which be on the corner , and the internet connection be really bad . ',negative
0,'target_WIFI','hotel with the good view in berlin . location and room view be #crd# of the good preference of this hotel . the hotel kindly respond to our request and provided a room on the upper floor . finally we have amazing view from our room to berlin tele-tower , alexanderplatz and beliner dom . we even not use any restaurant or cafe on breakfast or dinner - we just buy some food and drink in kaufland supermarket behind and enjoy our food and drink with excellent view ! that be 0 % that we expect from this hotel ) ) ) the bed and pillow be very comfortable and we sleep very well ) . wifi be terrible - such low speed be not applicable in 0 st century :) room be not too big for this money ( about 0 euro / night without breakfast ) ',negative
0,'target_speed','hotel with the good view in berlin . location and room view be #crd# of the good preference of this hotel . the hotel kindly respond to our request and provided a room on the upper floor . finally we have amazing view from our room to berlin tele-tower , alexanderplatz and beliner dom . we even not use any restaurant or cafe on breakfast or dinner - we just buy some food and drink in kaufland supermarket behind and enjoy our food and drink with excellent view ! that be 0 % that we expect from this hotel ) ) ) the bed and pillow be very comfortable and we sleep very well ) . wifi be terrible - such low speed be not applicable in 0 st century :) room be not too big for this money ( about 0 euro / night without breakfast ) ',negative
0,'target_speed','hotel with the good view in berlin . location and room view be #crd# of the good preference of this hotel . the hotel kindly respond to our request and provided a room on the upper floor . finally we have amazing view from our room to berlin tele-tower , alexanderplatz and beliner dom . we even not use any restaurant or cafe on breakfast or dinner - we just buy some food and drink in kaufland supermarket behind and enjoy our food and drink with excellent view ! that be 0 % that we expect from this hotel ) ) ) the bed and pillow be very comfortable and we sleep very well ) . wifi be terrible - such low speed be not applicable in 0 st century :) room be not too big for this money ( about 0 euro / night without breakfast ) ',negative
0,'target_internet','value for money , great location and view from the room . however - uncomfortable bed and pillow . excellent location and view from the room on #ord# floor , there be no need for us to visit roof top . the lady at the reception be very nice and when she see us as a young couple , she promise to give us a good room . pillow - extremely uncomfortable !! those be small and flat , after the #ord# night we have a strong back and neck pain . I would suggest change those with normal and comfortable pillow - just normal #crd# , value for guest comfort . very bad internet connect - I believe it come from the tv tower and it be no hotel s fault . curtain and not wall to separate the room from the bath - it be all #crd# common space . ',negative
0,'target_internet','great loction but unfortunately slow internet . very comfy bed , a very nive view of the tv - tower and alexanderplatz ! . lift work well and be fast . breakfast be quite nice , as be the reception staff . great location , right on the platz and close to the subway . excellent for explore the sight . wi - fi be very bad , and although I do complain they just say there be nothing to do about it . very bad for a 0 - star hotel , especially since I be there for business and have a presentation to finish off in the evening . I be not ofered any solution to this when I ask . also , the shower room leak water into the main room , and the room be quite cold on a november evening . I try turn on the heating but it do not seem to work properly . another thing , for a 0* you would expect more than #crd# english - language tv - channel . unfortunately I could only watch cnn for 0 evening , as all the other be in german / french / arabic / spanish etc and obviously my pc could not be use for watch anything , due to very slow internet . ',negative
0,'target_Wi-fi','great loction but unfortunately slow internet . very comfy bed , a very nive view of the tv - tower and alexanderplatz ! . lift work well and be fast . breakfast be quite nice , as be the reception staff . great location , right on the platz and close to the subway . excellent for explore the sight . wi - fi be very bad , and although I do complain they just say there be nothing to do about it . very bad for a 0 - star hotel , especially since I be there for business and have a presentation to finish off in the evening . I be not ofered any solution to this when I ask . also , the shower room leak water into the main room , and the room be quite cold on a november evening . I try turn on the heating but it do not seem to work properly . another thing , for a 0* you would expect more than #crd# english - language tv - channel . unfortunately I could only watch cnn for 0 evening , as all the other be in german / french / arabic / spanish etc and obviously my pc could not be use for watch anything , due to very slow internet . ',negative
