@relation OTHER

@attribute id numeric
@attribute sentiment_average numeric
@attribute target_word string
@attribute dependency_related_unigrams string
@attribute dependency_related_bigrams string
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {positive, negative}

@data
7,-0.0,'homeless','dep_ ','dep__have ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
8,-0.0,'homeless','dep_ ','dep__have ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
10,0.0,'stay','dep_Enjoyed ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
18,-0.03333333333333333,'vehicles','dep_larger dep_fit ','dep_larger_fit ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
39,0.0,'TLC','','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
40,0.10666666666666667,'experience','dep_Otherwise dep_nice dep_experience dep_ ','dep_Otherwise_a dep_nice_experience dep_experience_ ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
49,0.047619047619047616,'stay','dep_location dep_Would dep_stay dep_right dep_ ','dep_location_Would dep_Would_stay dep_stay_there dep_right_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
56,0.047619047619047616,'stay','dep_location dep_Would dep_stay dep_right dep_ ','dep_location_Would dep_Would_stay dep_stay_there dep_right_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
75,-0.8666666666666667,'Breakfast','dep_good ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
123,0.1111111111111111,'buffet','dep_Great dep_buffet dep_ ','dep_Great_buffet dep_buffet_ ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,positive
142,-0.0,'stay','dep_Probably dep_would dep_stay dep_ ','dep_Probably_would dep_would_not dep_stay_there ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
144,0.0,'recommend','dep_would dep_go ','dep_would_go dep_go_to ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
164,0.0,'design','dep_old ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
178,0.15833333333333333,'recommend','dep_hotel dep_would dep_recommend dep_ ','dep_hotel_would dep_would_recommend dep_recommend_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,positive
188,0.0,'Breakfast','dep_needs ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
195,-0.0,'check','dep_ ','',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,positive
196,-0.43333333333333335,'stay','dep_pleasant ','',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,positive
199,0.16666666666666666,'practice','dep_offensive dep_ dep_ ','dep_offensive_ dep__ dep__of ',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,negative
200,0.16666666666666666,'practice','dep_offensive dep_ dep_ ','dep_offensive_ dep__ dep__of ',0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,negative
226,-0.8666666666666667,'Stay','dep_good ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
235,0.6666666666666666,'people','dep_disrespectful ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
253,0.0,'come','dep_come dep_ ','dep_come_again ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,positive
264,0.0,'lines','dep_Big dep_lines dep_ ','dep_Big_lines dep_lines_at ',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
269,-0.17777777777777778,'feel','dep_us dep_make dep_stupid ','dep_us_make dep_make_stupid ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,negative
289,-0.06666666666666667,'Parking','dep_validated ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
298,-0.06666666666666667,'Parking','dep_validated ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
299,-0.0,'experience','dep_Blah dep_hotel dep_experience dep_ ','dep_Blah_hotel dep_hotel_experience dep_experience_ ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,negative
335,-0.0,'website','dep_updated ','',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,negative
363,-0.0,'return','dep_Would dep_return dep_ ','dep_Would_return dep_return_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,positive
377,-0.0,'stay','dep_would dep_stay dep_needs dep_ ','dep_would_stay dep_stay_there dep_needs_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
387,0.21666666666666667,'time','dep_good dep_time dep_ ','dep_good_time dep_time_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,positive
391,0.02222222222222222,'gave','dep_coffee dep_finally dep_Asked ','dep_coffee_finally dep_finally_Asked dep_Asked_up ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,negative
392,0.0,'stay','dep_would dep_location ','dep_would_location dep_location_again ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,positive
393,0.21666666666666667,'time','dep_good dep_time dep_ ','dep_good_time dep_time_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,positive
