@relation Komfort

@attribute id numeric
@attribute target string
@attribute unigrams string
@attribute aspecttype {positive, negative}

@data
0,'target_pressure','good . the view - although the window need clean or to be change out , as they be not clear . location be excellent . water pressure be also excellent . bathroom space be very small for potentially 0 people . security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . make them very in-predictable and I would not have want to run into #crd# of them with small kid in tow . see a few have episode the next morning . ',positive
0,'target_Bathroom','good . the view - although the window need clean or to be change out , as they be not clear . location be excellent . water pressure be also excellent . bathroom space be very small for potentially 0 people . security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . make them very in-predictable and I would not have want to run into #crd# of them with small kid in tow . see a few have episode the next morning . ',negative
0,'target_request','be more economical than other property I search in the area but there be room for improvement . location be close to the event we be attend . there be a parking structure attack to the hotel so you do not need to park outside . you can travel with pet and our request for a mini fridge in the room for medication storage be honour at no charge . the bathroom be date , some tile be crack in the shower and much of the grout be black . the carpet be stain but be not dirty ( my sock do not turn get dirty walking on carpet ) . parking garage have low ceiling ( 0 foot max clearance ) so large vehicle will not fit and cost be $ 0 / day . there be a $ 0 charge for clean the room if you travel with pet that we be not tell about until after check - in . the bar / restaurant be close when we go to have a drink #crd# evening and there be no post hour of operation.u ',positive
0,'target_bathroom','be more economical than other property I search in the area but there be room for improvement . location be close to the event we be attend . there be a parking structure attack to the hotel so you do not need to park outside . you can travel with pet and our request for a mini fridge in the room for medication storage be honour at no charge . the bathroom be date , some tile be crack in the shower and much of the grout be black . the carpet be stain but be not dirty ( my sock do not turn get dirty walking on carpet ) . parking garage have low ceiling ( 0 foot max clearance ) so large vehicle will not fit and cost be $ 0 / day . there be a $ 0 charge for clean the room if you travel with pet that we be not tell about until after check - in . the bar / restaurant be close when we go to have a drink #crd# evening and there be no post hour of operation.u ',negative
0,'target_tiles','be more economical than other property I search in the area but there be room for improvement . location be close to the event we be attend . there be a parking structure attack to the hotel so you do not need to park outside . you can travel with pet and our request for a mini fridge in the room for medication storage be honour at no charge . the bathroom be date , some tile be crack in the shower and much of the grout be black . the carpet be stain but be not dirty ( my sock do not turn get dirty walking on carpet ) . parking garage have low ceiling ( 0 foot max clearance ) so large vehicle will not fit and cost be $ 0 / day . there be a $ 0 charge for clean the room if you travel with pet that we be not tell about until after check - in . the bar / restaurant be close when we go to have a drink #crd# evening and there be no post hour of operation.u ',negative
0,'target_sockets','acceptably . good location , parking , grocery store in the building . old hotel and relevant smell , no socket in the room at all . have to charge cellular in bathroom . air condition be terrible . have to ask staff to switch it off in the evening , but at night it start blow cool air very noisy . it be very cold and uncomfortable . ',negative
0,'target_Air','acceptably . good location , parking , grocery store in the building . old hotel and relevant smell , no socket in the room at all . have to charge cellular in bathroom . air condition be terrible . have to ask staff to switch it off in the evening , but at night it start blow cool air very noisy . it be very cold and uncomfortable . ',negative
0,'target_bed','stay be okay . I will consider stay there again . the location be great , right downtown montreal . view be amazing and the bed be comfortable enough . the hotel be outdated . carpet be pretty old and the vent be very dusty . you can actually see the caked on dust . it do need update aesthetically . ',positive
0,'target_lights','good . the housekeeper be very sweet and she do a great job . there be some little thing like break light , mildew and drippy faucet . the hotel need a bit of tlc . otherwise a nice experience . the housekeeping staff be very friendly and they do a great job ',negative
0,'target_TV','meh . it s in a good location and it s clean . it s very date . the tv do not work . the staff at reception be not warm . I only stay here if I absolutely have to . we be strand with the storm so we book it last minute . ',negative
