@relation Ausstattung-negative

@attribute id numeric
@attribute text string
@attribute aspecttype {true, false}

@data
64,'Good . ',false
65,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',false
66,'Location is excellent . ',false
67,'Water pressure is also excellent . ',false
68,'Bathroom space is very small for potentially 4 people . ',false
69,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
70,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',false
71,'Saw a few having episodes the next morning . ',false
144,'Fine . ',false
145,'Gym had no equipment Needs to be upgraded ',true
184,'Enjoyed our stay . ',false
185,'Comfortable and Foot rest . ',false
186,'Next to elevators ',false
280,'Was more economical than other properties I searched in the area but there is room for improvement . ',false
281,'Location was close to the event we were attending . ',false
282,'There is a parking structure attacked to the hotel so you did not need to park outside . ',false
283,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
284,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
285,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
286,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
287,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
288,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',true
408,'Acceptably . ',false
409,'Good Location , parking , grocery store in the building . ',false
410,'Old hotel and relevant smell , no sockets in the room at all . ',true
411,'Had to charge cellular in bathroom . ',false
412,'Air condition was terrible . ',false
413,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
414,'It was very cold and uncomfortable . ',false
528,'Stay was okay . ',false
529,'I will consider staying there again . ',false
530,'The location was great , right downtown Montreal . ',false
531,'View was amazing and the bed was comfortable enough . ',false
532,'The hotel was outdated . ',true
533,'Carpet was pretty old and the vent was VERY dusty . ',false
534,'You can actually see the caked on dust . ',false
535,'It does need updating aesthetically . ',false
640,'Good . ',false
641,'The housekeeper was very sweet and she did a great job . ',false
642,'There were some little things like broken lights , mildew and drippy faucet . ',false
643,'The hotel needs a bit of TLC . ',false
644,'Otherwise a nice experience . ',false
645,'The housekeeping staff were very friendly and they did a great job ',false
