@relation Lage

@attribute id numeric
@attribute lemma string
@attribute dependencies string
@attribute lexicons_min numeric
@attribute lexicons_max numeric
@attribute lexicons_extremes_difference numeric
@attribute contains_negation numeric
@attribute sentence_length numeric
@attribute aspecttype {true, false}

@data
16,'good . ','root punct ',0.0,1.0,1.0,0,7,false
17,'the view - although the windows need cleaning or to be changed out , as they were not clear . ','det root prep mark det nsubj advcl xcomp cc aux auxpass conj prt punct mark nsubj cop neg advcl punct ',0.0,1.0,1.0,1,94,false
18,'location is excellent . ','nsubj cop root punct ',0.0,1.0,1.0,1,24,true
19,'water pressure is also excellent . ','nn nsubj cop advmod root punct ',-0.2,1.0,1.2,1,35,false
20,'bathroom space is very small for potentially 4 people . ','nn nsubj cop advmod root prep quantmod num pobj punct ',0.0,0.0,0.0,1,56,false
21,'security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ','nsubj aux cop det nsubjpass punct prep det pobj prep nn pobj auxpass root prep det amod amod pobj punct nsubj cop det amod rcmod punct cc punct nsubj advmod conj aux cop det amod xcomp prep det pobj punct nsubj rcmod amod nn dobj cc nn conj punct ',0.0,1.0,1.0,1,243,true
22,'makes them very in-predictable and i would not have wanted to run into one of them with small kids in tow . ','root nsubj advmod xcomp cc nsubjpass aux neg aux conj aux xcomp prep pobj prep pobj prep amod pobj prep pobj punct ',0.0,0.2,0.2,1,108,false
23,'saw a few having episodes the next morning . ','root det amod amod nsubj det amod ccomp punct ',0.0,0.0,0.0,0,45,false
68,'fine . ','root punct ',0.0,0.4,0.4,0,7,false
69,'gym had no equipment needs to be upgraded ','nsubj root det nn nsubjpass aux auxpass ccomp ',0.0,0.0,0.0,1,42,false
86,'enjoyed our stay . ','root poss dobj punct ',0.0,1.0,1.0,0,19,false
87,'comfortable and foot rest . ','amod cc conj root punct ',0.0,0.5,0.5,0,28,false
88,'next to elevators ','dep root pobj ',0.0,0.0,0.0,0,18,false
122,'was more economical than other properties i searched in the area but there is room for improvement . ','cop advmod root prep amod pobj nsubj rcmod prep det pobj cc expl conj nsubj prep pobj punct ',0.0,1.0,1.0,1,101,false
123,'location was close to the event we were attending . ','nsubj cop root prep det pobj nsubj aux rcmod punct ',0.0,0.0,0.0,1,52,true
