@relation Preis-Leistungs-Verhltnis

@attribute id numeric
@attribute pos_examples numeric
@attribute neg_examples numeric
@attribute score numeric

@data
5,0,0,10.0
13,0,0,10.0
21,0,0,10.0
29,0,0,10.0
37,0,0,10.0
45,0,0,10.0
53,0,0,10.0
61,0,0,10.0
69,0,0,10.0
77,0,0,10.0
85,0,0,10.0
93,0,0,10.0
101,0,0,10.0
109,0,0,10.0
117,0,0,10.0
125,0,0,10.0
133,0,0,10.0
141,0,0,10.0
149,0,0,10.0
157,0,0,10.0
165,0,0,10.0
173,0,0,10.0
181,0,0,10.0
189,0,0,10.0
197,0,0,10.0
205,1,0,10.0
213,1,0,10.0
221,0,0,10.0
229,0,0,10.0
237,0,0,10.0
245,0,0,10.0
253,1,0,10.0
261,0,0,10.0
269,0,0,10.0
277,0,0,10.0
285,0,0,10.0
293,0,0,10.0
301,0,0,10.0
309,0,0,10.0
317,0,0,10.0
325,0,0,10.0
333,0,0,10.0
341,0,0,10.0
349,0,0,10.0
357,0,1,10.0
365,0,0,10.0
373,0,0,10.0
381,0,0,10.0
389,0,0,10.0
397,0,0,10.0
405,0,0,10.0
413,0,0,10.0
421,0,0,10.0
429,0,0,10.0
437,0,0,10.0
445,0,0,10.0
453,0,0,10.0
461,0,0,10.0
469,0,0,10.0
477,0,0,10.0
485,0,0,10.0
493,0,0,10.0
501,0,0,10.0
509,0,0,10.0
517,0,0,10.0
525,0,0,10.0
533,0,0,10.0
541,2,0,10.0
549,0,0,10.0
557,0,1,10.0
565,0,0,10.0
573,2,0,10.0
581,0,0,10.0
589,0,0,10.0
597,0,0,10.0
605,0,0,10.0
613,0,0,10.0
621,0,0,10.0
629,0,0,10.0
637,0,0,10.0
645,0,0,10.0
653,0,0,10.0
661,0,0,10.0
669,0,0,10.0
677,0,0,10.0
685,0,0,10.0
693,0,0,10.0
701,1,0,10.0
709,0,0,10.0
717,0,0,10.0
725,0,0,10.0
733,1,0,10.0
741,0,0,10.0
749,0,0,10.0
757,0,0,10.0
765,0,1,10.0
773,0,0,10.0
781,0,0,10.0
789,0,0,10.0
797,0,0,10.0
805,0,0,10.0
813,0,0,10.0
821,0,0,10.0
829,0,0,10.0
837,0,0,10.0
845,0,0,10.0
853,0,0,10.0
861,0,0,10.0
869,0,2,10.0
877,0,0,10.0
885,0,0,10.0
893,0,0,10.0
901,1,1,10.0
909,0,2,10.0
917,0,0,10.0
925,0,0,10.0
933,0,0,10.0
941,0,2,10.0
949,0,0,10.0
957,0,0,10.0
965,0,0,10.0
973,0,0,10.0
981,0,0,10.0
989,0,0,10.0
997,0,0,10.0
1005,0,0,10.0
1013,0,0,10.0
1021,1,0,10.0
1029,0,0,10.0
1037,0,1,10.0
1045,0,0,10.0
1053,0,0,10.0
1061,0,0,10.0
1069,0,0,10.0
1077,0,0,10.0
1085,0,0,10.0
1093,0,0,10.0
1101,0,0,10.0
1109,0,0,10.0
1117,0,1,10.0
1125,0,0,10.0
1133,0,0,10.0
1141,0,0,10.0
1149,0,0,10.0
1157,0,1,10.0
1165,0,0,10.0
1173,0,0,10.0
1181,0,0,10.0
1189,0,0,10.0
1197,0,0,10.0
1205,0,0,10.0
1213,0,0,10.0
1221,0,0,10.0
1229,0,0,10.0
1237,0,0,10.0
1245,0,0,10.0
1253,0,0,10.0
1261,0,0,10.0
1269,0,0,10.0
1277,0,1,10.0
1285,0,0,10.0
1293,0,2,10.0
1301,0,0,10.0
1309,0,0,10.0
1317,0,0,10.0
1325,0,0,10.0
1333,0,1,10.0
1341,0,0,10.0
1349,1,0,10.0
1357,2,0,10.0
1365,0,0,10.0
1373,0,0,10.0
1381,0,0,10.0
1389,0,0,10.0
1397,0,0,10.0
1405,0,0,10.0
1413,0,0,10.0
1421,0,0,10.0
1429,0,0,10.0
1437,0,0,10.0
1445,0,1,10.0
1453,1,0,10.0
1461,0,0,10.0
1469,2,0,10.0
1477,0,2,10.0
1485,0,0,10.0
1493,0,0,10.0
1501,0,2,10.0
1509,0,0,10.0
1517,0,1,10.0
1525,0,0,10.0
1533,0,0,10.0
1541,0,0,10.0
1549,0,0,10.0
1557,0,0,10.0
1565,0,0,10.0
1573,2,0,10.0
1581,0,0,10.0
1589,0,0,10.0
1597,0,0,10.0
1605,0,0,10.0
1613,0,1,10.0
1621,0,0,10.0
1629,0,0,10.0
1637,0,0,10.0
1645,0,0,10.0
1653,0,0,10.0
1661,0,0,10.0
1669,0,0,10.0
1677,0,0,10.0
1685,0,0,10.0
1693,0,0,10.0
1701,0,0,10.0
1709,0,0,10.0
1717,0,0,10.0
1725,1,1,10.0
1733,1,1,10.0
1741,0,0,10.0
1749,0,0,10.0
1757,0,0,10.0
1765,0,0,10.0
1773,0,0,10.0
1781,0,0,10.0
1789,1,2,10.0
1797,0,0,10.0
1805,0,0,10.0
1813,0,0,10.0
1821,0,0,10.0
1829,0,0,10.0
1837,0,0,10.0
1845,0,0,10.0
1853,0,0,10.0
1861,0,0,10.0
1869,0,0,10.0
1877,0,0,10.0
1885,0,0,10.0
1893,0,0,10.0
1901,0,0,10.0
1909,0,0,10.0
1917,0,0,10.0
1925,1,0,10.0
