@relation restaurant#miscellaneous

@attribute id numeric
@attribute words string
@attribute lemmas string
@attribute pos string
@attribute bigrams string
@attribute feature_appearance_of_type1 numeric
@attribute feature_appearance_of_type2 numeric
@attribute feature_appearance_of_type3 numeric
@attribute feature_appearance_of_type4 numeric
@attribute feature_appearance_of_type5 numeric
@attribute feature_appearance_of_type6 numeric
@attribute feature_appearance_of_type7 numeric
@attribute feature_appearance_of_type8 numeric
@attribute feature_appearance_of_type9 numeric
@attribute feature_appearance_of_type10 numeric
@attribute feature_appearance_of_type11 numeric
@attribute feature_appearance_of_type12 numeric
@attribute aspecttype {true, false}

@data
2,'Judging previous posts used be good place, longer. ','judge previous post use be good ','VBG JJ NNS VBD VB JJ   ','Judging_previous previous_posts posts_used used_be be_good good_place, place,_longer. ',4,2,2,1,4,1,0,0,1,3,3,0,false
14,'We, were us, arrived noon place was empty staff acted were imposing were rude. ','be arrive noon place be empty staff act be impose be ',' VBD  VBD NN NN VBD JJ NN VBD VBD VBG VBD  ','We,_were were_us, us,_arrived arrived_noon noon_place place_was was_empty empty_staff staff_acted acted_were were_imposing imposing_were were_rude. ',3,2,3,1,5,1,1,1,1,4,5,1,false
26,'brought complimentary noodles, ignored repeated requests sugar, threw dishes table. ','bring complimentary ignore repeat request throw dish ','VBD JJ  VBN VBN NNS  VBD NNS  ','brought_complimentary complimentary_noodles, noodles,_ignored ignored_repeated repeated_requests requests_sugar, sugar,_threw threw_dishes dishes_table. ',2,1,1,1,6,1,1,1,1,1,5,1,false
38,'food was lousy sweet salty portions tiny. ','food be lousy sweet salty portion ','NN VBD JJ JJ JJ NNS  ','food_was was_lousy lousy_sweet sweet_salty salty_portions portions_tiny. ',2,2,1,2,3,3,1,1,1,2,2,1,false
50,'that, complained small tip. ','complain small ',' VBD JJ  ','that,_complained complained_small small_tip. ',1,1,1,1,3,2,1,1,1,2,2,1,false
62,'Avoid place! ','avoid ','VB  ','Avoid_place! ',2,1,2,0,2,0,0,0,0,2,2,0,false
74,'have eaten Saul, many times, food is consistently, good. ','have eat many food be ','VBP VBN  JJ  NN VBZ   ','have_eaten eaten_Saul, Saul,_many many_times, times,_food food_is is_consistently, consistently,_good. ',7,3,2,3,8,3,1,1,2,3,6,1,false
86,'Saul is best restaurant Smith Street Brooklyn. ','saul be good restaurant smith street ','NNP VBZ JJS NN NNP NNP  ','Saul_is is_best best_restaurant restaurant_Smith Smith_Street Street_Brooklyn. ',3,2,2,1,3,1,1,1,1,2,3,1,false
98,'duck confit is amazing foie gras terrine figs was world. ','duck confit be amazing foie gras terrine fig be ','NN NN VBZ JJ NN NNS VBP NNS VBD  ','duck_confit confit_is is_amazing amazing_foie foie_gras gras_terrine terrine_figs figs_was was_world. ',4,1,2,1,5,1,1,1,1,2,3,1,false
110,'wine list is interesting has many good values. ','wine list be interesting have many good ','NN NN VBZ JJ VBZ JJ JJ  ','wine_list list_is is_interesting interesting_has has_many many_good good_values. ',2,2,1,2,2,2,2,2,4,2,4,1,false
122,'price, cannot eat Manhattan. ','eat ','  VB  ','price,_cannot cannot_eat eat_Manhattan. ',2,2,2,2,4,1,1,1,1,2,3,1,false
134,'was disappointed restaurant. ','be disappointed ','VBD JJ  ','was_disappointed disappointed_restaurant. ',2,1,2,0,2,0,0,0,0,2,2,0,false
146,'Ive asked cart attendant lotus leaf wrapped rice replied rice walked away. ','ive ask cart attendant lotus leaf wrap rice reply rice walk ','NNP VBD NN NN JJ NN VBD NN VBD NN VBD  ','Ive_asked asked_cart cart_attendant attendant_lotus lotus_leaf leaf_wrapped wrapped_rice rice_replied replied_rice rice_walked walked_away. ',2,0,0,0,2,0,0,0,0,1,1,0,false
158,'had ask times came dish Ive requested. ','have ask time come dish ive ','VBD VB NNS VBD NN NNP  ','had_ask ask_times times_came came_dish dish_Ive Ive_requested. ',4,1,2,1,3,1,1,1,1,2,3,1,false
170,'Food was okay, nothing great. ','food be nothing ','NN VBD  NN  ','Food_was was_okay, okay,_nothing nothing_great. ',3,2,1,2,6,2,1,1,1,2,4,1,false
182,'Chow fun was dry; pork shu mai was had share table loud rude family. ','chow fun be pork shu mai be have share table loud rude ','NNP NN VBD  NN NN NNP VBD VBD VB NN JJ JJ  ','Chow_fun fun_was was_dry; dry;_pork pork_shu shu_mai mai_was was_had had_share share_table table_loud loud_rude rude_family. ',1,0,0,0,1,0,0,0,0,0,1,0,true
194,'I/we go place again. ','go place ',' VB NN  ','I/we_go go_place place_again. ',6,1,2,0,4,0,0,0,0,3,3,0,false
206,'Went day oyster binge, Fish bringing closing, am glad was place O trip ended, was great! ','go day oyster fish bring be glad be place o trip be ','VBD NN NN  NN VBG  VBP JJ VBD NN NNP NN  VBD  ','Went_day day_oyster oyster_binge, binge,_Fish Fish_bringing bringing_closing, closing,_am am_glad glad_was was_place place_O O_trip trip_ended, ended,_was was_great! ',5,3,4,2,6,2,2,2,2,4,5,2,false
218,'Service was devine, oysters sensual come, price cant be beat!!! ','service be oyster sensual price be ','NN VBD  NNS NN  NN  VB  ','Service_was was_devine, devine,_oysters oysters_sensual sensual_come, come,_price price_cant cant_be be_beat!!! ',3,3,1,2,4,2,1,1,1,2,5,1,false
230,'cant go wrong here. ','go wrong ',' VB JJ  ','cant_go go_wrong wrong_here. ',1,0,0,0,0,0,0,0,0,0,0,0,false
242,'time New York make point visit Restaurant Saul Smith Street. ','time new york make point visit restaurant saul smith ','NN NNP NNP VBP NN VB NNP NNP NNP  ','time_New New_York York_make make_point point_visit visit_Restaurant Restaurant_Saul Saul_Smith Smith_Street. ',4,1,2,0,5,0,0,0,0,2,3,0,false
254,'Everything is cooked perfection, service is excellent, decor cool understated. ','everything be cook service be decor cool ','NN VBZ VBN  NN VBZ  NN JJ  ','Everything_is is_cooked cooked_perfection, perfection,_service service_is is_excellent, excellent,_decor decor_cool cool_understated. ',3,2,1,1,10,2,1,1,1,4,7,1,false
266,'had duck breast special last visit was incredible. ','have duck breast special last visit be ','VBD NN NN JJ JJ NN VBD  ','had_duck duck_breast breast_special special_last last_visit visit_was was_incredible. ',2,1,2,1,3,1,1,1,1,1,1,1,false
278,'Cant wait wait next visit. ','wait wait next ',' VB VB JJ  ','Cant_wait wait_wait wait_next next_visit. ',4,0,0,0,1,0,0,0,0,0,1,0,false
290,'spicy tuna roll was good rock shrimp tempura was awesome, great appetizer share! ','spicy tuna roll be good rock shrimp tempura be great appetizer ','JJ NN NN VBD JJ NN NN NN VBD  JJ NN  ','spicy_tuna tuna_roll roll_was was_good good_rock rock_shrimp shrimp_tempura tempura_was was_awesome, awesome,_great great_appetizer appetizer_share! ',4,3,2,3,8,3,2,2,3,3,4,2,false
302,'went Friday had died bit service was great! ','go friday have die bit service be ','VBD NNP VBD VBN NN NN VBD  ','went_Friday Friday_had had_died died_bit bit_service service_was was_great! ',3,3,2,2,5,3,2,2,2,3,5,2,false
314,'love pink pony. ','love pink ','VBP JJ  ','love_pink pink_pony. ',2,0,0,0,0,0,0,0,0,0,0,0,false
326,'perfect spot. ','perfect ','JJ  ','perfect_spot. ',1,1,1,1,2,1,1,1,1,1,1,1,false
338,'Food-awesome. ','',' ','',1,1,0,1,2,1,0,0,0,1,1,0,false
350,'Service- friendly attentive. ','service- friendly ','VB JJ  ','Service-_friendly friendly_attentive. ',0,1,0,0,1,1,0,0,0,1,5,0,false
362,'Ambiance- relaxed stylish. ','relaxed ',' JJ  ','Ambiance-_relaxed relaxed_stylish. ',0,0,0,0,0,0,0,0,0,0,0,0,false
374,'Dont judge place prima facie, have try believe it, home home literate heart. ','judge place prima have try believe home home literate ',' VB NN NN  VBP VB VB  NN NN JJ  ','Dont_judge judge_place place_prima prima_facie, facie,_have have_try try_believe believe_it, it,_home home_home home_literate literate_heart. ',6,2,3,1,6,1,1,1,1,4,4,1,false
386,'food is decent. ','food be ','NN VBZ  ','food_is is_decent. ',2,2,1,2,3,2,1,1,1,2,2,1,false
398,'however, its service leaves bad taste mouth. ','service leave bad taste ','  NN VBZ JJ NN  ','however,_its its_service service_leaves leaves_bad bad_taste taste_mouth. ',2,2,1,1,7,2,1,1,1,4,5,1,false
410,'happen have policy goes little bit self-respect, includes letting waiter intimidate me, make feel bad asking trivialities water, check. ','happen have policy go little bit include let waiter intimidate make feel bad ask triviality ','VBP VB NN VBZ JJ NN  VBZ VBG NN VB  VB VB JJ VBG NNS   ','happen_have have_policy policy_goes goes_little little_bit bit_self-respect, self-respect,_includes includes_letting letting_waiter waiter_intimidate intimidate_me, me,_make make_feel feel_bad bad_asking asking_trivialities trivialities_water, water,_check. ',5,1,2,1,7,1,1,1,1,5,8,1,false
422,'know, were busy showing vintage tee shirt looking bored, agenda is im eat enjoy company friends, seeking pleasant experience. ','be busy show vintage tee shirt look agenda be eat enjoy company seek pleasant ',' VBD JJ VBG JJ NN NN VBG  NN VBZ  VB VB NN  VBG JJ  ','know,_were were_busy busy_showing showing_vintage vintage_tee tee_shirt shirt_looking looking_bored, bored,_agenda agenda_is is_im im_eat eat_enjoy enjoy_company company_friends, friends,_seeking seeking_pleasant pleasant_experience. ',6,1,1,1,3,1,1,1,1,1,1,1,false
434,'well, didnt find there, trust, have told everyone think experience. ','find have tell everyone think ','  VB   VBP VBN NN VB  ','well,_didnt didnt_find find_there, there,_trust, trust,_have have_told told_everyone everyone_think think_experience. ',5,1,1,1,4,1,1,1,1,1,3,1,false
446,'last time walked looked empty. hmmm. ','last time walk look ','JJ NN VBD VBD   ','last_time time_walked walked_looked looked_empty. empty._hmmm. ',2,1,2,1,4,1,1,1,1,1,2,1,true
458,'the last time i walked by it looked pretty empty. hmmm. ','','           ','the_last last_time time_i i_walked walked_by by_it it_looked looked_pretty pretty_empty. empty._hmmm. ',0,0,0,0,0,0,0,0,0,0,0,0,true
470,'place has got be best japanese restaurant new york area. ','place have get be good japanese restaurant new york ','NN VBZ VBN VB JJS JJ NN JJ NN  ','place_has has_got got_be be_best best_japanese japanese_restaurant restaurant_new new_york york_area. ',5,3,4,1,8,1,1,1,1,4,5,1,false
482,'had great experience. ','have great ','VBD JJ  ','had_great great_experience. ',4,1,1,1,2,1,1,1,1,1,2,1,false
494,'Food is great. ','food be ','NN VBZ  ','Food_is is_great. ',3,2,1,2,5,2,1,1,1,2,3,1,false
506,'Service is top notch. ','service be top ','NN VBZ JJ  ','Service_is is_top top_notch. ',0,1,0,0,2,1,0,0,0,1,3,0,false
518,'have been going again. ','have be go ','VBP VBN VBG  ','have_been been_going going_again. ',3,0,0,0,1,0,0,0,0,1,0,0,false
