@relation Ausstattung

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
0,'good . ',false
1,'the view - although the windows need cleaning or to be changed out , as they were not clear . ',false
2,'location is excellent . ',false
3,'water pressure is also excellent . ',false
4,'bathroom space is very small for potentially 4 people . ',false
5,'security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
6,'makes them very in-predictable and i would not have wanted to run into one of them with small kids in tow . ',false
7,'saw a few having episodes the next morning . ',false
64,'fine . ',false
65,'gym had no equipment needs to be upgraded ',true
80,'enjoyed our stay . ',false
81,'comfortable and foot rest . ',false
82,'next to elevators ',false
104,'was more economical than other properties i searched in the area but there is room for improvement . ',false
105,'location was close to the event we were attending . ',false
106,'there is a parking structure attacked to the hotel so you did not need to park outside . ',false
107,'you can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
108,'the bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
109,'the carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
110,'parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',true
111,'there was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
112,'the bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',true
176,'acceptably . ',false
177,'good location , parking , grocery store in the building . ',true
178,'old hotel and relevant smell , no sockets in the room at all . ',true
179,'had to charge cellular in bathroom . ',false
180,'air condition was terrible . ',false
181,'had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
182,'it was very cold and uncomfortable . ',false
232,'stay was okay . ',false
233,'i will consider staying there again . ',false
234,'the location was great , right downtown montreal . ',false
235,'view was amazing and the bed was comfortable enough . ',false
236,'the hotel was outdated . ',true
237,'carpet was pretty old and the vent was very dusty . ',true
238,'you can actually see the caked on dust . ',false
239,'it does need updating aesthetically . ',true
296,'good . ',false
297,'the housekeeper was very sweet and she did a great job . ',false
298,'there were some little things like broken lights , mildew and drippy faucet . ',false
299,'the hotel needs a bit of tlc . ',false
300,'otherwise a nice experience . ',false
301,'the housekeeping staff were very friendly and they did a great job ',false
344,'good . ',false
345,'beds are not real . ',false
360,'meh . ',false
361,'it s in a good location and it s clean . ',false
362,'it s very dated . ',false
363,'the tv did nt work . ',false
364,'the staff at reception are nt warm . ',false
365,'i only stay here if i absolutely have to . ',false
366,'we were stranded with the storm so we booked it last minute . ',false
416,'rude staff . ',false
417,'the staff gave an unpleasant vibe that started right off the bat . ',false
418,'the one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all i did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',false
440,'good location , adequate for our stay , would stay there again if the price was right . ',false
441,'quiet , comfortable , clean , great location . ',false
442,'bar fridge in room was very useful . ',false
443,'rooms and furniture need updating . ',false
444,'pool area also needs a makeover . ',true
480,'good location , adequate for our stay , would stay there again if the price was right . ',false
481,'quiet , comfortable , clean , great location . ',false
482,'bar fridge in room was very useful . ',false
483,'rooms and furniture need updating . ',false
484,'pool area also needs a makeover . ',true
520,'thangs for the service ! ',false
521,'the moon light !!!! ',false
522,'maybe update a little bit more colors and furniture !!! ',false
544,'good . ',false
545,'the location . ',false
546,'bathrooms are showing their age . ',false
547,'time to renovate ! ',true
576,'i wish i would have waited for lower rates the site was offering $ 75 per night . ',false
577,'we stayed for two ni . ',false
578,'nice big room upgraded on arrival . ',false
579,'the smell in lobby when you first walk in it smells stale like a nursing home . ',false
580,'too much antiseptic smell trying to cover up the stale smell . ',false
581,'beautiful older building i can appreciate . ',true
582,'also they had to turn off the water from midnight to 6 am . ',false
583,'no big affect as far as comfort ',false
640,'good . ',false
641,'location is good?cprice is fair . ',false
642,'its a old hotel , and in my room the curtain fell off ',true
664,'the stay was ok but its a bit like a b&b with an old style hotel ambience without a bar and diner . ',true
665,'breakfast was good , location excellent , view from room was good . ',false
666,'room cleaning service was good . ',false
667,'safe place and quiet . ',false
668,'no usb pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',false
669,'the last evening we could not get into our room as we were apparently checked out already . ',false
670,'no room service , no bar except during lunch time not quite 4 star standard ',true
720,'excellent customer service . ',false
721,'the staff were very accommodating and helpful . ',false
722,'our bathroom shower had mold on the walls . ',false
723,'we explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',false
724,'excellent customer service . ',false
760,'good . ',false
761,'location is excellent , central , convenient to public transportation , restaurants , metro , and place dupuis food court , various services . ',false
762,'maintenance is spotty . ',false
763,'bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',true
792,'good . ',false
793,'we really liked the location of the hotel . ',false
794,'the swimming pool was cold . ',true
816,'pleasant . ',false
817,'great location . ',false
818,'the room have mold . ',false
819,'they move me to another room becsuse of the noise from the contiguos room . ',false
848,'good . ',false
849,'close to shopping . ',false
850,'no heat in bathroom ',false
872,'good . ',false
873,'service de concierge nest pas sufficient ',false
888,'okay . ',false
889,'location . ',false
890,'the room was very tired and overused . ',false
891,'the room need a facelift . ',false
892,'the carpet was stained , there was mould in the bathroom . ',false
928,'overall nice one . ',false
929,'location . ',false
930,'facilities ',false
952,'good value for money . ',false
953,'great location , next to metro station , big n modern food court , supermarket . ',false
954,'walkable to city centre . ',false
955,'erred an electric teapot to a coffee maker . ',false
956,'coffee brewer can be cleaned after each guest . ',false
957,'. ',false
958,'sheet is big enough to be tucked under the matress . ',false
959,'so that it wo nt be rolled up . ',false
1016,'good cost effectiveness . ',false
1017,'good location . ',false
1018,'good location . ',false
1019,'breakfest could be better . ',false
1020,'there is no room service and the restaurant is closed for dinner , what s is essential . ',true
1021,'pool is only opened in the evening ! ',true
1064,'okay . ',false
1065,'great location . ',false
1066,'i lost some of my things when i left and i contacted them about it but they said they can?ft find it ... ',false
1067,'also , the hot water would only work in the morning ',false
1096,'good . ',false
1097,'great buffet . ',false
1098,'too bad there was no fridge in our room since we booked the smaller room . ',false
1099,'great location . ',false
1100,'parking was scary but at least it wasn?ft on the street ',false
1136,'the room served its purpose . ',false
1137,'no more and no less . ',false
1138,'room 718 - it was a very clean room . ',false
1139,'front staff was friendly . ',false
1140,'front entrance was beautiful . ',true
1141,'ked that there was parking underground with easy access to the hotel . ',false
1142,'room 718 - the bathroom was in need of major renovation ( i was nt comfortable with the mold on the bath tub walls ) . ',false
1192,'good . ',false
1193,'the lobby was clean and the room was clean and had a great view of the city . ',false
1194,'the restaurant in the hotel was good . ',true
1195,'the location of the hotel is great for access to st. catherine s street and getting downtown . ',false
1196,'the bathrooms were outdated , and seemed a little scummy . ',false
1232,'good value . ',false
1233,'the location was very convenient and the view from our room was outstanding . ',false
1234,'it needs to be updated . ',true
1235,'it took a full five minutes running the shower before the water was really warm . ',false
1264,'pleasant . ',false
1265,'very old , needs reformation on comon areas . ',true
1280,'probably would not stay there again . ',false
1281,'there was no working ice machine . ',true
1296,'would go back and would recommend to friends . ',false
1297,'the rooms were roomy . ',false
1298,'the location was excellent . ',false
1299,'it was clean and the staff were awesome . ',false
1300,'the air ducts need cleaning . ',false
1301,'when they came on i smelled mould . ',false
1302,'the pool hours were limited and odd . ',true
1352,'good . ',false
1353,'location ',false
1368,'very good . ',false
1369,'nice in the city . ',false
1370,'room has no fridge ',false
1392,'good . ',false
1393,'good location . ',false
1394,'lots of elevators that worked rapidly . ',true
1395,'old building . ',true
1396,'not a lot of amenities . ',false
1432,'home away from home . ',false
1433,'ideal location of hotel at the heart of downtown montreal . ',false
1434,'friendly and helpful staff . ',false
1435,'trustworthy housekeeping . ',false
1436,'wide selection of places close to the hotel ( metro stations , taxi , shopping malls , restaurants , pharmacies , etc ) . ',false
1437,'too many homeless people near hotel . ',false
1480,'pleasant . ',false
1481,'good location . ',false
1482,'the design is quite old and need change lift to car park ',true
1504,'the hotel was convenient to the airport shuttle and subway . ',false
1505,'the bed was comfy . ',false
1506,'the coffee machine did nt work . ',false
1507,'there was a strange smell in the room . ',false
1508,'the room and hotel was a little tired and tatty . ',true
1509,'one of the staff was friendly . ',false
1510,'the others made no effort to be friendly or helpful . ',false
1560,'not bad . ',false
1561,'location , comfort . ',false
1562,'payment process ',false
1584,'very nice hotel , would recommend . ',true
1585,'staff ( sammy , at checkin ) very helpful in providing a room with a nice view ! ',false
1586,'very bad signage for directions from parking garage to hotel through food court , ect . ',true
1608,'good . ',false
1609,'location is great . ',false
1610,'old hotel with old equipments : old bathroom , old carpets .. ',true
1611,'needs urgent remodeling ',true
1640,'breakfast needs improvement . ',false
1641,'proximity to everything in montreal . ',false
1642,'location . ',false
1643,'breakfast a bit expensive . ',false
1644,'was cold . ',false
1645,'spresso ',false
1688,'fairly good hotel , nice practical location . ',true
1689,'good location , check - in / out was fast , i was able to get my room earlier than expected , and in general the stay was pleasant . ',false
1690,'it s also connected to a shopping mall and the metro system , so you do nt have to go outside to get to those . ',false
1691,'it was nt my first stay in this hotel and i m sure it wo nt be my last . ',false
1692,'a big space under the door let the sound and light in , which was mildly annoying while trying to sleep . ',false
1693,'i ve also reduced the score for  facilities  because the hotel still follows the archaic ( and slightly offensive ) practice of putting a bible ( or , in this case , new testament ) in the room . ',false
1694,'as a non-christian , this irritates me and i would like it to stop . ',false
1744,'pleasant . ',false
1745,'it was a nice clean hotel . ',true
1746,'during the night heard the air circulation almost sounded like a roller coaster kept waking me up ',false
1768,'location , location , location . ',false
1769,'the location was absolutely terrific . ',false
1770,'the staff were extremely accommodating , but the hotel is in need of an update . ',true
1771,'our first room smelled like smoke , and we were immediately moved to another room . ',false
1772,'where the lock was nt working - it was immediately fixed . ',false
1773,'the staff helped us book our train rides , loaned us a wine opener , and never said  no  to a request . ',false
1774,'the rooms need upgrading . ',false
1824,'satisfied ! ',false
1825,'hotel location was great ! ',false
1826,'easy subway access . ',false
1827,'close to bars and restaurants , and beds were comfortable . ',false
1828,'staff is bilingual , and were able to give information for getting around the city . ',false
1829,'our room was beside the elevators and we could hear them going up and down quite loudly . ',false
1830,'wasn?ft the best noise to wake up to in the morning . ',false
1880,'pleasant . ',false
1881,'after we complained for our roos they gave us better rooms . ',false
1882,'when i complained they sent the maintenance men to my room and check my room to tell me i am wrong and the room is fine . ',false
1883,'i was about leaving then they change my room and had better one . ',false
1912,'okay . ',false
1913,'indoor access to iga and metro is definitely an asset . ',false
1914,'the bathroom fixtures and look are both old and outdated . ',false
1915,'there is not enough electric outlet for personal devices . ',false
1944,'stay was good , a convenient location , comfortable and spacious room . ',false
1945,'location to old town good . ',false
1946,'park across the way was pleasant and we enjoyed the music . ',false
1947,'it was convenient having an iga attached to the hotel . ',false
1948,'desk staff and concierge we felt that these positions were understaffed . ',false
1949,'had to ask for coffee at the desk twice as none was left the first day and only one the second day . ',false
1950,'did nt care for the area behind the hotel going away from the park , people seemed disrespectful of public property and the area did not feel particularly safe in the evening . ',false
1951,'it was the weekend of the marathon and no one at the hotel was able to tell us what to expect the morning of the marathon which was when we were leaving ',false
2008,'disgusted on our 1 st night because of defective air con . ',false
2009,'kudos to daytime receptionists , for transferring us to another room on the 2nd night , we have no air - con on our 1 st night , no available room to transfer as claimed by the not so friendly night staff . ',false
2010,'not so friendly night receptionist .. ',false
2011,'and give us a room with defective air - con . ',false
2040,'good location nice look but old from interior it needs renovation . ',true
2041,'good place in montreal with nice look to the city . ',false
2042,'everything is old furniture bathroom style of carpet ac windows as if it belongs to 1990 . ',true
2043,'room design furniture bathroom ac ',false
2072,'i will come again . ',false
2073,'great location !!! ',false
2074,'ndly hotel staff . ',false
2075,'a 4 star hotel is expected to have a safe box at the room , all rooms ! ',false
2076,'glasses / cups are single use plastic or paper . ',false
2077,'lectric charging at the room desk . ',false
2120,'good . ',false
2121,'i was injured , twice , by hidden obstacles protruding from the bed frame . ',false
2122,'management was not willing to adequately address . ',false
2144,'okay . ',false
2145,'location and access to subway was great . ',false
2146,'bathrooms were in need of immediate upgrade . ',false
2147,'you can smell the mould . ',false
2148,'rooms good size but some new wallpaper would be great . ',false
2184,'okay . ',false
2185,'great location . ',false
2186,'comfortable bed . ',false
2187,'outdated . ',false
2188,'big lines at elevators . ',false
2224,'after our experience at the check in counter it was great !!!! ',false
2225,'bed was very comfortable ... ',false
2226,'and the woman attending to our room was a lovely lady . ',false
2227,'our front desk lady was less then pleasant ... ',false
2228,'she was very abrasive with us when we asked her to explain herself alittle better to us ...... ',false
2229,'it was made very clear to us that she was annoyed with us !!! ',false
2230,'she really did make us feel stupid ',false
2280,'pleasant . ',false
2281,'the location was excellent . ',false
2282,'room was clean . ',false
2283,'i was surprised that the ac was very noisy . ',false
2284,'ose it and try to open the fresh air , i found spider network outside the window . ',false
2285,'ve all comments to them at check out hoping fixation in next time . ',false
2328,'okay . ',false
2329,'good location , friendly staff . ',false
2330,'4 star hotel with plastic glasses and paper cups . ',false
2331,'hotel needs a major renovation ( very dated ) ',true
2360,'after reading some negative reviews , i must admit our experience was quite ok . ',false
2361,'location ; indoor garage ; clean room . ',false
2362,'the pool could be open a bit longer but still , it s nice to have one . ',true
2384,'i got bitten by bed bugs the whole night and now i had to throw away all my clothes . ',false
2385,'loved the quick service . ',false
2386,'the bed bugs ',false
2408,'location is key . ',false
2409,'great location , parking garage and easy walk to a number of restaurants , shops and things to see and do . ',true
2410,'booked a king room and given room with two queen beds which was right next to incredibly noisy elevators . ',false
2411,'slept poorly and the queen room was less on booking.com website so may have overpaid . ',false
2412,'lacking washcloths and room not cleaned as well 1 st night of stay as it was the 2nd night . ',false
2413,'parking not validated on check in but this was addressed at check out ',false
2456,'location is key . ',false
2457,'great location , parking garage and easy walk to a number of restaurants , shops and things to see and do . ',true
2458,'booked a king room and given room with two queen beds which was right next to incredibly noisy elevators . ',false
2459,'slept poorly and the queen room was less on booking.com website so may have overpaid . ',false
2460,'lacking washcloths and room not cleaned as well 1 st night of stay as it was the 2nd night . ',false
2461,'parking not validated on check in but this was addressed at check out ',false
2504,'blah hotel experience . ',false
2505,'it was ok . ',false
2506,'room and staff were ok . ',false
2507,'nothing special . ',false
2508,'rooms and hotel is dated . ',true
2509,'air conditioning doesn?ft work in rooms . ',false
2510,'they were very warm . ',false
2511,'staff is not friendly at all . ',false
2568,'okay . ',false
2569,'our room was lovely . ',false
2570,'the neighborhood was a bit sketchy . ',false
2571,'the bathroom was a bit small . ',false
2600,'a perfect location to enjoy montreal , if you do nt mind a hotel way beyond its remodeling date . ',true
2601,'location ; adjacent underground car parking ; next to the metro ; . ',false
2602,'the hotel is showing its age . ',true
2603,'everything needs to be upgraded . ',true
2604,'difficult for staff to keep clean under the circumstances . ',false
2605,'bathrooms particularly looking old and seedy - caulking mouldy . ',false
2606,'however , the price is less than half tht of the modern hotels in downtown montreal , so it is still good value for money . ',false
2607,'just do nt look too deeply . ',false
2664,'central montreal . ',false
2665,'location . ',false
2666,'no fridge ',false
2688,'room is very clean , excellent cleaning servicrd . ',false
2689,'room is very clean . ',false
2690,'drawer still has bible inside , i like this tradition hotel . ',false
2691,'when i registered the room , it calculated $ 99 for each day on confirmation . ',false
2692,'however , when i check out , it charged me $ 10 more started at 2nd day . ',false
2693,'too bad , no freezer and tea bag in the room . ',false
2736,'good . ',false
2737,'the electrical outlets in the room were very loose and the plug ins for chargers kept falling out . ',false
2752,'affordable average hotel in central location . ',false
2753,'liked the central location , the view , the price . ',false
2754,'a lot of homeless people in the area and drug use , the pool only being open 6-10 , rooms could use updating , more plug ins near the bed would be nice , some plug ins didn?ft work . ',true
2755,'your website also isn?ft updated - our room had a fridge but that wasn?ft expected so it would have been nice to know and the shower was nicer then what the picture showed and that might attract more people . ',false
2756,'the man that ushered people into the elevators when it was busy was extremely rude and pushy ',false
2792,'well located and comfortable . ',false
2793,'good beds , great ac and quiet . ',false
2794,'bathroom could do with some renovation ',false
2816,'okay . ',false
2817,'next to metro dtation . ',false
2818,'the neighborhood , hotel is very outdated ',true
2840,'pleasant . ',false
2841,'comfortable bed and great views over the city . ',false
2842,'very outdated room with several damages . ',false
2843,'the aircon fan made a high pitch noise all night long ',false
2872,'this was once a fine hotel but there seems to be no refurbishment of aging furniture . ',true
2873,'front desk staff were friendly and helpful . ',false
2874,'the room was far too hot . ',false
2875,'the furniture was all banged up . ',false
2876,'the wallpaper was peeling in the bathroom . ',false
2912,'good . ',false
2913,'location ',false
2928,'very good . ',false
2929,'i asked to have things fixed and the order was never done ',false
