@relation Lage

@attribute id numeric
@attribute words string
@attribute lemmas string
@attribute pos string
@attribute bigrams string
@attribute tagwordset1 string
@attribute tagwordset2 string
@attribute tagwordset3 string
@attribute tagwordset4 string
@attribute tagwordset5 string
@attribute tagwordset6 string
@attribute tagwordset7 string
@attribute tagwordset8 string
@attribute aspecttype {true, false}

@data
16,'good ','good ','JJ ','_good_. ',0,0,0,0,0,0,0,0,false
17,'view windows need cleaning be changed were clear ','view window need clean be change be clear ','NN NNS VBP VBG VB VBN VBD JJ ','_view_- _windows_need _need_cleaning _cleaning_or _be_changed _changed_out _were_not _clear_. ',0,0,0,0,0,0,0,0,false
18,'location is excellent ','location be excellent ','NNP VBZ JJ ','_location_is _is_excellent _excellent_. ',0,0,0,0,0,0,0,0,true
19,'water pressure is excellent ','water pressure be excellent ','NN NN VBZ JJ ','_water_pressure _pressure_is _is_also _excellent_. ',0,0,0,0,0,0,0,0,false
20,'bathroom space is small people ','bathroom space be small people ','NN NN VBZ JJ NNS ','_bathroom_space _space_is _is_very _small_for _people_. ',0,0,0,0,0,0,0,0,false
21,'security be priority hotel ground level is connected small inside mall is huge bonus seems be converging space homeless have mental health issues addiction issues ','security be priority hotel ground level be connect small inside mall be huge bonus seem be converging space homeless have mental health issue addiction issue ','NN VB NN NN NN NN VBZ VBN JJ JJ NN VBZ JJ NN VBZ VB JJ NN JJ VBP JJ NN NNS NN NNS ','_security_should _be_a _priority_, _hotel_below _ground_level _level_is _is_connected _connected_to _small_inside _inside_mall _mall_, _is_a _huge_bonus _bonus_, _seems_to _be_a _converging_space _space_for _homeless_, _have_mental _mental_health _health_issues _issues_and _addiction_issues _issues_. ',0,0,0,0,0,0,0,0,true
22,'makes in-predictable have wanted run small kids tow ','make in-predictable have want run small kid tow ','VBZ JJ VB VBN VB JJ NNS NN ','_makes_them _in-predictable_and _have_wanted _wanted_to _run_into _small_kids _kids_in _tow_. ',0,0,0,0,0,0,0,0,false
23,'saw few having episodes next morning ','see few have episode next morning ','VBD JJ VBG NNS JJ NN ','_saw_a _few_having _having_episodes _episodes_the _next_morning _morning_. ',0,0,0,0,0,0,0,0,false
68,'fine ','fine ','NN ','_fine_. ',0,0,0,0,0,0,0,0,false
69,'gym had equipment needs be upgraded ','gym have equipment need be upgrade ','NNP VBD NN NNS VB VBN ','_gym_had _had_no _equipment_needs _needs_to _be_upgraded ',0,0,0,0,0,0,0,0,false
86,'enjoyed stay ','enjoy stay ','VBN NN ','_enjoyed_our _stay_. ',0,0,0,0,0,0,0,0,false
87,'comfortable foot rest ','comfortable foot rest ','JJ JJ NN ','_comfortable_and _foot_rest _rest_. ',0,0,0,0,0,0,0,0,false
88,'elevators ','elevator ','NNS ','',0,0,0,0,0,0,0,0,false
122,'was economical other properties searched area is room improvement ','be economical other property search area be room improvement ','VBD JJ JJ NNS VBD NN VBZ NN NN ','_was_more _economical_than _other_properties _properties_i _searched_in _area_but _is_room _room_for _improvement_. ',0,0,0,0,0,0,0,0,false
123,'location was close event were attending ','location be close event be attend ','NNP VBD JJ NN VBD VBG ','_location_was _was_close _close_to _event_we _were_attending _attending_. ',0,0,0,0,0,0,0,0,true
124,'is parking structure attacked hotel did need park ','be parking structure attack hotel do need park ','VBZ NN NN VBD NN VBD VB VB ','_is_a _parking_structure _structure_attacked _attacked_to _hotel_so _did_not _need_to _park_outside ',0,0,0,0,0,0,0,0,false
125,'travel pets request mini fridge room medication storage was honoured charge ','travel pet request mini fridge room medication storage be honour charge ','VB NNS NN JJ NN NN NN NN VBD VBN NN ','_travel_with _pets_and _request_for _mini_fridge _fridge_in _room_for _medication_storage _storage_was _was_honoured _honoured_at _charge_. ',0,0,0,0,0,0,0,0,false
126,'bathroom was dated tiles were cracked shower much grout was black ','bathroom be date tile be crack shower much grout be black ','NN VBD VBN NNS VBD VBN NN JJ NN VBD JJ ','_bathroom_was _was_dated _dated_, _tiles_were _were_cracked _cracked_in _shower_and _much_of _grout_was _was_black _black_. ',0,0,0,0,0,0,0,0,false
