@relation restaurant#miscellaneous

@attribute id numeric
@attribute sentiment_average numeric
@attribute target_word string
@attribute dependency_related_unigrams string
@attribute dependency_related_bigrams string
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {positive, neutral, negative}

@data
21,-0.16666666666666666,'family','dep_loud ','dep_loud_with ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
48,0.016666666666666666,'time','dep_last dep_empty dep_walked ','dep_last_empty dep_empty_walked ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
49,0,'NULL','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
62,-0.0,'truth','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
63,0.0,'crowd','dep_NY dep_dressed ','dep_NY_dressed ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
84,0.17777777777777778,'lunch','dep_casual dep_best ','dep_casual_best ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
155,0.2333333333333333,'place','dep_recommended ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
158,0.0,'VTs','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
164,0.26666666666666666,'service','dep_nice dep_provides ','dep_nice_provides ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
205,0.0,'time','dep_next dep_bringing ','dep_next_bringing ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
260,0.05925925925925926,'place','dep_type dep_ dep_great dep_place dep_go dep_ ','dep_type_ dep__this dep_great_place dep_place_go dep_go_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
305,0.0,'friends','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
318,0.0,'vacation','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
339,-0.16666666666666666,'place','dep_crowded ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
370,0.037037037037037035,'place','dep_small ','dep_small_of ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
385,-0.0,'taste','','',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negative
403,0.0,'they','dep_going ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
478,0.05555555555555555,'place','dep_small ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
536,0.0,'owner','dep_Japanese dep_staff ','dep_Japanese_and ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
537,0.0,'staff','dep_owner ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
600,0.0,'place','dep_packed ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
626,-0.08333333333333333,'restaurant','dep_s dep_cramped dep_restaurant dep_closes dep_ ','dep_s_a dep_cramped_restaurant dep_restaurant_and dep_closes_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
