@relation OTHER

@attribute id numeric
@attribute lemmas string
@attribute bigrams string
@attribute aspecttype {true, false}

@data
24,'good ','_good_. ',false
25,'location although cleanliness need clean change clear ','_location_- _although_the _cleanliness_need _need_clean _clean_or _change_out _clear_. ',false
26,'location excellent ','_location_be _excellent_. ',false
27,'other pressure also excellent ','_other_pressure _pressure_be _also_excellent _excellent_. ',false
28,'comfort comfort small potentially people ','_comfort_space _comfort_be _small_for _potentially_0 _people_. ',false
29,'security priority equipment ground level connect small inside mall huge bonus also seem converging comfort homeless mental health issue addiction issue ','_security_should _priority_, _equipment_below _ground_level _level_be _connect_to _small_inside _inside_mall _mall_, _huge_bonus _bonus_, _also_seem _seem_to _converging_space _comfort_for _homeless_, _mental_health _health_issue _issue_and _addiction_issue _issue_. ',true
30,'make in-predictable would want run #crd# small kid tow ','_make_them _in-predictable_and _would_not _want_to _run_into _#crd#_of _small_kid _kid_in _tow_. ',false
31,'see episode next morning ','_see_a _episode_the _next_morning _morning_. ',false
70,'fine ','_fine_. ',false
71,'gym equipment need upgrade ','_gym_have _equipment_need _need_to ',false
89,'enjoy other ','_enjoy_our _other_. ',true
90,'comfortable foot rest ','_comfortable_and _foot_rest _rest_. ',false
91,'next elevator ','_next_to ',false
131,'economical property search location comfort improvement ','_economical_than _property_i _search_in _location_but _comfort_for _improvement_. ',false
132,'location close event attend ','_location_be _close_to _event_we _attend_. ',false
133,'parking structure attack equipment need park outside ','_parking_structure _structure_attack _attack_to _equipment_so _need_to _park_outside _outside_. ',false
134,'travel pet request mini fridge comfort medication storage honour price ','_travel_with _pet_and _request_for _mini_fridge _fridge_in _comfort_for _medication_storage _storage_be _honour_at _price_. ',false
135,'comfort date tile crack comfort much grout black ','_comfort_be _date_, _tile_be _crack_in _comfort_and _much_of _grout_be _black_. ',false
136,'carpet stain dirty sock turn get dirty walking carpet ','_carpet_be _stain_but _dirty_( _sock_do _turn_get _get_dirty _dirty_walking _walking_on _carpet_) ',false
137,'parking garage low ceiling foot max clearance large vehicle fit price 0 day ','_parking_garage _garage_have _low_ceiling _ceiling_( _foot_max _max_clearance _clearance_) _large_vehicle _vehicle_will _fit_and _price_be _0_/ _day_. ',true
138,'0 price clean comfort travel pet tell other ','_0_charge _price_for _clean_the _comfort_if _travel_with _pet_that _tell_about _other_- ',false
139,'equipment equipment close go drink #crd# evening post hour operation.u ','_equipment_/ _equipment_be _close_when _go_to _drink_#crd# _#crd#_evening _evening_and _post_hour _hour_of ',false
197,'acceptably ','_acceptably_. ',false
198,'good location parking grocery store building ','_good_location _location_, _parking_, _grocery_store _store_in _building_. ',false
199,'old equipment relevant cleanliness socket comfort ','_old_hotel _equipment_and _relevant_smell _cleanliness_, _socket_in _comfort_at ',false
200,'price cellular comfort ','_price_cellular _cellular_in _comfort_. ',false
201,'air condition terrible ','_air_condition _condition_be _terrible_. ',false
202,'ask personel switch evening night start blow cool air noisy ','_ask_staff _personel_to _switch_it _evening_, _night_it _start_blow _blow_cool _cool_air _air_very _noisy_. ',false
203,'cold uncomfortable ','_cold_and _uncomfortable_. ',false
256,'other okay ','_other_be _okay_. ',false
257,'consider other ','_consider_stay _other_there ',false
258,'location great right downtown montreal ','_location_be _great_, _right_downtown _downtown_montreal _montreal_. ',false
259,'location amazing comfort comfortable enough ','_location_be _amazing_and _comfort_be _comfortable_enough _enough_. ',false
260,'equipment outdated ','_equipment_be _outdated_. ',false
261,'carpet pretty old vent dusty ','_carpet_be _pretty_old _old_and _vent_be _dusty_. ',false
262,'actually see caked dust ','_actually_see _see_the _caked_on _dust_. ',false
263,'need update aesthetically ','_need_update _update_aesthetically _aesthetically_. ',false
314,'good ','_good_. ',false
315,'housekeeper sweet great job ','_housekeeper_be _sweet_and _great_job _job_. ',false
316,'little thing like break light mildew drippy faucet ','_little_thing _thing_like _like_break _break_light _light_, _mildew_and _drippy_faucet _faucet_. ',false
317,'equipment need bit tlc ','_equipment_need _need_a _bit_of _tlc_. ',true
318,'otherwise nice other ','_otherwise_a _nice_experience _other_. ',true
319,'housekeeping personel friendly great job ','_housekeeping_staff _personel_be _friendly_and _great_job ',false
350,'good ','_good_. ',false
351,'comfort real ','_comfort_be _real_. ',false
381,'meh ','_meh_. ',false
382,'s good location s clean ','_s_in _good_location _location_and _s_clean _clean_. ',false
383,'s date ','_s_very _date_. ',false
384,'tv work ','_tv_do _work_. ',false
385,'personel reception warm ','_personel_at _reception_be _warm_. ',false
386,'other absolutely ','_other_here _absolutely_have ',false
387,'strand storm book last minute ','_strand_with _storm_so _book_it _last_minute _minute_. ',false
425,'rude personel ','_rude_staff _personel_. ',false
