@relation OTHER-positive

@attribute id numeric
@attribute text string
@attribute aspecttype {true, false}

@data
24,'Good . ',false
25,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',false
26,'Location is excellent . ',false
27,'Water pressure is also excellent . ',false
28,'Bathroom space is very small for potentially 4 people . ',false
29,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
30,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',false
31,'Saw a few having episodes the next morning . ',false
134,'Fine . ',false
135,'Gym had no equipment Needs to be upgraded ',false
169,'Enjoyed our stay . ',true
170,'Comfortable and Foot rest . ',true
171,'Next to elevators ',false
235,'Was more economical than other properties I searched in the area but there is room for improvement . ',false
236,'Location was close to the event we were attending . ',false
237,'There is a parking structure attacked to the hotel so you did not need to park outside . ',false
238,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
239,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
240,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
241,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
242,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
243,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
373,'Acceptably . ',false
374,'Good Location , parking , grocery store in the building . ',false
375,'Old hotel and relevant smell , no sockets in the room at all . ',false
376,'Had to charge cellular in bathroom . ',false
377,'Air condition was terrible . ',false
378,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
379,'It was very cold and uncomfortable . ',false
488,'Stay was okay . ',false
489,'I will consider staying there again . ',false
490,'The location was great , right downtown Montreal . ',false
491,'View was amazing and the bed was comfortable enough . ',false
492,'The hotel was outdated . ',false
493,'Carpet was pretty old and the vent was VERY dusty . ',false
494,'You can actually see the caked on dust . ',false
495,'It does need updating aesthetically . ',false
610,'Good . ',false
611,'The housekeeper was very sweet and she did a great job . ',false
612,'There were some little things like broken lights , mildew and drippy faucet . ',false
613,'The hotel needs a bit of TLC . ',false
614,'Otherwise a nice experience . ',false
615,'The housekeeping staff were very friendly and they did a great job ',false
694,'Good . ',false
695,'Beds are not real . ',false
741,'Meh . ',false
742,'It s in a good location and it s clean . ',false
743,'It s very dated . ',false
744,'The TV did nt work . ',false
745,'The staff at reception are nt warm . ',false
746,'I only stay here if I absolutely have to . ',false
747,'We were stranded with the storm so we booked it last minute . ',false
841,'Rude staff . ',false
842,'The staff gave an unpleasant vibe that started right off the bat . ',false
843,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',false
895,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
896,'Quiet , comfortable , clean , GREAT LOCATION . ',false
897,'Bar fridge in room was very useful . ',false
898,'Rooms and furniture need updating . ',false
899,'Pool area also needs a makeover . ',false
975,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
976,'Quiet , comfortable , clean , GREAT LOCATION . ',false
977,'Bar fridge in room was very useful . ',false
978,'Rooms and furniture need updating . ',false
979,'Pool area also needs a makeover . ',false
1049,'Thangs for the service ! ',false
1050,'The moon light !!!! ',false
1051,'Maybe update a little bit more coloRs and furniture !!! ',false
1100,'Good . ',false
1101,'The location . ',false
1102,'Bathrooms are showing their age . ',false
1103,'Time to renovate ! ',false
1176,'I wish I would have waited for lower rates the site was offering $ 75 per night . ',false
1177,'We stayed for two ni . ',false
1178,'Nice big room upgraded on arrival . ',false
1179,'The smell in lobby when you first walk in it smells stale like a nursing home . ',false
1180,'Too much antiseptic smell trying to cover up the stale smell . ',false
1181,'Beautiful older building I can appreciate . ',false
1182,'Also they had to turn off the water from midnight to 6 am . ',false
1183,'No big affect as far as comfort ',false
1289,'Good . ',false
1290,'location is good?Cprice is fair . ',false
1291,'its a old hotel , and in my room the curtain fell off ',false
1349,'The stay was OK but its a bit like a B&B with an old style hotel ambience without a bar and diner . ',false
1350,'Breakfast was good , location excellent , view from room was good . ',false
1351,'Room cleaning service was good . ',false
1352,'Safe place and quiet . ',false
1353,'No USB pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',false
1354,'The last evening we could not get into our room as we were apparently checked out already . ',false
1355,'No room service , no bar except during lunch time Not quite 4 star standard ',false
1455,'Excellent customer service . ',false
1456,'The staff were very accommodating and helpful . ',false
1457,'Our bathroom shower had mold on the walls . ',false
1458,'We explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',false
1459,'Excellent customer service . ',false
1532,'Good . ',false
1533,'Location is excellent , central , convenient to public transportation , restaurants , metro , and Place Dupuis food court , various services . ',false
1534,'Maintenance is spotty . ',false
1535,'Bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',false
1593,'Good . ',false
1594,'We really liked the location of the hotel . ',false
1595,'The swimming pool was cold . ',false
1644,'Pleasant . ',false
1645,'Great Location . ',false
1646,'The room have mold . ',false
1647,'They move me to another room becsuse of the noise from the contiguos room . ',false
1705,'Good . ',false
1706,'Close to shopping . ',false
1707,'No heat in bathroom ',false
1750,'Good . ',false
1751,'Service de concierge nest pas sufficient ',false
1791,'Okay . ',false
1792,'Location . ',false
1793,'The room was very tired and overused . ',false
1794,'The room need a facelift . ',false
1795,'The carpet was stained , there was mould in the bathroom . ',false
1865,'Overall nice one . ',false
1866,'Location . ',false
1867,'Facilities ',false
1928,'Good value for money . ',false
1929,'Great location , next to Metro station , big n modern food court , supermarket . ',false
1930,'Walkable to city centre . ',false
1931,'erred an electric teapot to a coffee maker . ',false
1932,'Coffee brewer can be cleaned after each guest . ',false
1933,'. ',false
1934,'sheet is big enough to be tucked under the matress . ',false
1935,'So that it wo nt be rolled up . ',false
2050,'Good cost effectiveness . ',false
2051,'Good location . ',false
2052,'Good location . ',false
2053,'Breakfest could be better . ',false
2054,'There is no room service and the restaurant is closed for dinner , what s is essential . ',false
2055,'Pool is only opened in the evening ! ',false
2140,'Okay . ',false
2141,'Great location . ',false
2142,'I lost some of my things when I left and i contacted them about it but they said they can?ft find it ... ',false
2143,'also , the hot water would only work in the morning ',false
2207,'Good . ',false
2208,'Great buffet . ',true
2209,'Too bad there was no fridge in our room since we booked the smaller room . ',false
2210,'Great location . ',false
2211,'Parking was scary but at least it wasn?ft on the street ',false
2293,'The room served its purpose . ',false
2294,'No more and no less . ',false
2295,'Room 718 - It was a very clean room . ',false
2296,'front staff was friendly . ',false
2297,'front entrance was beautiful . ',false
2298,'ked that there was parking underground with easy access to the hotel . ',false
2299,'Room 718 - The bathroom was in need of major renovation ( I was nt comfortable with the mold on the bath tub walls ) . ',false
2399,'Good . ',false
2400,'The lobby was clean and the room was clean and had a great view of the city . ',false
2401,'The restaurant in the hotel was good . ',true
2402,'The location of the hotel is great for access to St. Catherine s street and getting downtown . ',false
2403,'The bathrooms were outdated , and seemed a little scummy . ',false
2476,'Good value . ',false
2477,'The location was very convenient and the view from our room was outstanding . ',false
2478,'It needs to be updated . ',false
2479,'It took a full five minutes running the shower before the water was really warm . ',false
2534,'Pleasant . ',false
2535,'very old , needs reformation on comon areas . ',false
2566,'Probably would not stay there again . ',false
2567,'There was no working ice machine . ',false
2613,'Would go back and would recommend to friends . ',false
2614,'The rooms were roomy . ',false
2615,'The location was excellent . ',false
2616,'It was clean and The staff were awesome . ',false
2617,'The air ducts need cleaning . ',false
2618,'When they came on I smelled mould . ',false
2619,'The pool hours were limited and odd . ',false
2710,'Good . ',false
2711,'Location ',false
2745,'Very Good . ',false
2746,'Nice in the city . ',false
2747,'Room has no fridge ',false
2799,'Good . ',false
2800,'Good location . ',false
2801,'Lots of elevators that worked rapidly . ',false
2802,'Old building . ',false
2803,'Not a lot of amenities . ',false
2882,'Home away from home . ',false
