@relation Lage

@attribute id numeric
@attribute lemma string
@attribute dependencies string
@attribute lexicons_min numeric
@attribute lexicons_max numeric
@attribute lexicons_extremes_difference numeric
@attribute contains_negation numeric
@attribute sentence_length numeric
@attribute aspecttype {true, false}

@data
16,'good ','root punct ',0,0,0,0,7,false
17,'view window need clean be change be not clear ','det root prep mark det nsubj advcl xcomp cc aux auxpass conj prt punct mark nsubj cop neg advcl punct ',0,0,0,1,94,false
18,'location be excellent ','nsubj cop root punct ',0,0,0,1,24,true
19,'water pressure be also excellent ','nn nsubj cop advmod root punct ',0,0,0,1,35,false
20,'bathroom space be very small potentially people ','nn nsubj cop advmod root prep quantmod num pobj punct ',0,0,0,1,56,false
21,'security be priority hotel ground level be connect small inside mall be huge bonus also seem be converging space homeless have mental health issue addiction issue ','nsubj aux cop det nsubjpass punct prep det pobj prep nn pobj auxpass root prep det amod amod pobj punct nsubj cop det amod rcmod punct cc punct nsubj advmod conj aux cop det amod xcomp prep det pobj punct nsubj rcmod amod nn dobj cc nn conj punct ',0,0,0,1,243,true
22,'make very in-predictable not have want run small kid tow ','root nsubj advmod xcomp cc nsubjpass aux neg aux conj aux xcomp prep pobj prep pobj prep amod pobj prep pobj punct ',0,0,0,1,108,false
23,'see few have episode next morning ','root det amod amod nsubj det amod ccomp punct ',0,0,0,0,45,false
68,'fine ','root punct ',0,0,0,0,7,false
69,'gym have equipment need be upgrade ','nsubj root det nn nsubjpass aux auxpass ccomp ',0,0,0,1,42,false
86,'enjoy stay ','root poss dobj punct ',0,0,0,0,19,false
87,'comfortable foot rest ','amod cc conj root punct ',0,0,0,0,28,false
88,'next elevator ','dep root pobj ',0,0,0,0,18,false
122,'be more economical other property search area be room improvement ','cop advmod root prep amod pobj nsubj rcmod prep det pobj cc expl conj nsubj prep pobj punct ',0,0,0,1,101,false
123,'location be close event be attend ','nsubj cop root prep det pobj nsubj aux rcmod punct ',0,0,0,1,52,true
124,'be parking structure attack hotel do not need park outside ','expl root det nn nsubj ccomp prep det pobj mark nsubj aux neg advcl aux xcomp advmod punct ',0,0,0,1,89,false
125,'travel pet request mini fridge room medication storage be honour charge ','nsubj aux nsubjpass prep pobj cc poss conj prep det amod pobj prep det pobj prep nn pobj auxpass root prep det pobj punct ',0,0,0,1,122,false
126,'bathroom be date tile be crack shower much grout be black ','det nsubjpass auxpass nsubj punct det nsubjpass auxpass parataxis prep det pobj cc conj prep det pobj cop root punct ',0,0,0,0,97,false
127,'carpet be stain be not dirty ( sock do not turn get dirty walking carpet ) ','det nsubjpass auxpass root cc cop neg conj punct poss nsubj aux neg parataxis xcomp amod dobj prep pobj dep punct ',0,0,0,1,97,false
128,'parking garage have low ceiling ( foot max clearance ) so large vehicle not fit cost be day ','nn nsubj root amod dobj dep num nn nn nsubj advmod advmod amod nsubj aux neg ccomp cc conj cop rcmod number number tmod punct ',0,0,0,1,114,false
