@relation valence

@attribute id numeric
@attribute wordA string
@attribute dependency_type string
@attribute lexicons_min numeric
@attribute lexicons_avg numeric
@attribute lexicons_max numeric
@attribute context_negation numeric
@attribute context_lexicon_avg numeric
@attribute sentence_length numeric
@attribute aspecttype {positive, negative}

@data
0,window,Sauberkeit,0,0,0,1,0,93,negative
1,window,Sauberkeit,0,0,0,1,0,93,negative
2,location,Lage,0,0,0,1,0,23,positive
3,pressure,Komfort,0,0,0,1,0,34,positive
4,bathroom,Komfort,0,0,0,0,0,55,negative
5,mall,Lage,0,0,0,0,0,242,positive
6,mall,Lage,0,0,0,0,0,242,positive
7,homeless,OTHER,0,0,0,0,0,242,negative
8,homeless,OTHER,0,0,0,0,0,242,negative
9,gym,Ausstattung,0,0,0,1,0,41,negative
10,stay,OTHER,0,0,0,0,0,18,positive
11,location,Lage,0,0,0,0,0,51,positive
12,request,Komfort,0,0,0,0,0,121,positive
13,bathroom,Komfort,0,0,0,0,0,96,negative
14,tile,Komfort,0,0,0,0,0,96,negative
15,grout,Sauberkeit,0,0,0,0,0,96,negative
16,carpet,Sauberkeit,0,0,0,0,0,96,negative
17,ceiling,Ausstattung,0,0,0,0,0,113,negative
18,vehicle,OTHER,0,0,0,1,0,113,negative
19,tell,Hotelpersonal,0,0,0,1,0,122,negative
20,bar,Ausstattung,0,0,0,1,0,117,negative
21,restaurant,Ausstattung,0,0,0,1,0,117,negative
22,parking,Ausstattung,0,0,0,0,0,57,positive
23,location,Lage,0,0,0,0,0,57,positive
24,hotel,Ausstattung,0,0,0,1,0,62,negative
25,smell,Sauberkeit,0,0,0,1,0,62,negative
26,socket,Komfort,0,0,0,1,0,62,negative
27,air,Komfort,0,0,0,0,0,28,negative
28,location,Lage,0,0,0,0,0,50,positive
29,view,Lage,0,0,0,0,0,53,positive
30,bed,Komfort,0,0,0,1,0,53,positive
31,hotel,Ausstattung,0,0,0,0,0,24,negative
32,carpet,Ausstattung,0,0,0,0,0,51,negative
33,vent,Sauberkeit,0,0,0,1,0,51,negative
34,update,Ausstattung,0,0,0,1,0,37,negative
35,housekeeper,Hotelpersonal,0,0,0,0,0,56,positive
36,job,Hotelpersonal,0,0,0,0,0,56,positive
37,light,Komfort,0,0,0,0,0,77,negative
38,faucet,Sauberkeit,0,0,0,0,0,77,negative
39,tlc,OTHER,0,0,0,0,0,30,negative
40,experience,OTHER,0,0,0,0,0,29,positive
41,staff,Hotelpersonal,0,0,0,0,0,66,positive
42,job,Hotelpersonal,0,0,0,0,0,66,positive
43,tv,Komfort,0,0,0,1,0,21,negative
44,staff,Hotelpersonal,0,0,0,0,0,37,negative
45,staff,Hotelpersonal,0,0,0,0,0,12,negative
46,vibe,Hotelpersonal,0,0,0,1,0,66,negative
47,receptionist,Hotelpersonal,0,0,0,0,0,235,negative
48,location,Lage,0,0,0,0,0,87,positive
49,stay,OTHER,0,0,0,0,0,87,positive
50,location,Lage,0,0,0,0,0,46,positive
51,fridge,Komfort,0,0,0,0,0,36,positive
52,room,Komfort,0,0,0,1,0,35,negative
53,furniture,Komfort,0,0,0,1,0,35,negative
54,pool,Ausstattung,0,0,0,1,0,33,negative
55,location,Lage,0,0,0,0,0,87,positive
56,stay,OTHER,0,0,0,0,0,87,positive
57,location,Lage,0,0,0,0,0,46,positive
58,fridge,Komfort,0,0,0,0,0,36,positive
59,room,Komfort,0,0,0,1,0,35,negative
60,furniture,Komfort,0,0,0,1,0,35,negative
61,pool,Ausstattung,0,0,0,1,0,33,negative
62,furniture,Komfort,0,0,0,0,0,55,negative
63,bathroom,Komfort,0,0,0,0,0,33,negative
64,renovate,Ausstattung,0,0,0,1,0,18,negative
65,room,Komfort,0,0,0,0,0,35,positive
66,room,Komfort,0,0,0,0,0,35,positive
67,smell,Sauberkeit,0,0,0,0,0,79,negative
68,building,Ausstattung,0,0,0,0,0,43,positive
69,building,Ausstattung,0,0,0,0,0,43,negative
70,hotel,Ausstattung,0,0,0,0,0,53,negative
71,curtain,Komfort,0,0,0,0,0,53,negative
72,ambience,Komfort,0,0,0,0,0,99,negative
73,diner,Ausstattung,0,0,0,0,0,99,negative
74,bar,Ausstattung,0,0,0,0,0,99,negative
75,breakfast,OTHER,0,0,0,0,0,67,positive
76,location,Lage,0,0,0,1,0,67,positive
77,view,Lage,0,0,0,1,0,67,positive
78,service,Hotelpersonal,0,0,0,0,0,32,positive
79,place,Lage,0,0,0,0,0,22,positive
80,usb,Komfort,0,0,0,1,0,103,negative
81,power,Komfort,0,0,0,1,0,103,negative
82,bed,Komfort,0,0,0,0,0,103,negative
83,service,Hotelpersonal,0,0,0,1,0,75,negative
84,bar,Ausstattung,0,0,0,1,0,75,negative
85,service,Hotelpersonal,0,0,0,1,0,28,positive
86,staff,Hotelpersonal,0,0,0,0,0,47,positive
87,staff,Hotelpersonal,0,0,0,0,0,47,positive
88,desk,Hotelpersonal,0,0,0,1,0,110,positive
89,service,Hotelpersonal,0,0,0,1,0,28,positive
90,location,Lage,0,0,0,1,0,142,positive
91,location,Lage,0,0,0,1,0,142,positive
92,location,Lage,0,0,0,1,0,142,positive
93,maintenance,Hotelpersonal,0,0,0,1,0,23,negative
94,drain,Sauberkeit,0,0,0,0,0,125,negative
95,hairdryer,Komfort,0,0,0,0,0,125,negative
96,maker,Ausstattung,0,0,0,0,0,125,negative
97,furniture,Komfort,0,0,0,0,0,125,negative
98,location,Lage,0,0,0,0,0,43,positive
99,pool,Ausstattung,0,0,0,0,0,28,negative
100,location,Lage,0,0,0,0,0,16,positive
101,shopping,Lage,0,0,0,0,0,19,positive
102,heat,Komfort,0,0,0,1,0,19,negative
103,room,Komfort,0,0,0,0,0,38,negative
104,room,Komfort,0,0,0,0,0,38,negative
105,room,Komfort,0,0,0,1,0,26,negative
106,carpet,Sauberkeit,0,0,0,0,0,58,negative
107,value,Preis-Leistungs-Verhltnis,0,0,0,0,0,22,positive
108,location,Lage,0,0,0,0,0,80,positive
109,location,Lage,0,0,0,0,0,80,positive
110,supermarket,Lage,0,0,0,0,0,80,positive
111,court,Lage,0,0,0,0,0,80,positive
112,station,Lage,0,0,0,0,0,80,positive
113,city,Lage,0,0,0,1,0,25,positive
114,sheet,Komfort,0,0,0,1,0,52,positive
115,cost,Preis-Leistungs-Verhltnis,0,0,0,0,0,25,positive
116,location,Lage,0,0,0,0,0,15,positive
117,location,Lage,0,0,0,0,0,15,positive
118,service,Hotelpersonal,0,0,0,1,0,89,negative
119,restaurant,Ausstattung,0,0,0,1,0,89,negative
120,pool,Ausstattung,0,0,0,0,0,36,negative
121,location,Lage,0,0,0,0,0,16,positive
122,water,Komfort,0,0,0,0,0,51,negative
123,buffet,OTHER,0,0,0,0,0,14,positive
124,fridge,Komfort,0,0,0,1,0,74,negative
