@relation Komfort

@attribute id numeric
@attribute lemmas string
@attribute bigrams string
@attribute aspecttype {true, false}

@data
32,'good ','_good_. ',false
33,'location although cleanliness need clean change clear ','_location_- _although_the _cleanliness_need _need_clean _clean_or _change_out _clear_. ',false
34,'location excellent ','_location_be _excellent_. ',false
35,'other pressure also excellent ','_other_pressure _pressure_be _also_excellent _excellent_. ',true
36,'comfort comfort small potentially people ','_comfort_space _comfort_be _small_for _potentially_0 _people_. ',true
37,'security priority equipment ground level connect small inside mall huge bonus also seem converging comfort homeless mental health issue addiction issue ','_security_should _priority_, _equipment_below _ground_level _level_be _connect_to _small_inside _inside_mall _mall_, _huge_bonus _bonus_, _also_seem _seem_to _converging_space _comfort_for _homeless_, _mental_health _health_issue _issue_and _addiction_issue _issue_. ',false
38,'make in-predictable would want run #crd# small kid tow ','_make_them _in-predictable_and _would_not _want_to _run_into _#crd#_of _small_kid _kid_in _tow_. ',false
39,'see episode next morning ','_see_a _episode_the _next_morning _morning_. ',false
72,'fine ','_fine_. ',false
73,'gym equipment need upgrade ','_gym_have _equipment_need _need_to ',false
92,'enjoy other ','_enjoy_our _other_. ',false
93,'comfortable foot rest ','_comfortable_and _foot_rest _rest_. ',false
94,'next elevator ','_next_to ',false
140,'economical property search location comfort improvement ','_economical_than _property_i _search_in _location_but _comfort_for _improvement_. ',false
141,'location close event attend ','_location_be _close_to _event_we _attend_. ',false
142,'parking structure attack equipment need park outside ','_parking_structure _structure_attack _attack_to _equipment_so _need_to _park_outside _outside_. ',false
143,'travel pet request mini fridge comfort medication storage honour price ','_travel_with _pet_and _request_for _mini_fridge _fridge_in _comfort_for _medication_storage _storage_be _honour_at _price_. ',true
144,'comfort date tile crack comfort much grout black ','_comfort_be _date_, _tile_be _crack_in _comfort_and _much_of _grout_be _black_. ',true
145,'carpet stain dirty sock turn get dirty walking carpet ','_carpet_be _stain_but _dirty_( _sock_do _turn_get _get_dirty _dirty_walking _walking_on _carpet_) ',false
