@relation test

@attribute id numeric
@attribute text string
@attribute type string
@attribute aspecttype {true, false}

@data
32,'Good . ',Komfort-positive,false
33,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',Komfort-positive,false
34,'Location is excellent . ',Komfort-positive,false
35,'Water pressure is also excellent . ',Komfort-positive,true
36,'Bathroom space is very small for potentially 4 people . ',Komfort-positive,false
37,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',Komfort-positive,false
38,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',Komfort-positive,false
39,'Saw a few having episodes the next morning . ',Komfort-positive,false
136,'Fine . ',Komfort-positive,false
137,'Gym had no equipment Needs to be upgraded ',Komfort-positive,false
172,'Enjoyed our stay . ',Komfort-positive,false
173,'Comfortable and Foot rest . ',Komfort-positive,false
174,'Next to elevators ',Komfort-positive,false
244,'Was more economical than other properties I searched in the area but there is room for improvement . ',Komfort-positive,false
245,'Location was close to the event we were attending . ',Komfort-positive,false
246,'There is a parking structure attacked to the hotel so you did not need to park outside . ',Komfort-positive,false
247,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',Komfort-positive,true
248,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',Komfort-positive,false
249,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',Komfort-positive,false
250,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',Komfort-positive,false
251,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',Komfort-positive,false
252,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',Komfort-positive,false
380,'Acceptably . ',Komfort-positive,false
381,'Good Location , parking , grocery store in the building . ',Komfort-positive,false
382,'Old hotel and relevant smell , no sockets in the room at all . ',Komfort-positive,false
383,'Had to charge cellular in bathroom . ',Komfort-positive,false
384,'Air condition was terrible . ',Komfort-positive,false
385,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',Komfort-positive,false
386,'It was very cold and uncomfortable . ',Komfort-positive,false
496,'Stay was okay . ',Komfort-positive,false
497,'I will consider staying there again . ',Komfort-positive,false
498,'The location was great , right downtown Montreal . ',Komfort-positive,false
499,'View was amazing and the bed was comfortable enough . ',Komfort-positive,true
500,'The hotel was outdated . ',Komfort-positive,false
501,'Carpet was pretty old and the vent was VERY dusty . ',Komfort-positive,false
502,'You can actually see the caked on dust . ',Komfort-positive,false
503,'It does need updating aesthetically . ',Komfort-positive,false
616,'Good . ',Komfort-positive,false
617,'The housekeeper was very sweet and she did a great job . ',Komfort-positive,false
618,'There were some little things like broken lights , mildew and drippy faucet . ',Komfort-positive,false
619,'The hotel needs a bit of TLC . ',Komfort-positive,false
620,'Otherwise a nice experience . ',Komfort-positive,false
621,'The housekeeping staff were very friendly and they did a great job ',Komfort-positive,false
696,'Good . ',Komfort-positive,false
697,'Beds are not real . ',Komfort-positive,false
748,'Meh . ',Komfort-positive,false
749,'It s in a good location and it s clean . ',Komfort-positive,false
750,'It s very dated . ',Komfort-positive,false
751,'The TV did nt work . ',Komfort-positive,false
752,'The staff at reception are nt warm . ',Komfort-positive,false
753,'I only stay here if I absolutely have to . ',Komfort-positive,false
754,'We were stranded with the storm so we booked it last minute . ',Komfort-positive,false
844,'Rude staff . ',Komfort-positive,false
845,'The staff gave an unpleasant vibe that started right off the bat . ',Komfort-positive,false
846,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',Komfort-positive,false
900,'Good location , adequate for our stay , Would stay there again if the price was right . ',Komfort-positive,false
901,'Quiet , comfortable , clean , GREAT LOCATION . ',Komfort-positive,false
902,'Bar fridge in room was very useful . ',Komfort-positive,true
903,'Rooms and furniture need updating . ',Komfort-positive,false
904,'Pool area also needs a makeover . ',Komfort-positive,false
980,'Good location , adequate for our stay , Would stay there again if the price was right . ',Komfort-positive,false
981,'Quiet , comfortable , clean , GREAT LOCATION . ',Komfort-positive,false
982,'Bar fridge in room was very useful . ',Komfort-positive,false
983,'Rooms and furniture need updating . ',Komfort-positive,false
984,'Pool area also needs a makeover . ',Komfort-positive,false
1052,'Thangs for the service ! ',Komfort-positive,false
1053,'The moon light !!!! ',Komfort-positive,false
1054,'Maybe update a little bit more coloRs and furniture !!! ',Komfort-positive,false
1104,'Good . ',Komfort-positive,false
1105,'The location . ',Komfort-positive,false
1106,'Bathrooms are showing their age . ',Komfort-positive,false
1107,'Time to renovate ! ',Komfort-positive,false
1184,'I wish I would have waited for lower rates the site was offering $ 75 per night . ',Komfort-positive,false
1185,'We stayed for two ni . ',Komfort-positive,false
1186,'Nice big room upgraded on arrival . ',Komfort-positive,true
1187,'The smell in lobby when you first walk in it smells stale like a nursing home . ',Komfort-positive,false
1188,'Too much antiseptic smell trying to cover up the stale smell . ',Komfort-positive,false
1189,'Beautiful older building I can appreciate . ',Komfort-positive,false
1190,'Also they had to turn off the water from midnight to 6 am . ',Komfort-positive,false
1191,'No big affect as far as comfort ',Komfort-positive,false
1292,'Good . ',Komfort-positive,false
1293,'location is good?Cprice is fair . ',Komfort-positive,false
