@relation Preis-Leistungs-Verhltnis

@attribute id numeric
@attribute lemma string
@attribute pos string
@attribute nsubj_1 string
@attribute nsubj_2 string
@attribute lexicons_min numeric
@attribute lexicons_max numeric
@attribute lexicons_extremes_difference numeric
@attribute contains_negation numeric
@attribute aspecttype {true, false}

@data
40,'good ','jj ','','',0.0,1.0,1.0,0,false
41,'view window need clean be change be not clear ','nn nns vbp vbg vb vbn vbd rb jj ','clear','they',0.0,1.0,1.0,1,false
42,'location be excellent ','nnp vbz jj ','excellent','location',0.0,1.0,1.0,0,false
43,'water pressure be also excellent ','nn nn vbz rb jj ','excellent','pressure',-0.2,1.0,1.2,0,false
44,'bathroom space be very small potentially people ','nn nn vbz rb jj rb nns ','small','space',0.0,0.0,0.0,0,false
45,'security be priority hotel ground level be connect small inside mall be huge bonus also seem be converging space homeless have mental health issue addiction issue ','nn vb nn nn nn nn vbz vbn jj jj nn vbz jj nn rb vbz vb jj nn jj vbp jj nn nns nn nns ','have','who',0.0,1.0,1.0,0,false
46,'make very in-predictable not have want run small kid tow ','vbz rb jj rb vb vbn vb jj nns nn ','in-predictable','them',0.0,0.2,0.2,1,false
47,'see few have episode next morning ','vbd jj vbg nns jj nn ','morning','episodes',0.0,0.0,0.0,0,false
74,'fine ','nn ','','',0.0,0.4,0.4,0,false
75,'gym have equipment need be upgrade ','nnp vbd nn nns vb vbn ','had','gym',0.0,0.0,0.0,1,false
95,'enjoy stay ','vbn nn ','','',0.0,1.0,1.0,0,false
96,'comfortable foot rest ','jj jj nn ','','',0.0,0.5,0.5,0,false
97,'next elevator ','rb nns ','','',0.0,0.0,0.0,0,false
149,'be more economical other property search area be room improvement ','vbd rbr jj jj nns vbd nn vbz nn nn ','is','room',0.0,1.0,1.0,1,false
150,'location be close event be attend ','nnp vbd jj nn vbd vbg ','attending','we',0.0,0.0,0.0,0,false
151,'be parking structure attack hotel do not need park outside ','vbz nn nn vbd nn vbd rb vb vb rb ','need','you',-0.2,0.5,0.7,1,false
152,'travel pet request mini fridge room medication storage be honour charge ','vb nns nn jj nn nn nn nn vbd vbn nn ','travel','you',0.0,0.4,0.4,1,false
153,'bathroom be date tile be crack shower much grout be black ','nn vbd vbn nns vbd vbn nn jj nn vbd jj ','black','dated',0.0,0.0,0.0,0,false
154,'carpet be stain be not dirty ( sock do not turn get dirty walking carpet ) ','nn vbd vbn vbd rb jj -lrb- nns vbd rb vb vb jj nn nn -rrb- ','turn','socks',-0.4,0.0,0.4,1,false
155,'parking garage have low ceiling ( foot max clearance ) so large vehicle not fit cost be day ','nn nn vbz jj nns -lrb- nn nn nn -rrb- rb jjr nns rb vb vb vbz nn ','fit','vehicles',0.0,0.3333333333333333,0.3333333333333333,1,false
156,'be charge clean room travel pet be not tell check in ','vbd nn vbg nn vbp nns vbd rb vbn nn nn ','travel','you',0.0,1.0,1.0,1,false
157,'bar restaurant be close when go have drink evening be post hour operation.u ','nn nn vbd vbn wrb vbd vb nn nn vbp vbn nns nn ','are','hours',0.0,0.0,0.0,1,false
211,'acceptably ','rb ','','',0.0,0.0,0.0,0,false
212,'good location parking grocery store building ','nnp nnp nn nn nn nn ','','',0.0,1.0,1.0,0,false
213,'old hotel relevant smell socket room at all ','jj nn jj nn nns nn rb rb ','','',0.0,0.6666666666666666,0.6666666666666666,1,false
214,'have charge cellular bathroom ','vbd vb jj nn ','','',0.0,0.0,0.0,0,false
215,'air condition be terrible ','nn nn vbd jj ','terrible','condition',-0.6,0.0,0.6,0,false
216,'have ask staff switch evening night start blow cool air very noisy ','vbd vb nn vb nn nn vbd nn jj nn rb rb ','started','it',-0.2,0.5,0.7,1,false
217,'be very cold uncomfortable ','vbd rb jj jj ','cold','it',-0.4,0.0,0.4,0,false
272,'stay be okay ','vb vbd jj ','okay','stay',0.0,0.0,0.0,0,false
273,'consider stay there again ','vb vbg rb rb ','consider','i',0.0,0.0,0.0,0,false
274,'location be great right downtown montreal ','nn vbd jj jj nn nnp ','great','location',0.0,0.6,0.6,0,false
275,'view be amazing bed be comfortable enough ','nnp vbd jj nn vbd jj rb ','comfortable','bed',0.0,0.8,0.8,1,false
276,'hotel be outdated ','nn vbd jj ','outdated','hotel',0.0,0.0,0.0,0,false
277,'carpet be pretty old vent be very dusty ','nnp vbd rb jj nn vbd rb jj ','dusty','vent',0.0,0.5,0.5,0,false
278,'actually see caked dust ','rb vb nn nn ','see','you',0.0,0.0,0.0,0,false
279,'do need update aesthetically ','vbz vb vbg rb ','need','it',0.0,0.0,0.0,1,false
326,'good ','jj ','','',0.0,1.0,1.0,0,false
327,'housekeeper be very sweet do great job ','nn vbd rb jj vbd jj nn ','did','she',0.0,1.0,1.0,0,false
328,'be little thing break light mildew drippy faucet ','vbd jj nns vbn nns jj jj nn ','were','faucet',0.0,0.0,0.0,0,false
