@relation Preis-Leistungs-Verhltnis

@attribute id numeric
@attribute target string
@attribute unigrams string
@attribute aspecttype {positive, negative}

@data
0,'target_value','good value for money . great location , next to metro station , big n modern food court , supermarket . walkable to city centre . err an electric teapot to a coffee maker . coffee brewer can be clean after each guest . . sheet be big enough to be tuck under the matress . so that it wo not be roll up . ',positive
0,'target_cost','good cost effectiveness . good location . good location . breakfest could be good . there be no room service and the restaurant be close for dinner , what s be essential . pool be only open in the evening ! ',positive
0,'target_value','good value . the location be very convenient and the view from our room be outstanding . it need to be update . it take a full #crd# minute run the shower before the water be really warm . ',positive
0,'target_Breakfast','breakfast need improvement . proximity to everything in montreal . location . breakfast a bit expensive . be cold . spresso ',negative
0,'target_price','a perfect location to enjoy montreal , if you do not mind a hotel way beyond its remodeling date . location ; adjacent underground car parking ; next to the metro ; . the hotel be show its age . everything need to be upgrade . difficult for staff to keep clean under the circumstance . bathroom particularly look old and seedy - caulk mouldy . however , the price be less than half tht of the modern hotel in downtown montreal , so it be still good value for money . just do not look too deeply . ',positive
0,'target_value','a perfect location to enjoy montreal , if you do not mind a hotel way beyond its remodeling date . location ; adjacent underground car parking ; next to the metro ; . the hotel be show its age . everything need to be upgrade . difficult for staff to keep clean under the circumstance . bathroom particularly look old and seedy - caulk mouldy . however , the price be less than half tht of the modern hotel in downtown montreal , so it be still good value for money . just do not look too deeply . ',positive
0,'target_charged','room be very clean , excellent cleaning servicrd . room be very clean . drawer still have bible inside , I like this tradition hotel . when I register the room , it calculate $ 0 for each day on confirmation . however , when I check out , it charge me $ 0 more start at #ord# day . too bad , no freezer and tea bag in the room . ',negative
0,'target_hotel','affordable average hotel in central location . like the central location , the view , the price . a lot of homeless people in the area and drug use , the pool only be open 0 , room could use update , more plug in near the bed would be nice , some plug in didn?ft work . your website also isn?ft update - our room have a fridge but that wasn?ft expect so it would have be nice to know and the shower be nice then what the picture show and that might attract more people . the man that usher people into the elevator when it be busy be extremely rude and pushy ',positive
0,'target_price','affordable average hotel in central location . like the central location , the view , the price . a lot of homeless people in the area and drug use , the pool only be open 0 , room could use update , more plug in near the bed would be nice , some plug in didn?ft work . your website also isn?ft update - our room have a fridge but that wasn?ft expect so it would have be nice to know and the shower be nice then what the picture show and that might attract more people . the man that usher people into the elevator when it be busy be extremely rude and pushy ',positive
0,'target_prices','pleasant experience . old hotel . walk distance to shopping , restaurant . comfy bed , good location , nice basic hotel room . #crd# of the good price for a downtown hotel . old hotel , no info in the room for room service , pool hour etc. have to call front desk . shower curtain a little stinky . water pressure a little low . parking garage have very low ceiling and narrow driving . 0 per night to park . thing be good overall . no complaint . ',positive
