@relation Sauberkeit-positive

@attribute id numeric
@attribute text string
@attribute aspecttype {true, false}

@data
56,'Good . ',false
57,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',false
58,'Location is excellent . ',false
59,'Water pressure is also excellent . ',false
60,'Bathroom space is very small for potentially 4 people . ',false
61,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
62,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',false
63,'Saw a few having episodes the next morning . ',false
142,'Fine . ',false
143,'Gym had no equipment Needs to be upgraded ',false
181,'Enjoyed our stay . ',false
182,'Comfortable and Foot rest . ',false
183,'Next to elevators ',false
271,'Was more economical than other properties I searched in the area but there is room for improvement . ',false
272,'Location was close to the event we were attending . ',false
273,'There is a parking structure attacked to the hotel so you did not need to park outside . ',false
274,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
275,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
276,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
277,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
278,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
279,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
401,'Acceptably . ',false
402,'Good Location , parking , grocery store in the building . ',false
403,'Old hotel and relevant smell , no sockets in the room at all . ',false
404,'Had to charge cellular in bathroom . ',false
405,'Air condition was terrible . ',false
406,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
407,'It was very cold and uncomfortable . ',false
520,'Stay was okay . ',false
521,'I will consider staying there again . ',false
522,'The location was great , right downtown Montreal . ',false
523,'View was amazing and the bed was comfortable enough . ',false
524,'The hotel was outdated . ',false
525,'Carpet was pretty old and the vent was VERY dusty . ',false
526,'You can actually see the caked on dust . ',false
527,'It does need updating aesthetically . ',false
634,'Good . ',false
635,'The housekeeper was very sweet and she did a great job . ',false
636,'There were some little things like broken lights , mildew and drippy faucet . ',false
637,'The hotel needs a bit of TLC . ',false
