@relation Sauberkeit

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
56,'good . ',false
57,'the view - although the windows need cleaning or to be changed out , as they were not clear . ',true
58,'location is excellent . ',false
59,'water pressure is also excellent . ',false
60,'bathroom space is very small for potentially 4 people . ',false
61,'security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
62,'makes them very in-predictable and i would not have wanted to run into one of them with small kids in tow . ',false
63,'saw a few having episodes the next morning . ',false
78,'fine . ',false
79,'gym had no equipment needs to be upgraded ',false
101,'enjoyed our stay . ',false
102,'comfortable and foot rest . ',false
103,'next to elevators ',false
167,'was more economical than other properties i searched in the area but there is room for improvement . ',false
168,'location was close to the event we were attending . ',false
169,'there is a parking structure attacked to the hotel so you did not need to park outside . ',false
170,'you can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
171,'the bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',true
172,'the carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',true
173,'parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
174,'there was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
175,'the bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
225,'acceptably . ',false
226,'good location , parking , grocery store in the building . ',false
227,'old hotel and relevant smell , no sockets in the room at all . ',true
228,'had to charge cellular in bathroom . ',false
229,'air condition was terrible . ',false
230,'had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
231,'it was very cold and uncomfortable . ',false
288,'stay was okay . ',false
289,'i will consider staying there again . ',false
290,'the location was great , right downtown montreal . ',false
291,'view was amazing and the bed was comfortable enough . ',false
292,'the hotel was outdated . ',false
293,'carpet was pretty old and the vent was very dusty . ',true
294,'you can actually see the caked on dust . ',false
295,'it does need updating aesthetically . ',false
338,'good . ',false
339,'the housekeeper was very sweet and she did a great job . ',false
340,'there were some little things like broken lights , mildew and drippy faucet . ',true
341,'the hotel needs a bit of tlc . ',false
342,'otherwise a nice experience . ',false
343,'the housekeeping staff were very friendly and they did a great job ',false
358,'good . ',false
359,'beds are not real . ',false
409,'meh . ',false
410,'it s in a good location and it s clean . ',false
411,'it s very dated . ',false
412,'the tv did nt work . ',false
413,'the staff at reception are nt warm . ',false
414,'i only stay here if i absolutely have to . ',false
415,'we were stranded with the storm so we booked it last minute . ',false
437,'rude staff . ',false
438,'the staff gave an unpleasant vibe that started right off the bat . ',false
439,'the one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all i did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',false
475,'good location , adequate for our stay , would stay there again if the price was right . ',false
476,'quiet , comfortable , clean , great location . ',false
477,'bar fridge in room was very useful . ',false
478,'rooms and furniture need updating . ',false
479,'pool area also needs a makeover . ',false
515,'good location , adequate for our stay , would stay there again if the price was right . ',false
516,'quiet , comfortable , clean , great location . ',false
517,'bar fridge in room was very useful . ',false
518,'rooms and furniture need updating . ',false
519,'pool area also needs a makeover . ',false
541,'thangs for the service ! ',false
542,'the moon light !!!! ',false
543,'maybe update a little bit more colors and furniture !!! ',false
572,'good . ',false
573,'the location . ',false
574,'bathrooms are showing their age . ',false
575,'time to renovate ! ',false
632,'i wish i would have waited for lower rates the site was offering $ 75 per night . ',false
633,'we stayed for two ni . ',false
634,'nice big room upgraded on arrival . ',false
635,'the smell in lobby when you first walk in it smells stale like a nursing home . ',true
636,'too much antiseptic smell trying to cover up the stale smell . ',false
637,'beautiful older building i can appreciate . ',false
638,'also they had to turn off the water from midnight to 6 am . ',false
639,'no big affect as far as comfort ',false
661,'good . ',false
662,'location is good?cprice is fair . ',false
663,'its a old hotel , and in my room the curtain fell off ',false
713,'the stay was ok but its a bit like a b&b with an old style hotel ambience without a bar and diner . ',false
714,'breakfast was good , location excellent , view from room was good . ',false
715,'room cleaning service was good . ',false
716,'safe place and quiet . ',false
717,'no usb pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',false
718,'the last evening we could not get into our room as we were apparently checked out already . ',false
719,'no room service , no bar except during lunch time not quite 4 star standard ',false
755,'excellent customer service . ',false
756,'the staff were very accommodating and helpful . ',false
757,'our bathroom shower had mold on the walls . ',false
758,'we explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',false
759,'excellent customer service . ',false
788,'good . ',false
789,'location is excellent , central , convenient to public transportation , restaurants , metro , and place dupuis food court , various services . ',false
790,'maintenance is spotty . ',false
791,'bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',true
813,'good . ',false
814,'we really liked the location of the hotel . ',false
815,'the swimming pool was cold . ',false
844,'pleasant . ',false
845,'great location . ',false
846,'the room have mold . ',false
847,'they move me to another room becsuse of the noise from the contiguos room . ',false
869,'good . ',false
870,'close to shopping . ',false
871,'no heat in bathroom ',false
886,'good . ',false
887,'service de concierge nest pas sufficient ',false
923,'okay . ',false
924,'location . ',false
925,'the room was very tired and overused . ',false
926,'the room need a facelift . ',false
927,'the carpet was stained , there was mould in the bathroom . ',true
949,'overall nice one . ',false
950,'location . ',false
951,'facilities ',false
1008,'good value for money . ',false
1009,'great location , next to metro station , big n modern food court , supermarket . ',false
1010,'walkable to city centre . ',false
1011,'erred an electric teapot to a coffee maker . ',false
1012,'coffee brewer can be cleaned after each guest . ',false
1013,'. ',false
1014,'sheet is big enough to be tucked under the matress . ',false
1015,'so that it wo nt be rolled up . ',false
1058,'good cost effectiveness . ',false
1059,'good location . ',false
1060,'good location . ',false
1061,'breakfest could be better . ',false
1062,'there is no room service and the restaurant is closed for dinner , what s is essential . ',false
1063,'pool is only opened in the evening ! ',false
1092,'okay . ',false
1093,'great location . ',false
1094,'i lost some of my things when i left and i contacted them about it but they said they can?ft find it ... ',false
1095,'also , the hot water would only work in the morning ',false
1131,'good . ',false
1132,'great buffet . ',false
1133,'too bad there was no fridge in our room since we booked the smaller room . ',false
1134,'great location . ',false
1135,'parking was scary but at least it wasn?ft on the street ',false
1185,'the room served its purpose . ',false
1186,'no more and no less . ',false
1187,'room 718 - it was a very clean room . ',false
1188,'front staff was friendly . ',false
1189,'front entrance was beautiful . ',false
1190,'ked that there was parking underground with easy access to the hotel . ',false
1191,'room 718 - the bathroom was in need of major renovation ( i was nt comfortable with the mold on the bath tub walls ) . ',false
1227,'good . ',false
1228,'the lobby was clean and the room was clean and had a great view of the city . ',true
1229,'the restaurant in the hotel was good . ',false
1230,'the location of the hotel is great for access to st. catherine s street and getting downtown . ',false
1231,'the bathrooms were outdated , and seemed a little scummy . ',true
1260,'good value . ',false
1261,'the location was very convenient and the view from our room was outstanding . ',false
1262,'it needs to be updated . ',false
1263,'it took a full five minutes running the shower before the water was really warm . ',false
1278,'pleasant . ',false
1279,'very old , needs reformation on comon areas . ',false
1294,'probably would not stay there again . ',false
1295,'there was no working ice machine . ',false
1345,'would go back and would recommend to friends . ',false
1346,'the rooms were roomy . ',false
1347,'the location was excellent . ',false
1348,'it was clean and the staff were awesome . ',false
1349,'the air ducts need cleaning . ',true
1350,'when they came on i smelled mould . ',false
1351,'the pool hours were limited and odd . ',false
1366,'good . ',false
1367,'location ',false
1389,'very good . ',false
1390,'nice in the city . ',false
