@relation test

@attribute id numeric
@attribute text string
@attribute type string
@attribute aspecttype {true, false}

@data
24,'Good . ',OTHER-positive,false
25,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',OTHER-positive,false
26,'Location is excellent . ',OTHER-positive,false
27,'Water pressure is also excellent . ',OTHER-positive,false
28,'Bathroom space is very small for potentially 4 people . ',OTHER-positive,false
29,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',OTHER-positive,false
30,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',OTHER-positive,false
31,'Saw a few having episodes the next morning . ',OTHER-positive,false
134,'Fine . ',OTHER-positive,false
135,'Gym had no equipment Needs to be upgraded ',OTHER-positive,false
169,'Enjoyed our stay . ',OTHER-positive,true
170,'Comfortable and Foot rest . ',OTHER-positive,true
171,'Next to elevators ',OTHER-positive,false
235,'Was more economical than other properties I searched in the area but there is room for improvement . ',OTHER-positive,false
236,'Location was close to the event we were attending . ',OTHER-positive,false
237,'There is a parking structure attacked to the hotel so you did not need to park outside . ',OTHER-positive,false
238,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',OTHER-positive,false
239,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',OTHER-positive,false
240,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',OTHER-positive,false
241,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',OTHER-positive,false
242,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',OTHER-positive,false
243,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',OTHER-positive,false
373,'Acceptably . ',OTHER-positive,false
374,'Good Location , parking , grocery store in the building . ',OTHER-positive,false
375,'Old hotel and relevant smell , no sockets in the room at all . ',OTHER-positive,false
376,'Had to charge cellular in bathroom . ',OTHER-positive,false
377,'Air condition was terrible . ',OTHER-positive,false
378,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',OTHER-positive,false
379,'It was very cold and uncomfortable . ',OTHER-positive,false
488,'Stay was okay . ',OTHER-positive,false
489,'I will consider staying there again . ',OTHER-positive,false
490,'The location was great , right downtown Montreal . ',OTHER-positive,false
491,'View was amazing and the bed was comfortable enough . ',OTHER-positive,false
492,'The hotel was outdated . ',OTHER-positive,false
493,'Carpet was pretty old and the vent was VERY dusty . ',OTHER-positive,false
494,'You can actually see the caked on dust . ',OTHER-positive,false
495,'It does need updating aesthetically . ',OTHER-positive,false
