@relation test

@attribute id numeric
@attribute text string
@attribute type string
@attribute aspecttype {true, false}

@data
64,'Good . ',Ausstattung-negative,false
65,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',Ausstattung-negative,false
66,'Location is excellent . ',Ausstattung-negative,false
67,'Water pressure is also excellent . ',Ausstattung-negative,false
68,'Bathroom space is very small for potentially 4 people . ',Ausstattung-negative,false
69,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',Ausstattung-negative,false
70,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',Ausstattung-negative,false
71,'Saw a few having episodes the next morning . ',Ausstattung-negative,false
144,'Fine . ',Ausstattung-negative,false
145,'Gym had no equipment Needs to be upgraded ',Ausstattung-negative,true
184,'Enjoyed our stay . ',Ausstattung-negative,false
185,'Comfortable and Foot rest . ',Ausstattung-negative,false
186,'Next to elevators ',Ausstattung-negative,false
280,'Was more economical than other properties I searched in the area but there is room for improvement . ',Ausstattung-negative,false
281,'Location was close to the event we were attending . ',Ausstattung-negative,false
282,'There is a parking structure attacked to the hotel so you did not need to park outside . ',Ausstattung-negative,false
283,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',Ausstattung-negative,false
284,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',Ausstattung-negative,false
285,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',Ausstattung-negative,false
286,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',Ausstattung-negative,false
287,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',Ausstattung-negative,false
288,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',Ausstattung-negative,true
408,'Acceptably . ',Ausstattung-negative,false
409,'Good Location , parking , grocery store in the building . ',Ausstattung-negative,false
410,'Old hotel and relevant smell , no sockets in the room at all . ',Ausstattung-negative,true
411,'Had to charge cellular in bathroom . ',Ausstattung-negative,false
412,'Air condition was terrible . ',Ausstattung-negative,false
413,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',Ausstattung-negative,false
414,'It was very cold and uncomfortable . ',Ausstattung-negative,false
528,'Stay was okay . ',Ausstattung-negative,false
529,'I will consider staying there again . ',Ausstattung-negative,false
530,'The location was great , right downtown Montreal . ',Ausstattung-negative,false
531,'View was amazing and the bed was comfortable enough . ',Ausstattung-negative,false
532,'The hotel was outdated . ',Ausstattung-negative,true
533,'Carpet was pretty old and the vent was VERY dusty . ',Ausstattung-negative,false
534,'You can actually see the caked on dust . ',Ausstattung-negative,false
535,'It does need updating aesthetically . ',Ausstattung-negative,false
640,'Good . ',Ausstattung-negative,false
641,'The housekeeper was very sweet and she did a great job . ',Ausstattung-negative,false
642,'There were some little things like broken lights , mildew and drippy faucet . ',Ausstattung-negative,false
643,'The hotel needs a bit of TLC . ',Ausstattung-negative,false
644,'Otherwise a nice experience . ',Ausstattung-negative,false
645,'The housekeeping staff were very friendly and they did a great job ',Ausstattung-negative,false
704,'Good . ',Ausstattung-negative,false
705,'Beds are not real . ',Ausstattung-negative,false
776,'Meh . ',Ausstattung-negative,false
777,'It s in a good location and it s clean . ',Ausstattung-negative,false
778,'It s very dated . ',Ausstattung-negative,true
779,'The TV did nt work . ',Ausstattung-negative,false
780,'The staff at reception are nt warm . ',Ausstattung-negative,false
781,'I only stay here if I absolutely have to . ',Ausstattung-negative,false
782,'We were stranded with the storm so we booked it last minute . ',Ausstattung-negative,false
856,'Rude staff . ',Ausstattung-negative,false
857,'The staff gave an unpleasant vibe that started right off the bat . ',Ausstattung-negative,false
858,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',Ausstattung-negative,false
