@relation Hotelpersonal-negative

@attribute id numeric
@attribute text string
@attribute aspecttype {true, false}

@data
72,'Good . ',false
73,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',false
74,'Location is excellent . ',false
75,'Water pressure is also excellent . ',false
76,'Bathroom space is very small for potentially 4 people . ',false
77,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
78,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',false
79,'Saw a few having episodes the next morning . ',false
146,'Fine . ',false
147,'Gym had no equipment Needs to be upgraded ',false
187,'Enjoyed our stay . ',false
188,'Comfortable and Foot rest . ',false
189,'Next to elevators ',false
289,'Was more economical than other properties I searched in the area but there is room for improvement . ',false
290,'Location was close to the event we were attending . ',false
291,'There is a parking structure attacked to the hotel so you did not need to park outside . ',false
292,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
293,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
294,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
295,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
296,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
297,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
415,'Acceptably . ',false
416,'Good Location , parking , grocery store in the building . ',false
417,'Old hotel and relevant smell , no sockets in the room at all . ',false
418,'Had to charge cellular in bathroom . ',false
419,'Air condition was terrible . ',false
420,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
421,'It was very cold and uncomfortable . ',false
536,'Stay was okay . ',false
537,'I will consider staying there again . ',false
538,'The location was great , right downtown Montreal . ',false
539,'View was amazing and the bed was comfortable enough . ',false
540,'The hotel was outdated . ',false
541,'Carpet was pretty old and the vent was VERY dusty . ',false
542,'You can actually see the caked on dust . ',false
543,'It does need updating aesthetically . ',false
646,'Good . ',false
647,'The housekeeper was very sweet and she did a great job . ',false
648,'There were some little things like broken lights , mildew and drippy faucet . ',false
649,'The hotel needs a bit of TLC . ',false
650,'Otherwise a nice experience . ',false
651,'The housekeeping staff were very friendly and they did a great job ',false
706,'Good . ',false
707,'Beds are not real . ',false
783,'Meh . ',false
784,'It s in a good location and it s clean . ',false
785,'It s very dated . ',false
786,'The TV did nt work . ',false
787,'The staff at reception are nt warm . ',true
788,'I only stay here if I absolutely have to . ',false
789,'We were stranded with the storm so we booked it last minute . ',false
859,'Rude staff . ',true
860,'The staff gave an unpleasant vibe that started right off the bat . ',true
861,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',true
925,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
926,'Quiet , comfortable , clean , GREAT LOCATION . ',false
927,'Bar fridge in room was very useful . ',false
928,'Rooms and furniture need updating . ',false
929,'Pool area also needs a makeover . ',false
1005,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
1006,'Quiet , comfortable , clean , GREAT LOCATION . ',false
1007,'Bar fridge in room was very useful . ',false
1008,'Rooms and furniture need updating . ',false
1009,'Pool area also needs a makeover . ',false
1067,'Thangs for the service ! ',false
1068,'The moon light !!!! ',false
1069,'Maybe update a little bit more coloRs and furniture !!! ',false
1124,'Good . ',false
1125,'The location . ',false
1126,'Bathrooms are showing their age . ',false
1127,'Time to renovate ! ',false
1224,'I wish I would have waited for lower rates the site was offering $ 75 per night . ',false
1225,'We stayed for two ni . ',false
1226,'Nice big room upgraded on arrival . ',false
1227,'The smell in lobby when you first walk in it smells stale like a nursing home . ',false
1228,'Too much antiseptic smell trying to cover up the stale smell . ',false
1229,'Beautiful older building I can appreciate . ',false
1230,'Also they had to turn off the water from midnight to 6 am . ',false
1231,'No big affect as far as comfort ',false
1307,'Good . ',false
1308,'location is good?Cprice is fair . ',false
1309,'its a old hotel , and in my room the curtain fell off ',false
1391,'The stay was OK but its a bit like a B&B with an old style hotel ambience without a bar and diner . ',false
1392,'Breakfast was good , location excellent , view from room was good . ',false
1393,'Room cleaning service was good . ',false
1394,'Safe place and quiet . ',false
1395,'No USB pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',false
1396,'The last evening we could not get into our room as we were apparently checked out already . ',false
1397,'No room service , no bar except during lunch time Not quite 4 star standard ',false
1485,'Excellent customer service . ',false
1486,'The staff were very accommodating and helpful . ',false
1487,'Our bathroom shower had mold on the walls . ',false
1488,'We explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',false
1489,'Excellent customer service . ',false
1556,'Good . ',false
1557,'Location is excellent , central , convenient to public transportation , restaurants , metro , and Place Dupuis food court , various services . ',false
1558,'Maintenance is spotty . ',true
1559,'Bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',false
1611,'Good . ',false
1612,'We really liked the location of the hotel . ',false
1613,'The swimming pool was cold . ',false
1668,'Pleasant . ',false
1669,'Great Location . ',false
1670,'The room have mold . ',false
1671,'They move me to another room becsuse of the noise from the contiguos room . ',false
1723,'Good . ',false
1724,'Close to shopping . ',false
1725,'No heat in bathroom ',false
1762,'Good . ',false
1763,'Service de concierge nest pas sufficient ',false
1821,'Okay . ',false
1822,'Location . ',false
1823,'The room was very tired and overused . ',false
1824,'The room need a facelift . ',false
1825,'The carpet was stained , there was mould in the bathroom . ',false
1883,'Overall nice one . ',false
1884,'Location . ',false
1885,'Facilities ',false
1976,'Good value for money . ',false
1977,'Great location , next to Metro station , big n modern food court , supermarket . ',false
