@relation location#general

@attribute id numeric
@attribute lemmas string
@attribute bigrams string
@attribute aspecttype {true, false}

@data
11,'judge from previous post this use good but not any ','judge_from from_previous previous_post post_this this_use use_ _ _ _good good_ _but but_not not_any any_ ',false
23,'there be be be #crd# arrive noon the the place be empty and and the the staff act like be be be impose them and and they be be be very ','_there there_be be_#crd# #crd#_ _ _arrive arrive_ _noon noon_ _the the_place place_be be_empty empty_ _and and_the the_staff staff_act act_like like_ _be be_impose impose_ _them them_and and_they they_be be_very very_ ',false
35,'they never bring complimentary ignore repeat request for and throw our dish the ','they_never never_bring bring_ _complimentary complimentary_ _ignore ignore_repeat repeat_request request_for for_ _and and_throw throw_our our_dish dish_ _the the_ ',false
47,'the food be lousy too too sweet too too salty and the portion ','the_food food_be be_lousy lousy_ _too too_sweet sweet_ _too too_salty salty_and and_the the_portion portion_ ',false
59,'after all they complain about the small ','after_all all_ _they they_complain complain_ _ _about about_the the_small small_ ',false
71,'avoid this ','avoid_this this_ ',false
83,'have eat many the food always outrageously ','_have have_eat eat_ _ _many many_ _the the_food food_ _always always_ _outrageously outrageously_ ',false
95,'saul the good restaurant smith street and ','saul_ _the the_good good_restaurant restaurant_ _smith smith_street street_and and_ _ ',false
107,'the duck confit always amazing and the foie gras terrine with fig be out this ','the_duck duck_confit confit_ _always always_amazing amazing_and and_the the_foie foie_gras gras_terrine terrine_with with_fig fig_be be_out out_ _this this_ ',false
119,'the wine list interesting and have many good ','the_wine wine_list list_ _interesting interesting_and and_have have_many many_good good_ ',false
131,'for the you eat this well ','for_the the_ _you you_ _eat eat_this this_well well_ _ ',false
143,'be very disappointed with this ','_be be_very very_disappointed disappointed_with with_this this_ ',false
155,'ive ask cart attendant for lotus leaf wrap rice rice and and she reply back rice rice and and just walk ','ive_ask ask_ _cart cart_attendant attendant_for for_ _lotus lotus_leaf leaf_wrap wrap_rice rice_and and_she she_reply reply_back back_rice rice_and and_just just_walk walk_ ',false
167,'have ask her #crd# time before she finally come back with the dish ive ','_have have_ _ask ask_her her_#crd# #crd#_time time_before before_she she_finally finally_come come_back back_with with_the the_dish dish_ive ive_ ',false
179,'food be nothing ','food_be be_ _nothing nothing_ ',false
191,'chow fun be be pork shu mai be be more than usually greasy and and have share table with loud and and rude ','chow_fun fun_be be_ _pork pork_shu shu_mai mai_be be_more more_than than_usually usually_greasy greasy_and and_have have_ _share share_ _table table_with with_loud loud_and and_rude rude_ ',false
203,'will never back this place ','_will will_never never_ _back back_ _this this_place place_ ',false
215,'go day oyster with fish bring the the and glad this be be the the place trip because be be ','go_ _ _ _day day_oyster oyster_ _with with_fish fish_bring bring_ _the the_ _and and_ _ _ _glad glad_this this_be be_the the_place place_ _ _trip trip_ _because because_ _be be_ _ ',false
227,'service be oyster where sensual they and the price ','service_be be_ _oyster oyster_where where_ _sensual sensual_ _they they_ _and and_the the_price price_ _ _ ',false
239,'you wrong ','you_ _ _wrong wrong_ ',false
251,'every time new york make point visit restaurant saul smith ','every_time time_ _new new_york york_ _make make_ _ _point point_ _visit visit_restaurant restaurant_saul saul_ _smith smith_ ',false
263,'everything always cook the the service the the decor cool and ','everything_ _always always_cook cook_ _ _the the_service service_ _ _the the_decor decor_cool cool_and and_ ',false
275,'have the duck breast special last visit and be ','_have have_the the_duck duck_breast breast_special special_ _ _last last_visit visit_and and_ _be be_ ',false
287,'wait wait wait wait for next ','_wait wait_wait wait_for for_ _next next_ ',false
299,'the spicy tuna roll be be unusually good and the rock shrimp tempura be be great appetizer ','the_spicy spicy_tuna tuna_roll roll_be be_unusually unusually_good good_and and_the the_rock rock_shrimp shrimp_tempura tempura_be be_ _great great_appetizer appetizer_ _ ',false
311,'go around 0 friday and have die down bit then the service be ','_go go_around around_0 0_ _ _friday friday_and and_ _have have_die die_down down_ _bit bit_ _then then_ _the the_service service_be be_ ',false
323,'love pink ','_love love_ _pink pink_ ',false
335,'the perfect ','the_perfect perfect_ ',false
347,'','',false
359,'service- friendly and ','service-_friendly friendly_and and_ ',false
371,'relaxed and ','_relaxed relaxed_and and_ ',false
383,'judge this place prima you have try believe home home away from home home for the literate ','_judge judge_this this_place place_prima prima_ _you you_have have_ _try try_ _ _believe believe_ _ _home home_away away_from from_home home_for for_the the_literate literate_ ',false
395,'the food ','the_food food_ _ ',false
407,'the service that leave bad taste ','_ _the the_service service_that that_leave leave_ _bad bad_taste taste_ _ _ ',false
419,'happen have policy that go along with little bit which include not let waiter intimidate i.e. make feel bad ask for triviality like the ','_happen happen_ _have have_ _policy policy_that that_go go_along along_with with_ _little little_bit bit_ _ _which which_include include_not not_let let_ _waiter waiter_intimidate intimidate_ _i.e. i.e._make make_ _feel feel_bad bad_ask ask_for for_triviality triviality_like like_ _ _the the_ ',false
431,'you be too busy show off your vintage tee shirt and and look but agenda here eat and and enjoy the company seek pleasant ','_ _you you_be be_too too_busy busy_show show_off off_your your_vintage vintage_tee tee_shirt shirt_and and_look look_ _but but_ _agenda agenda_ _ _here here_ _eat eat_and and_enjoy enjoy_the the_company company_ _ _seek seek_ _pleasant pleasant_ ',false
443,'find and have tell everyone can think about ','_ _ _find find_ _ _and and_ _ _have have_tell tell_everyone everyone_ _can can_think think_ _about about_ _ ',false
